Key,File,Type,UsedInMainMenu,NoTranslate,english
decoSMALTAxe,Blocks,Block,,,"Bệ Đỡ Rìu Vệ Binh Emberwood"
decoSMALTAxeDesc,Blocks,Block,,,"Một bệ đỡ với Rìu Vệ Binh Emberwood đặt bên trên.\n\n\n\n\n\n\n\n\nChú ý:\nViệc gỡ bỏ chế tạo sẽ khiến độ hiếm vũ khí của bạn rớt xuống cấp 1!"
decoSMALTCrowbar,Blocks,Block,,,"Bệ Đỡ Xà Beng Dreadnought"
decoSMALTCrowbarDesc,Blocks,Block,,,"Một bệ đỡ với Xà Beng Dreadnought đặt bên trên.\n\n\n\n\n\n\n\n\nChú ý:\nViệc gỡ bỏ chế tạo sẽ khiến độ hiếm vũ khí của bạn rớt xuống cấp 1!"
decoSMALTPickaxe,Blocks,Block,,,"Bệ Đỡ Cuốc Chim Aetherium"
decoSMALTPickaxeDesc,Blocks,Block,,,"Một bệ đỡ với Cuốc Chim Aetherium đặt bên trên.\n\n\n\n\n\n\n\n\nChú ý:\nViệc gỡ bỏ chế tạo sẽ khiến độ hiếm vũ khí của bạn rớt xuống cấp 1!"
decoSMALTHammer,Blocks,Block,,,"Bệ Đỡ Búa Cinderforge"
decoSMALTHammerDesc,Blocks,Block,,,"Một bệ đỡ với Búa Cinderforge đặt bên trên.\n\n\n\n\n\n\n\n\nChú ý:\nViệc gỡ bỏ chế tạo sẽ khiến độ hiếm vũ khí của bạn rớt xuống cấp 1!"
decoSMALTKnife,Blocks,Block,,,"Bệ Đỡ Dao Găm Trăng Máu"
decoSMALTKnifeDesc,Blocks,Block,,,"Một bệ đỡ với Dao Găm Trăng Máu đặt bên trên.\n\n\n\n\n\n\n\n\nChú ý:\nViệc gỡ bỏ chế tạo sẽ khiến độ hiếm vũ khí của bạn rớt xuống cấp 1!"
decoSMALTShovel,Blocks,Block,,,"Bệ Đỡ Xẻng Frostforged"
decoSMALTShovelDesc,Blocks,Block,,,"Một bệ đỡ với Xẻng Frostforged đặt bên trên.\n\n\n\n\n\n\n\n\nChú ý:\nViệc gỡ bỏ chế tạo sẽ khiến độ hiếm vũ khí của bạn rớt xuống cấp 1!"
decoSMALTWrench,Blocks,Block,,,"Bệ Đỡ Cờ Lê Marauder"
decoSMALTWrenchDesc,Blocks,Block,,,"Một bệ đỡ với Cờ Lê Marauder đặt bên trên.\n\n\n\n\n\n\n\n\nChú ý:\nViệc gỡ bỏ chế tạo sẽ khiến độ hiếm vũ khí của bạn rớt xuống cấp 1!"
