Key,english
modscopeSBPMII525x5634mmDesc,"Weight: 1.530kg\nErgonomics:-8\nCompatibility: most firearms\nScroll mouse wheel to change zoom level, or press [action:KFLibPlayerActions:ToggleZoomLevel] to toggle zoom level\nCan install an aditional back up micro reflex sight for short-range combat."
modscopeBFTac3014x2430mm,"Burris Fullfield TAC30 1-4x24 Riflescope"
modscopeBFTac3014x2430mmDesc,"Weight: 0.780kg\nErgonomics:-4\nCompatibility: most firearms\nScroll mouse wheel to change zoom level, or press [action:KFLibPlayerActions:ToggleZoomLevel] to toggle zoom level\nCan install an aditional back up micro reflex sight for short-range combat."
modscopeEOTVudu16x2430mm,"EOTech Vudu 1-6x24 Riflescope"
modscopeEOTVudu16x2430mmDesc,"Weight: 0.810kg\nErgonomics:-4\nCompatibility: most firearms\nScroll mouse wheel to change zoom level, or press [action:KFLibPlayerActions:ToggleZoomLevel] to toggle zoom level\nCan install an aditional back up micro reflex sight for short-range combat."
modscopeLeupoldMark4LR30mm,"Leupold Mark4 LR 6.5-20x50 Riflescope"
modscopeLeupoldMark4LR30mmDesc,"Weight: 0.970kg\nErgonomics:-3\nCompatibility: most firearms\nScroll mouse wheel to change zoom level, or press [action:KFLibPlayerActions:ToggleZoomLevel] to toggle zoom level\nCan install an aditional back up micro reflex sight for short-range combat."
modscopeMarchTactical30mm,"March Tactical 3-24x42 Riflescope"
modscopeMarchTactical30mmDesc,"Weight: 0.940kg\nErgonomics:-5\nCompatibility: most firearms\nScroll mouse wheel to change zoom level, or press [action:KFLibPlayerActions:ToggleZoomLevel] to toggle zoom level\nCan install an aditional back up micro reflex sight for short-range combat."
modscopeSIGTango6T16x2430mm,"SIG Sauer TANGO6T 1-6x24 Riflescope"
modscopeSIGTango6T16x2430mmDesc,"Weight: 0.870kg\nErgonomics:-4\nCompatibility: most firearms\nScroll mouse wheel to change zoom level, or press [action:KFLibPlayerActions:ToggleZoomLevel] to toggle zoom level."
modscopeRazorHDGen216x2430mm,"Vortex Razor HD Gen.2 1-6x24 Riflescope"
modscopeRazorHDGen216x2430mmDesc,"Weight: 0.810kg\nErgonomics:-4\nCompatibility: most firearms\nScroll mouse wheel to change zoom level, or press [action:KFLibPlayerActions:ToggleZoomLevel] to toggle zoom level\nCan install an aditional back up micro reflex sight for short-range combat."
modscopeNFATACR735x5634mm,"Nightforce ATACR 7-35x56 Riflescope"
modscopeNFATACR735x5634mmDesc,"Weight: 1.470kg\nErgonomics:-8\nCompatibility: most firearms\nScroll mouse wheel to change zoom level, or press [action:KFLibPlayerActions:ToggleZoomLevel] to toggle zoom level\nCan install an aditional back up micro reflex sight for short-range combat."
modscopeHensoldtFF416x5634mm,"Hensoldt FF 4-16x56 Riflescope"
modscopeHensoldtFF416x5634mmDesc,"Weight: 1.260kg\nErgonomics:-6\nCompatibility: most firearms\nScroll mouse wheel to change zoom level, or press [action:KFLibPlayerActions:ToggleZoomLevel] to toggle zoom level\nCan install an aditional back up micro reflex sight for short-range combat."
modscopeNCStarADO,"NcSTAR ADO P4 Sniper 3-9x42 Riflescope"
modscopeNCStarADODesc,"Weight: 0.600kg\nErgonomics:-2\nCompatibility: most firearms\nScroll mouse wheel to change zoom level, or press [action:KFLibPlayerActions:ToggleZoomLevel] to toggle zoom level\nPress or hold 'F' to activate back up sight."
modscopeKMZ1p69Weaver,"KMZ 1P69 3-10x Riflescope on weaver rail"
modscopeKMZ1p69WeaverDesc,"Weight: 1.440kg\nErgonomics:-5\nCompatibility: most firearms\nScroll mouse wheel to change zoom level, or press [action:KFLibPlayerActions:ToggleZoomLevel] to toggle zoom level\nCan install an aditional back up micro reflex sight for short-range combat."
modscopeKMZ1p69Dovetail,"KMZ 1P69 3-10x Scope Dovetail"
modscopeKMZ1p69DovetailDesc,"Weight: 1.350kg\nErgonomics:-5\nCompatibility: firearms with dovetail platform"
modscopeaimpointAcroP1canted,Aimpoint ACRO P-1 reflex sight (Canted)
modscopeaimpointAcroP1cantedDesc,"Same optic, mounted on a back-up offset sight mount for quick closed-range target acquisition. Use 'F' key to activate. "
modscopeaimpointMicroH2canted,Aimpoint Micro H-2 reflex sight (Canted)
modscopeaimpointMicroH2cantedDesc,"Same optic, mounted on a back-up offset sight mount for quick closed-range target acquisition. Use 'F' key to activate. "
modscopeaimpointMicroT1canted,Aimpoint Micro T-1 reflex sight (Canted)
modscopeaimpointMicroT1cantedDesc,"Same optic, mounted on a back-up offset sight mount for quick closed-range target acquisition. Use 'F' key to activate. "
modscopeBelOMOpk06canted,BelOMO PK-06 reflex sight (Canted)
modscopeBelOMOpk06cantedDesc,"Same optic, mounted on a back-up offset sight mount for quick closed-range target acquisition. Use 'F' key to activate. "
modscopeburrisfastfirecanted,Burris FastFire 3 reflex sight (Canted)
modscopeburrisfastfirecantedDesc,"Same optic, mounted on a back-up offset sight mount for quick closed-range target acquisition. Use 'F' key to activate. "
modscopeleupolddeltapointcanted,Leupold DeltaPoint reflex sight (Canted)
modscopeleupolddeltapointcantedDesc,"Same optic, mounted on a back-up offset sight mount for quick closed-range target acquisition. Use 'F' key to activate. "
modscopeSIGromeo4canted,SIG Sauer ROMEO4 reflex sight (Canted)
modscopeSIGromeo4cantedDesc,"Same optic, mounted on a back-up offset sight mount for quick closed-range target acquisition. Use 'F' key to activate. "
modscopeRMRcanted,Trijicon RMR reflex sight (Canted)
modscopeRMRcantedDesc,"Same optic, mounted on a back-up offset sight mount for quick closed-range target acquisition. Use 'F' key to activate. "

modscopeaimpointAcroP1_backup,Aimpoint ACRO P-1 reflex sight (Backup)
modscopeaimpointAcroP1_backupDesc,"Same optic, mounted on a back-up sight mount for quick closed-range target acquisition. Use 'F' key to activate. "
modscopeaimpointMicroH2_backup,Aimpoint Micro H-2 reflex sight (Backup)
modscopeaimpointMicroH2_backupDesc,"Same optic, mounted on a back-up sight mount for quick closed-range target acquisition. Use 'F' key to activate. "
modscopeaimpointMicroT1_backup,Aimpoint Micro T-1 reflex sight (Backup)
modscopeaimpointMicroT1_backupDesc,"Same optic, mounted on a back-up sight mount for quick closed-range target acquisition. Use 'F' key to activate. "
modscopeBelOMOpk06_backup,BelOMO PK-06 reflex sight (Backup)
modscopeBelOMOpk06_backupDesc,"Same optic, mounted on a back-up sight mount for quick closed-range target acquisition. Use 'F' key to activate. "
modscopeburrisfastfire_backup,Burris FastFire 3 reflex sight (Backup)
modscopeburrisfastfire_backupDesc,"Same optic, mounted on a back-up sight mount for quick closed-range target acquisition. Use 'F' key to activate. "
modscopeleupolddeltapoint_backup,Leupold DeltaPoint reflex sight (Backup)
modscopeleupolddeltapoint_backupDesc,"Same optic, mounted on a back-up sight mount for quick closed-range target acquisition. Use 'F' key to activate. "
modscopeSIGromeo4_backup,SIG Sauer ROMEO4 reflex sight (Backup)
modscopeSIGromeo4_backupDesc,"Same optic, mounted on a back-up sight mount for quick closed-range target acquisition. Use 'F' key to activate. "
modscopeRMR_backup,Trijicon RMR reflex sight (Backup)
modscopeRMR_backupDesc,"Same optic, mounted on a back-up offset mount for quick closed-range target acquisition. Use 'F' key to activate. "

modmag_ppsh_zis_std_762x25_71,"PPSh-41 7.62x25 71-round drum magazine"
modmag_ppsh_zis_std_762x25_71Desc,"Weight: 1.61kg\nErgonomics: -9\nReload Speed: -15%\nMagazine capacity: 71\nCompatible with: PPSh-41"

modmag_tt_custom_drum_762x25_75,"TT-33 7.62x25 75-round custom drum magazine "
modmag_tt_custom_drum_762x25_75Desc,"Weight: 1.21kg\nErgonomics: -18\nReload Speed: -15%\nMagazine capacity: 75\nCompatible with: TT-33, TT-33 Golden "

modmag_pm_custom_9x18pm_84,"PM 9x18PM 84-round makeshift drum magazine"
modmag_pm_custom_9x18pm_84Desc,"Weight: 1.29kg\nErgonomics: -18\nReload Speed: -15%\nMagazine capacity: 84\nCompatible with: PM Alphadog"

modmag_kedr_custom_9x18pm_75,"PP-9 Klin 9x18PM 75-round custom drum magazine"
modmag_kedr_custom_9x18pm_75Desc,"Weight: 1.545kg\nErgonomics: -7\nReload Speed: -15%\nMagazine capacity: 75\nCompatible with: PP-9 Klin"

modmag_pp_19_01_f5mfg_kr9_drum_mag_9x19_50,"PP-19-01 9x19 F5 MFG 50-round drum magazine"
modmag_pp_19_01_f5mfg_kr9_drum_mag_9x19_50Desc,"Weight: 0.93kg\nErgonomics: -13\nReload Speed: default\nMagazine capacity: 50\nCompatible with: PP-19-01 Vityaz"

modmag_sr2m_custom_taped_9x21_60,"SR-2M 9x21 60-round magazine(taped)"
modmag_sr2m_custom_taped_9x21_60Desc,"Weight: 1.1kg\nErgonomics: -11\nReload Speed: default\nMagazine capacity: 60\nCompatible with: SR-2M Veresk"

modmag_uzi_iwi_9x19_50,"UZI 9x19 50-round magazine"
modmag_uzi_iwi_9x19_50Desc,"Weight: 0.55kg\nErgonomics: -5\nReload Speed: default\nMagazine capacity: 50\nCompatible with: UZI"

modmag_mp5_x_products_x_5_9x19_50,"HK MP5 9x19 X Products X-5 50-round drum magazine"
modmag_mp5_x_products_x_5_9x19_50Desc,"Weight: 0.64kg\nErgonomics: -15\nReload Speed: default\nMagazine capacity: 50\nCompatible with: MP5 Variants"

modmag_uzi_beta_cmag_9x19_100,"UZI 9x19 Beta C-Mag 100-round drum magazine"
modmag_uzi_beta_cmag_9x19_100Desc,"Weight: 1.5kg\nErgonomics: -16\nReload Speed: -15%\nMagazine capacity: 100\nCompatible with: UZI"

