Key,english
modscopeSRS02,"Kính ngắm phản xạ Trijicon SRS 02"
modscopeSRS02Desc,"Trọng lượng: 0.390kg\nCông thái học:-1\nTương thích: hầu hết các loại súng"
modscopeValdayKrechet,"Kính ngắm phản xạ Valday Krechet"
modscopeValdayKrechetDesc,"Trọng lượng: 0.350kg\nCông thái học:-4\nTương thích: hầu hết các loại súng"
modscopeValdayPK120,"Kính ngắm phản xạ Valday PK-120"
modscopeValdayPK120Desc,"Trọng lượng: 0.300kg\nCông thái học:-4\nTương thích: hầu hết các loại súng"
modscopeVOMZPiladP1,"Kính ngắm phản xạ VOMZ Pilad P1x42"
modscopeVOMZPiladP1Desc,"Trọng lượng: 0.300kg\nCông thái học:-3\nTương thích: hầu hết các loại súng"
modscopeVortexRazorAMGUH1,"Kính ngắm phản xạ Vortex Razor AMG UH-1"
modscopeVortexRazorAMGUH1Desc,"Trọng lượng: 0.160kg\nCông thái học:-4\nTương thích: hầu hết các loại súng"
modscopewalthermrsreflex,"Kính ngắm phản xạ Walther MRS"
modscopewalthermrsreflexDesc,"Trọng lượng: 0.110kg\nCông thái học:-3\nTương thích: hầu hết các loại súng"
modscopeWilcoxBossXeHP,"Kính ngắm phản xạ Wilcox BOSS Xe"
modscopeWilcoxBossXeHPDesc,"Trọng lượng: 0.250kg\nCông thái học:-2\nTương thích: hầu hết các loại súng"
modscopeokp7reflex,"Kính ngắm phản xạ OKP-7"
modscopeokp7reflexDesc,"Trọng lượng: 0.300kg\nCông thái học:-4\nTương thích: hầu hết các loại súng"
modscopeEOTech553holo,"Kính ngắm Holographic EOTech 553"
modscopeEOTech553holoDesc,"Trọng lượng: 0.350kg\nCông thái học:-2\nTương thích: hầu hết các loại súng"
modscopeFNP90ringreflex,"Kính ngắm phản xạ dạng vòng P90"
modscopeFNP90ringreflexDesc,"Trọng lượng: 0.300kg\nTương thích: P90"
modscopeElcanSpecterDR,"Ống ngắm ELCAN SpecterDR 1x/4x"
modscopeElcanSpecterDRDesc,"Trọng lượng: 0.640kg\nCông thái học:-4\nTương thích: hầu hết các loại súng\nNhấn [action:KFLibPlayerActions:ToggleZoomLevel] để chuyển đổi mức thu phóng\nNhấn hoặc giữ 'F' để kích hoạt kính ngắm phụ."
modscopeKibaArmsPrism,"Ống ngắm lăng kính ngắn Kiba Arms 2.5x"
modscopeKibaArmsPrismDesc,"Trọng lượng: 0.440kg\nCông thái học:-4\nTương thích: hầu hết các loại súng"
modscopeNPZ1p78,"Ống ngắm NPZ 1P78-1 2.8x ngàm Dovetail"
modscopeNPZ1p78Desc,"Trọng lượng: 0.640kg\nCông thái học:-7\nTương thích: các loại súng có ngàm Dovetail"
modscopeNPZ1p29,"Ống ngắm NPZ USP-1 Tyulpan 4x ngàm Dovetail"
modscopeNPZ1p29Desc,"Trọng lượng: 0.800kg\nCông thái học:-6\nTương thích: các loại súng có ngàm Dovetail"
modscopeBelOMOPSO1M2,"Ống ngắm BelOMO PSO-1M2-1 4x24 ngàm Dovetail"
modscopeBelOMOPSO1M2Desc,"Trọng lượng: 0.600kg\nCông thái học:-7\nTương thích: các loại súng có ngàm Dovetail"
modscopemonstrumcompact,"Ống ngắm nhỏ gọn Monstrum"
modscopemonstrumcompactDesc,"Trọng lượng: 0.425kg\nCông thái học:-3\nTương thích: hầu hết các loại súng"
modscopeSwampFoxPrism,"Ống ngắm lăng kính SwampFox Trihawk 3x30"
modscopeSwampFoxPrismDesc,"Trọng lượng: 0.440kg\nCông thái học:-3\nTương thích: hầu hết các loại súng"
modscopeeotechhhshybrid,"Kính ngắm lai EOTech HHS"
modscopeeotechhhshybridDesc,"Trọng lượng: 0.635kg\nCông thái học:-3\nTương thích: hầu hết các loại súng\nNhấn hoặc giữ 'F' để bật/tắt kính phóng đại."
modscopeG36HensoldtCarryHandle3x,"Ống ngắm quai xách HK G36 Hensoldt HKV 3x"
modscopeG36HensoldtCarryHandle3xDesc,"Trọng lượng: 0.420kg\nCông thái học:-3\nTương thích: G36\nNhấn hoặc giữ 'F' để kích hoạt kính ngắm phụ."
modscopeacogta01NSN4x32,"Ống ngắm Trijicon ACOG TA01NSN 4x32"
modscopeacogta01NSN4x32Desc,"Trọng lượng: 0.560kg\nCông thái học:-4\nTương thích: hầu hết các loại súng\nNhấn hoặc giữ 'F' để kích hoạt kính ngắm phụ."
modscopeacogta11D35x,"Ống ngắm Trijicon ACOG TA11D 3.5x35"
modscopeacogta11D35xDesc,"Trọng lượng: 0.560kg\nCông thái học:-4\nTương thích: hầu hết các loại súng\nNhấn hoặc giữ 'F' để kích hoạt kính ngắm phụ."
modscopeLeupoldMark4Hamr,"Ống ngắm Leupold Mark 4 HAMR 4x24"
modscopeLeupoldMark4HamrDesc,"Trọng lượng: 0.460kg\nCông thái học:-4\nTương thích: hầu hết các loại súng\nNhấn hoặc giữ 'F' để kích hoạt kính ngắm phụ."
modscopeSIGBravo4,"Ống ngắm SIG Sauer BRAVO4 4x30"
modscopeSIGBravo4Desc,"Trọng lượng: 0.530kg\nCông thái học:-2\nTương thích: hầu hết các loại súng\nCó thể lắp thêm kính ngắm phản xạ siêu nhỏ phụ trợ cho chiến đấu tầm gần."
modscopeValdayPS320,"Ống ngắm Valday PS-320 1/6x"
modscopeValdayPS320Desc,"Trọng lượng: 0.570kg\nCông thái học:-5\nTương thích: hầu hết các loại súng\nNhấn [action:KFLibPlayerActions:ToggleZoomLevel] để chuyển đổi mức thu phóng."
modscopeSBPMII18x2430mm,"Ống ngắm Schmidt & Bender PM II 1-8x24"
modscopeSBPMII18x2430mmDesc,"Trọng lượng: 1.250kg\nCông thái học:-3\nTương thích: hầu hết các loại súng\nCuộn con lăn chuột để thay đổi mức thu phóng, hoặc nhấn [action:KFLibPlayerActions:ToggleZoomLevel] để chuyển đổi mức thu phóng\nCó thể lắp thêm kính ngắm phản xạ siêu nhỏ phụ trợ cho chiến đấu tầm gần."
modscopeSBPMII320x5034mm,"Ống ngắm Schmid & Bender PM II 3-20x50"
modscopeSBPMII320x5034mmDesc,"Trọng lượng: 1.250kg\nCông thái học:-6\nTương thích: hầu hết các loại súng\nCuộn con lăn chuột để thay đổi mức thu phóng, hoặc nhấn [action:KFLibPlayerActions:ToggleZoomLevel] để chuyển đổi mức thu phóng\nNhấn hoặc giữ 'F' để kích hoạt kính ngắm phụ."
modscopeSBPMII525x5634mm,"Ống ngắm súng trường Schmidt & Bender PM II 5-25x56"
modscopeSBPMII525x5634mmDesc,"Trọng lượng: 1.530kg\nCông thái học:-8\nTương thích: hầu hết các loại súng\nCuộn con lăn chuột để thay đổi mức thu phóng, hoặc nhấn [action:KFLibPlayerActions:ToggleZoomLevel] để chuyển đổi mức thu phóng\nCó thể lắp thêm kính ngắm phản xạ siêu nhỏ phụ trợ cho chiến đấu tầm gần."
modscopeBFTac3014x2430mm,"Ống ngắm súng trường Burris Fullfield TAC30 1-4x24"
modscopeBFTac3014x2430mmDesc,"Trọng lượng: 0.780kg\nCông thái học:-4\nTương thích: hầu hết các loại súng\nCuộn con lăn chuột để thay đổi mức thu phóng, hoặc nhấn [action:KFLibPlayerActions:ToggleZoomLevel] để chuyển đổi mức thu phóng\nCó thể lắp thêm kính ngắm phản xạ siêu nhỏ phụ trợ cho chiến đấu tầm gần."
modscopeEOTVudu16x2430mm,"Ống ngắm súng trường EOTech Vudu 1-6x24"
modscopeEOTVudu16x2430mmDesc,"Trọng lượng: 0.810kg\nCông thái học:-4\nTương thích: hầu hết các loại súng\nCuộn con lăn chuột để thay đổi mức thu phóng, hoặc nhấn [action:KFLibPlayerActions:ToggleZoomLevel] để chuyển đổi mức thu phóng\nCó thể lắp thêm kính ngắm phản xạ siêu nhỏ phụ trợ cho chiến đấu tầm gần."
modscopeLeupoldMark4LR30mm,"Ống ngắm súng trường Leupold Mark4 LR 6.5-20x50"
modscopeLeupoldMark4LR30mmDesc,"Trọng lượng: 0.970kg\nCông thái học:-3\nTương thích: hầu hết các loại súng\nCuộn con lăn chuột để thay đổi mức thu phóng, hoặc nhấn [action:KFLibPlayerActions:ToggleZoomLevel] để chuyển đổi mức thu phóng\nCó thể lắp thêm kính ngắm phản xạ siêu nhỏ phụ trợ cho chiến đấu tầm gần."
modscopeMarchTactical30mm,"Ống ngắm súng trường March Tactical 3-24x42"
modscopeMarchTactical30mmDesc,"Trọng lượng: 0.940kg\nCông thái học:-5\nTương thích: hầu hết các loại súng\nCuộn con lăn chuột để thay đổi mức thu phóng, hoặc nhấn [action:KFLibPlayerActions:ToggleZoomLevel] để chuyển đổi mức thu phóng\nCó thể lắp thêm kính ngắm phản xạ siêu nhỏ phụ trợ cho chiến đấu tầm gần."
modscopeSIGTango6T16x2430mm,"Ống ngắm súng trường SIG Sauer TANGO6T 1-6x24"
modscopeSIGTango6T16x2430mmDesc,"Trọng lượng: 0.870kg\nCông thái học:-4\nTương thích: hầu hết các loại súng\nCuộn con lăn chuột để thay đổi mức thu phóng, hoặc nhấn [action:KFLibPlayerActions:ToggleZoomLevel] để chuyển đổi mức thu phóng."
modscopeRazorHDGen216x2430mm,"Ống ngắm súng trường Vortex Razor HD Gen.2 1-6x24"
modscopeRazorHDGen216x2430mmDesc,"Trọng lượng: 0.810kg\nCông thái học:-4\nTương thích: hầu hết các loại súng\nCuộn con lăn chuột để thay đổi mức thu phóng, hoặc nhấn [action:KFLibPlayerActions:ToggleZoomLevel] để chuyển đổi mức thu phóng\nCó thể lắp thêm kính ngắm phản xạ siêu nhỏ phụ trợ cho chiến đấu tầm gần."
modscopeNFATACR735x5634mm,"Ống ngắm súng trường Nightforce ATACR 7-35x56"
modscopeNFATACR735x5634mmDesc,"Trọng lượng: 1.470kg\nCông thái học:-8\nTương thích: hầu hết các loại súng\nCuộn con lăn chuột để thay đổi mức thu phóng, hoặc nhấn [action:KFLibPlayerActions:ToggleZoomLevel] để chuyển đổi mức thu phóng\nCó thể lắp thêm kính ngắm phản xạ siêu nhỏ phụ trợ cho chiến đấu tầm gần."
modscopeHensoldtFF416x5634mm,"Ống ngắm súng trường Hensoldt FF 4-16x56"
modscopeHensoldtFF416x5634mmDesc,"Trọng lượng: 1.260kg\nCông thái học:-6\nTương thích: hầu hết các loại súng\nCuộn con lăn chuột để thay đổi mức thu phóng, hoặc nhấn [action:KFLibPlayerActions:ToggleZoomLevel] để chuyển đổi mức thu phóng\nCó thể lắp thêm kính ngắm phản xạ siêu nhỏ phụ trợ cho chiến đấu tầm gần."
modscopeNCStarADO,"Ống ngắm súng trường NcSTAR ADO P4 Sniper 3-9x42"
