Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
recycledAmmoSonjaEft54539AP,items,item,,,Đạn 5.45×39mm - BS Tái Chế,,,,,,,,,,,,,
recycledAmmoSonjaEft54539HP,items,item,,,Đạn 5.45×39mm - HP Tái Chế,,,,,,,,,,,,,
recycledAmmoSonjaEft55645NATO,items,item,,,Đạn 5.56×45mm - M855 Tái Chế,,,,,,,,,,,,,
recycledAmmoSonjaEft55645NATOAP,items,item,,,Đạn 5.56×45mm - SSA AP Tái Chế,,,,,,,,,,,,,
recycledAmmoSonjaEft55645NATOHP,items,item,,,Đạn 5.56×45mm - HP Tái Chế,,,,,,,,,,,,,
recycledAmmoSonjaEft300blk,items,item,,,Đạn .300 blk - BCP FMJ Tái Chế,,,,,,,,,,,,,
recycledAmmoSonjaEft300BblkAP,items,item,,,Đạn .300 blk - AP Tái Chế,,,,,,,,,,,,,
recycledAmmoSonjaEft300blkAP,items,item,,,Đạn .300 blk - AP Tái Chế,,,,,,,,,,,,,
recycledAmmoSonjaEft300blkHP,items,item,,,Đạn .300 blk - Whisper Tái Chế,,,,,,,,,,,,,
recycledAmmoSonjaEft76239,items,item,,,Đạn 7.62×39mm - T45M1 Tái Chế,,,,,,,,,,,,,
recycledAmmoSonjaEft76239AP,items,item,,,Đạn 7.62×39mm - MAI AP Tái Chế,,,,,,,,,,,,,
recycledAmmoSonjaEft76239HP,items,item,,,Đạn 7.62×39mm - HP Tái Chế,,,,,,,,,,,,,
recycledAmmoSonjaEft939,items,item,,,Đạn 9x39mm - SP5 Tái Chế,,,,,,,,,,,,,
recycledAmmoSonjaEft939AP,items,item,,,Đạn 9x39mm - AP Tái Chế,,,,,,,,,,,,,
recycledAmmoSonjaEft939HP,items,item,,,Đạn 9x39mm - HP Tái Chế,,,,,,,,,,,,,
recycledAmmoSonjaEft76251NATO,items,item,,,Đạn 7.62×51mm - BCP FMJ Tái Chế,,,,,,,,,,,,,
recycledAmmoSonjaEft76251NATOAP,items,item,,,Đạn 7.62×51mm - M993 Tái Chế,,,,,,,,,,,,,
recycledAmmoSonjaEft76251NATOHP,items,item,,,Đạn 7.62×51mm - Ultra Nosler Tái Chế,,,,,,,,,,,,,
recycledAmmoSonjaEft76254R,items,item,,,Đạn 7.62×54R - T46M Tái Chế,,,,,,,,,,,,,
recycledAmmoSonjaEft76254RAP,items,item,,,Đạn 7.62×54R - BT Tái Chế,,,,,,,,,,,,,
recycledAmmoSonjaEft76254RHP,items,item,,,Đạn 7.62×54R - HP BT Tái Chế,,,,,,,,,,,,,
recycledAmmoSonjaEft12755PS12,items,item,,,Đạn 12.7×55mm - PS12 Tái Chế,,,,,,,,,,,,,
recycledAmmoSonjaEft12755PS12A,items,item,,,Đạn 12.7×55mm - PS12A Tái Chế,,,,,,,,,,,,,
recycledAmmoSonjaEft12755PS12B,items,item,,,Đạn 12.7×55mm - PS12B Tái Chế,,,,,,,,,,,,,
recycledAmmoSonjaEft338,items,item,,,Đạn .338 LAPUA Magnum - FMJ Tái Chế,,,,,,,,,,,,,
recycledAmmoSonjaEft338AP,items,item,,,Đạn .338 LAPUA Magnum - AP Tái Chế,,,,,,,,,,,,,
recycledAmmoSonjaEft338HP,items,item,,,Đạn .338 LAPUA Magnum - TAC-X Tái Chế,,,,,,,,,,,,,
recycledAmmoSonjaEft76225mmTokarev,items,item,,,Đạn 7.62×25mm - Pst gzh Tái Chế,,,,,,,,,,,,,
recycledAmmoSonjaEft918mmPM,items,item,,,Đạn 9×18mm PM Tái Chế,,,,,,,,,,,,,
recycledAmmoSonjaEft919mm,items,item,,,Đạn 9×19mm - Pst gzh Tái Chế,,,,,,,,,,,,,
recycledAmmoSonjaEft919mmAP,items,item,,,Đạn 9×19mm - AP 6.3 Tái Chế,,,,,,,,,,,,,
recycledAmmoSonjaEft919mmHP,items,item,,,Đạn 9×19mm - RIP Tái Chế,,,,,,,,,,,,,
recycledAmmoSonjaEft921mm,items,item,,,Đạn 9×21mm - PS Tái Chế,,,,,,,,,,,,,
recycledAmmoSonjaEft921mmAP,items,item,,,Đạn 9×21mm - 7N42 Tái Chế,,,,,,,,,,,,,
recycledAmmoSonjaEft921mmHP,items,item,,,Đạn 9×21mm - PE Tái Chế,,,,,,,,,,,,,
recycledAmmoSonjaEft45ACP,items,item,,,Đạn .45 ACP - FMJ Tái Chế,,,,,,,,,,,,,
recycledAmmoSonjaEft45ACPAP,items,item,,,Đạn .45 ACP - AP 6.3 Tái Chế,,,,,,,,,,,,,
recycledAmmoSonjaEft45ACPRIP,items,item,,,Đạn .45 ACP - RIP Tái Chế,,,,,,,,,,,,,
recycledAmmoSonjaEft4630mmHK,items,item,,,Đạn 4.6×30mm - FMJ SX Tái Chế,,,,,,,,,,,,,
recycledAmmoSonjaEft4630mmHKAP,items,item,,,Đạn 4.6×30mm - AP SX Tái Chế,,,,,,,,,,,,,
recycledAmmoSonjaEft4630mmHKHP,items,item,,,Đạn 4.6×30mm - Action SX Tái Chế,,,,,,,,,,,,,
recycledAmmoSonjaEft5728FN,items,item,,,Đạn FN 5.7×28mm - SB193 Tái Chế,,,,,,,,,,,,,
recycledAmmoSonjaEft5728FNAP,items,item,,,Đạn FN 5.7×28mm - SS190 Tái Chế,,,,,,,,,,,,,
recycledAmmoSonjaEft5728FNHP,items,item,,,Đạn FN 5.7×28mm - R37.F Tái Chế,,,,,,,,,,,,,
recycledAmmoSonjaEft50ae,items,item,,,Đạn .50 AE - FMJ Tái Chế,,,,,,,,,,,,,
recycledAmmoSonjaEft50aeHP,items,item,,,Đạn .50 AE - JHP Tái Chế,,,,,,,,,,,,,
recycledAmmoSonjaEft7mmShotgun,items,item,,,Đạn Ghém 12/70 7mm Tái Chế,,,,,,,,,,,,,
recycledAmmoSonjaEftFlechetteShotgun,items,item,,,Đạn Phi Tiêu 12/70 Tái Chế,,,,,,,,,,,,,
recycledAmmoSonjaEftAP20Slug,items,item,,,Đạn Slug 12/70 AP-20 Tái Chế,,,,,,,,,,,,,
recycledAmmoSonjaEftShrapnel25Shotgun,items,item,,,Đạn Ghém 23×75mm Shrapnel-25 Tái Chế,,,,,,,,,,,,,
recycledAmmoSonjaEftBarricadeSlug,items,item,,,Đạn Slug 23×75mm Barrikada Tái Chế,,,,,,,,,,,,,
recycledAmmoSonjaEft4046381,items,item,,,Lựu Đạn 40×46mm M381 (HE) Tái Chế,,,,,,,,,,,,,
recycledAmmoSonjaEft4053vog25,items,item,,,Lựu Đạn 40×53mm VOG-25 Tái Chế,,,,,,,,,,,,,

recycledAmmoSonjaVE9mm,items,item,,,Đạn 9mm Nâng Cấp Tái Chế,,,,,,,,,,,,,
recycledAmmoSonjaVE9mmHP,items,item,,,Đạn 9mm HP Nâng Cấp Tái Chế,,,,,,,,,,,,,
recycledAmmoSonjaVE9mmAP,items,item,,,Đạn 9mm AP Nâng Cấp Tái Chế,,,,,,,,,,,,,
recycledAmmoSonjaVE44,items,item,,,Đạn .44 Nâng Cấp Tái Chế,,,,,,,,,,,,,
recycledAmmoSonjaVE44HP,items,item,,,Đạn .44 HP Nâng Cấp Tái Chế,,,,,,,,,,,,,
recycledAmmoSonjaVE44AP,items,item,,,Đạn .44 AP Nâng Cấp Tái Chế,,,,,,,,,,,,,
recycledAmmoSonjaVE762mm,items,item,,,Đạn 7.62mm Nâng Cấp Tái Chế,,,,,,,,,,,,,
recycledAmmoSonjaVE762mmHP,items,item,,,Đạn 7.62mm HP Nâng Cấp Tái Chế,,,,,,,,,,,,,
recycledAmmoSonjaVE762mmAP,items,item,,,Đạn 7.62mm AP Nâng Cấp Tái Chế,,,,,,,,,,,,,
recycledAmmoSonjaVEShells,items,item,,,Đạn Ghém Nâng Cấp Tái Chế,,,,,,,,,,,,,
recycledAmmoSonjaVESlugs,items,item,,,Đạn Slug Nâng Cấp Tái Chế,,,,,,,,,,,,,
recycledAmmoSonjaVEBreachslugs,items,item,,,Đạn Slug Phá Cửa Nâng Cấp Tái Chế,,,,,,,,,,,,,
recycledAmmoSonjaVEArrowI,items,item,,,Mũi Tên Sắt Nâng Cấp Tái Chế,,,,,,,,,,,,,
recycledAmmoSonjaVEArrowS,items,item,,,Mũi Tên Thép Nâng Cấp Tái Chế,,,,,,,,,,,,,
recycledAmmoSonjaVEArrowF,items,item,,,Mũi Tên Lửa Nâng Cấp Tái Chế,,,,,,,,,,,,,
recycledAmmoSonjaVEArrowE,items,item,,,Mũi Tên Nổ Nâng Cấp Tái Chế,,,,,,,,,,,,,
recycledAmmoSonjaVEBoltI,items,item,,,Mũi Tên Nỏ Sắt Nâng Cấp Tái Chế,,,,,,,,,,,,,
recycledAmmoSonjaVEBoltS,items,item,,,Mũi Tên Nỏ Thép Nâng Cấp Tái Chế,,,,,,,,,,,,,
recycledAmmoSonjaVEBoltF,items,item,,,Mũi Tên Nỏ Lửa Nâng Cấp Tái Chế,,,,,,,,,,,,,
recycledAmmoSonjaVEBoltE,items,item,,,Mũi Tên Nỏ Nổ Nâng Cấp Tái Chế,,,,,,,,,,,,,
