Key,File,Type,UsedInMainMenu,english,schinese
kflibSettingCurrentWeaponName,UI,Menu,x,Vũ khí hiện tại,
kflibSettingEnableOverrideName,UI,Menu,x,Bật ghi đè,
kflibSettingEnableOverrideDesc,UI,Menu,x,Bật ghi đè cường độ hoạt ảnh cho vũ khí này.,
kflibSettingDefaultWeightDesc,UI,Menu,x,Hệ số cường độ tổng thể cho vũ khí này. Giá trị này sẽ được nhân với các hệ số nhãn tương ứng.,

kflibTabMiscSettingsName,UI,Menu,x,Khác,
kflibCategoryAutoInspect,UI,Menu,x,Tự động kiểm tra,
kflibSettingEnableAutoInspectName,UI,Menu,x,Bật tự động kiểm tra,
kflibSettingEnableAutoInspectDesc,UI,Menu,x,Tự động kiểm tra vũ khí sau khi đứng yên một khoảng thời gian nhất định.,
kflibSettingAutoInspectIntervalName,UI,Menu,x,Giãn cách tự động kiểm tra,
kflibSettingAutoInspectIntervalDesc,UI,Menu,x,Khoảng thời gian chờ trước khi hoạt ảnh kiểm tra tự kích hoạt.,
