Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
Snowboard01VLD,blocks,Block,,,Ván Trượt Tuyết,,,,,,,,,,,,,
Snowboard02VLD,blocks,Block,,,Ván Trượt Tuyết (Mặt Sau),,,,,,,,,,,,,
Snowboard03VLD,blocks,Block,,,Ván Trượt Tuyết,,,,,,,,,,,,,
WeightRack01VLD,blocks,Block,,,Giá Để Tạ,,,,,,,,,,,,,
RecordRegularVLD,blocks,Block,,,Đĩa Nhạc Trong Khung,,,,,,,,,,,,,
RecordGoldVLD,blocks,Block,,,Đĩa Nhạc Vàng,,,,,,,,,,,,,
RecordPlatinumVLD,blocks,Block,,,Đĩa Nhạc Bạch Kim,,,,,,,,,,,,,
YellowCouch01VLD,blocks,Block,,,Ghế Sofa Vàng,,,,,,,,,,,,,
GarageWallClockVLM,blocks,Block,,,Đồng Hồ Gara Cổ Điển,,,,,,,,,,,,,
RetroWallClockVLD,blocks,Block,,,Đồng Hồ Treo Tường Retro,,,,,,,,,,,,,
ArtDecoChair01VLD,blocks,Block,,,Ghế Bành Art Deco,,,,,,,,,,,,,
ArtDecoChair02VLD,blocks,Block,,,Ghế Dáng Sò Art Deco,,,,,,,,,,,,,
ArtDecoChair03VLD,blocks,Block,,,Ghế Văn Phòng Bọc Da,,,,,,,,,,,,,
ArtDecoCouch01VLD,blocks,Block,,,Ghế Sofa Art Deco,,,,,,,,,,,,,
ArtDecoCouch02VLD,blocks,Block,,,Ghế Sofa Dáng Sò Art Deco,,,,,,,,,,,,,
ArtDecoScreen01VLD,blocks,Block,,,Bình Phong Gấp Art Deco,,,,,,,,,,,,,
ArtDecoScreen02VLD,blocks,Block,,,Bình Phong Gấp Art Deco,,,,,,,,,,,,,
ArtDecoBed01VLD,blocks,Block,,,Giường Art Deco,,,,,,,,,,,,,
ArtDecoMirror01VLD,blocks,Block,,,Gương Art Deco,,,,,,,,,,,,,
ArtDecoMirror02VLD,blocks,Block,,,Gương Art Deco,,,,,,,,,,,,,
ArtDecoMirror03VLD,blocks,Block,,,Gương Art Deco,,,,,,,,,,,,,
ArtDecoTable01VLD,blocks,Block,,,Bàn Cà Phê Art Deco,,,,,,,,,,,,,
ArtDecoSculpture01VLD,blocks,Block,,,Tượng Mèo Trang Trí,,,,,,,,,,,,,
ArtDecoSculpture02VLD,blocks,Block,,,Tượng Vũ Công Trang Trí,,,,,,,,,,,,,
ArtDecoSculpture03VLD,blocks,Block,,,Tượng Bán Thân Trừu Tượng,,,,,,,,,,,,,
ArtDecoSculpture04VLD,blocks,Block,,,Tượng Ngựa Trang Trí,,,,,,,,,,,,,
ArtDecoLamp01VLD,blocks,Block,,,Đèn Mèo Art Deco (Bật),,,,,,,,,,,,,
ArtDecoLampOff01VLD,blocks,Block,,,Đèn Mèo Art Deco (Tắt),,,,,,,,,,,,,
ArtDecoCeilingLight01VLD,blocks,Block,,,Đèn Trần Art Deco,,,,,,,,,,,,,
ArtDecoSideTable01VLD,blocks,Block,,,Bàn Cạnh Giường Art Deco,,,,,,,,,,,,,
ArtDecoCabinet01VLD,blocks,Block,,,Tủ Art Deco,,,,,,,,,,,,,
AcousticGuitar01VLD,blocks,Block,,,Đàn Guitar Thùng,,,,,,,,,,,,,
AcousticGuitarPropped01VLD,blocks,Block,,,Đàn Guitar Thùng (Dựng Tường),,,,,,,,,,,,,
ElectricGuitar01VLD,blocks,Block,,,Đàn Guitar Điện,,,,,,,,,,,,,
ElectricGuitarPropped01VLD,blocks,Block,,,Đàn Guitar Điện (Dựng Tường),,,,,,,,,,,,,
ElectricKeyboard01VLD,blocks,Block,,,Đàn Keyboard Midi,,,,,,,,,,,,,
ElectricKeyboardPropped01VLD,blocks,Block,,,Đàn Keyboard Midi (Dựng Tường),,,,,,,,,,,,,
Amplifier01VLD,blocks,Block,,,Loa Ampli,,,,,,,,,,,,,
Drumkit01VLD,blocks,Block,,,Bộ Trống,,,,,,,,,,,,,
StudioTrunk01VLD,blocks,Block,,,Rương Studio,,,,,,,,,,,,,
StudioTrunk02VLD,blocks,Block,,,Rương Studio,,,,,,,,,,,,,
StudioTrunk03VLD,blocks,Block,,,Rương Studio,,,,,,,,,,,,,
GrandPiano01VLD,blocks,Block,,,Đàn Đại Dương Cầm (Grand Piano),,,,,,,,,,,,,
NeonLetterAVLD,blocks,Block,,,Chữ Neon A,,,,,,,,,,,,,
NeonLetterBVLD,blocks,Block,,,Chữ Neon B,,,,,,,,,,,,,
NeonLetterCVLD,blocks,Block,,,Chữ Neon C,,,,,,,,,,,,,
NeonLetterDVLD,blocks,Block,,,Chữ Neon D,,,,,,,,,,,,,
NeonLetterEVLD,blocks,Block,,,Chữ Neon E,,,,,,,,,,,,,
NeonLetterFVLD,blocks,Block,,,Chữ Neon F,,,,,,,,,,,,,
NeonLetterGVLD,blocks,Block,,,Chữ Neon G,,,,,,,,,,,,,
NeonLetterHVLD,blocks,Block,,,Chữ Neon H,,,,,,,,,,,,,
NeonLetterIVLD,blocks,Block,,,Chữ Neon I,,,,,,,,,,,,,
NeonLetterJVLD,blocks,Block,,,Chữ Neon J,,,,,,,,,,,,,
NeonLetterKVLD,blocks,Block,,,Chữ Neon K,,,,,,,,,,,,,
NeonLetterLVLD,blocks,Block,,,Chữ Neon L,,,,,,,,,,,,,
NeonLetterMVLD,blocks,Block,,,Chữ Neon M,,,,,,,,,,,,,
NeonLetterNVLD,blocks,Block,,,Chữ Neon N,,,,,,,,,,,,,
NeonLetterOVLD,blocks,Block,,,Chữ Neon O,,,,,,,,,,,,,
NeonLetterPVLD,blocks,Block,,,Chữ Neon P,,,,,,,,,,,,,
NeonLetterQVLD,blocks,Block,,,Chữ Neon Q,,,,,,,,,,,,,
NeonLetterRVLD,blocks,Block,,,Chữ Neon R,,,,,,,,,,,,,
NeonLetterSVLD,blocks,Block,,,Chữ Neon S,,,,,,,,,,,,,
NeonLetterTVLD,blocks,Block,,,Chữ Neon T,,,,,,,,,,,,,
NeonLetterUVLD,blocks,Block,,,Chữ Neon U,,,,,,,,,,,,,
NeonLetterVVLD,blocks,Block,,,Chữ Neon V,,,,,,,,,,,,,
NeonLetterWVLD,blocks,Block,,,Chữ Neon W,,,,,,,,,,,,,
NeonLetterXVLD,blocks,Block,,,Chữ Neon X,,,,,,,,,,,,,
NeonLetterYVLD,blocks,Block,,,Chữ Neon Y,,,,,,,,,,,,,
NeonLetterZVLD,blocks,Block,,,Chữ Neon Z,,,,,,,,,,,,,
AdvertisingLit01VLD,blocks,Block,,,Bảng Mupi Stratim,,,,,,,,,,,,,
AdvertisingLit02VLD,blocks,Block,,,Bảng Mupi MegaCrush,,,,,,,,,,,,,
AdvertisingLit03VLD,blocks,Block,,,Bảng Mupi Higashi,,,,,,,,,,,,,
AdvertisingLit04VLD,blocks,Block,,,Bảng Mupi Oasis,,,,,,,,,,,,,
AdvertisingLit05VLD,blocks,Block,,,Bảng Mupi Cola,,,,,,,,,,,,,
ScientificWhiteBoardVLD,blocks,Block,,,Bảng Trắng Khoa Học,,,,,,,,,,,,,
JewelleryDisplay01VLD,blocks,Block,,,Tủ Trưng Bày Trang Sức,,,,,,,,,,,,,
JewelleryDisplay02VLD,blocks,Block,,,Tủ Trưng Bày Trang Sức,,,,,,,,,,,,,
YachtModelVLD,blocks,Block,,,Mô Hình Du Thuyền,,,,,,,,,,,,,
PeriodicPosterVLD,blocks,Block,,,Áp Phích Bảng Tuần Hoàn,,,,,,,,,,,,,
VictorianPicture01VLD,blocks,Block,,,Tranh Thời Victorian A,,,,,,,,,,,,,
VictorianPicture02VLD,blocks,Block,,,Tranh Thời Victorian B,,,,,,,,,,,,,
VictorianPicture03VLD,blocks,Block,,,Tranh Thời Victorian C,,,,,,,,,,,,,
VictorianPicture04VLD,blocks,Block,,,Tranh Thời Victorian D,,,,,,,,,,,,,
VictorianPicture05VLD,blocks,Block,,,Tranh Thời Victorian E,,,,,,,,,,,,,
VictorianPicture06VLD,blocks,Block,,,Tranh Thời Victorian F,,,,,,,,,,,,,
VictorianPicture07VLD,blocks,Block,,,Tranh Thời Victorian G,,,,,,,,,,,,,
VictorianPicture08VLD,blocks,Block,,,Tranh Thời Victorian H,,,,,,,,,,,,,
