challenge_whiteRiverCitizen1_hint1,Challenges,Challenge,,,[FFB400]Follow the on-screen navigation icon and head towards the trader.[-],,[FFB400]Folge dem Navigations-Symbol auf dem Bildschirm und gehe zum Händler.[-],[FFB400]Sigue el ícono de navegación que aparece en la pantalla para dirigirte al vendedor.[-],[FFB400]Suivez l'icône de navigation sur l'écran et dirigez-vous vers le marchand.[-],[FFB400]Segui l'icona di navigazione sullo schermo e raggiungi il negoziante.[-],[FFB400]スクリーン上のナビアイコンを頼りにトレーダーへと移動します。[-],[FFB400]화면의 내비게이션 아이콘을 따라 상인이 있는 곳으로 향하세요.[-],[FFB400]Podążaj za ikoną nawigującą na ekranie i skieruj się do handlarza.[-],[FFB400]Siga o ícone de navegação da tela e vá para o comerciante.[-],"[FFB400]Пройдите по указателям на экране, чтобы добраться до торговца.[-]",[FFB400]Ekrandaki gezinme simgesini takip et ve tüccara doğru ilerle.[-],[FFB400]跟随屏幕上的引导图标前往商人处。[-],[FFB400]跟隨螢幕導航圖示前往商人所在地。[-]
challengeBloodMoonSurvive5Short,Challenges,Challenge,,,Survive some Blood Moons.,,Überlebe einige Blutmonde.,Sobrevive a algunas lunas de sangre.,Survivez à des lunes sanglantes.,Sopravvivi ad alcune lune rosse.,ブラッドムーンを何度か生き抜く。,블러드 문에서 생존하세요.,Przetrwaj parę Krwawych Księżyców.,Sobreviva a algumas Luas de Sangue.,Переживите кровавую луну несколько раз.,Birkaç Kanlı Aydan sağ çık.,在几次血月中幸存。,在數次血月中存活下來。
challengeBurntCraftReducer,Challenges,Challenge,,,Craft Black Lung Serum,,Anthrakoseserum fertigen,Fabricar suero de pulmón negro,Fabriquer un sérum contre l'anthracose,Crea siero per polmoni neri,ブラックラング・セラム作成,검은 폐 세럼 제작하기,Wytwórz serum czarnego płuca,Fabricar Soro de Pulmão Preto,Изготовить сыворотку «Черные легкие»,Siyah Akciğer Serumu üret,制作黑肺血清,製作黑肺血清
challengeBurntCraftReducerDesc,Challenges,Challenge,,,Craft a [DECEA3]Black Lung Serum[-] to help increase your survival time while exploring the [DECEA3]Burnt Forest[-].\n\nCraft a [DECEA3]Black Lung Serum[-].,,"Fertige ein [DECEA3]Anthrakoseserum[-], um deine Überlebenszeit zu verlängern, während du den [DECEA3]Verbrannten Wald[-] erkundest.\n\nFertige ein [DECEA3]Anthrakoseserum[-].",Fabrica un [DECEA3]suero de pulmón negro[-] que te ayudará a aumentar tu tiempo de supervivencia mientras exploras el [DECEA3]bosque quemado[-].\n\nFabrica un [DECEA3]suero de pulmón negro[-].,Fabriquez un [DECEA3]sérum contre l'anthracose[-] pour survivre plus longtemps dans la [DECEA3]forêt brûlée[-].\n\nFabriquez un [DECEA3]sérum contre l'anthracose[-].,Crea un [DECEA3]siero per polmoni neri[-] per aumentare il tempo di sopravvivenza mentre esplori la [DECEA3]foresta bruciata[-].\n\nCrea un [DECEA3]siero per polmoni neri[-].,[DECEA3]ブラックラング・セラム[-]をクラフトして、[DECEA3]焼け森[-]内での生存時間を延ばしましょう。\n\n[DECEA3]ブラックラング・セラム[-]を作成する。,[DECEA3]검은 폐 세럼[-]을 제작하여 [DECEA3]불타버린 숲[-]에서의 생존 시간을 늘리고 더 오래 탐험할 수 있습니다.\n\n[DECEA3]검은 폐 세럼[-]을 제작하세요.,"Wytwórz [DECEA3]serum czarnego płuca[-], które pomoże ci wydłużyć czas przetrwania podczas odkrywania [DECEA3]Spalonego Lasu[-].\n\nWytwórz [DECEA3]serum czarnego płuca[-].","Um [DECEA3]Soro
 de Pulmão Preto[-] ajudará a aumentar seu tempo de sobrevivência para explorar a [DECEA3]Floresta Queimada[-].\n\nFabrique um [DECEA3]Soro
 de Pulmão Preto[-].","Изготовьте [DECEA3]сыворотку «Черные легкие»[-], чтобы увеличить время выживания в [DECEA3]Сгоревшем лесу[-].\n\nИзготовьте [DECEA3]сыворотку «Черные легкие»[-].",[DECEA3]Yanmış Ormanı[-] keşfederken hayatta kalma süreni uzatmak için bir [DECEA3]Siyah Akciğer Serumu[-] dozu üret.\n\nBir [DECEA3]Siyah Akciğer Serumu[-] üret.,一针[DECEA3]黑肺血清[-]可以延长你在[DECEA3]焚毁的森林[-]的生存时间。\n\n制作一剂[DECEA3]黑肺血清[-]。,製作一劑[DECEA3]黑肺血清[-]能幫助你在探索[DECEA3]燒毀的森林[-]時延長存活時間。\n\n製作一劑[DECEA3]黑肺血清[-]。
challengeBurntCraftReducerShort,Challenges,Challenge,,,Craft a Black Lung Serum.,,Fertige ein Anthrakoseserum.,Fabrica un suero de pulmón negro.,Fabriquez un sérum contre l'anthracose.,Crea un siero per polmoni neri.,ブラックラング・セラムを作成する。,검은 폐 세럼 1개를 제작하세요.,Wytwórz serum czarnego płuca.,Fabrique um Soro de Pulmão Preto.,Изготовьте сыворотку «Черные легкие».,Bir Siyah Akciğer Serumu üret.,制作一剂黑肺血清。,製作一劑黑肺血清。
challengeBurntGatherGear,Challenges,Challenge,,,Gather items for Smoke Gear,,Gegenstände für Rauchausrüstung sammeln,Reunir materiales para fabricar equipo antihumo,Collecter des objets pour l'équipement anti-fumée,Raccogli oggetti per l'equipaggiamento anti-fumo,濃煙装備の材料収集,연기 장비용 아이템 채집하기,Zbierz materiały na sprzęt dymny,Colete itens para o Equipamento de Fumaça.,Собрать материалы для антидымного снаряжения,Duman Ekipmanı için öğe topla,收集制作防烟装备的材料,收集製作防煙裝備的材料
challengeBurntGatherGearDesc,Challenges,Challenge,,,Several items are needed to craft the [DECEA3]Smoke Gear[-].\nCollect these items and complete all challenges in the Burnt Biome to unlock the [DECEA3]Smoke Gear[-] recipe.,,"Zum Herstellen der [DECEA3]Rauchausrüstung[-] werden mehrere Gegenstände benötigt.\nSammle diese Gegenstände und schließe alle Herausforderungen im Verbrannten Biom ab, um das Rezept für die [DECEA3]Rauchausrüstung[-] freizuschalten.",Se requieren varios objetos para fabricar el [DECEA3]equipo antihumo[-].\nReúne estos elementos y completa todos los desafíos en el bioma quemado para desbloquear la receta del [DECEA3]equipo antihumo[-].,Vous avez besoin de plusieurs objets pour fabriquer l'[DECEA3]équipement anti-fumée[-].\nRécupérez-les et terminez tous les défis de l'environnement brûlé pour déverrouiller la composition de l'[DECEA3]équipement anti-fumée[-].,Servono vari oggetti per creare l'[DECEA3]equipaggiamento anti-fumo[-].\nRaccoglili e completa tutte le sfide del bioma bruciato per sbloccare la ricetta dell'[DECEA3]equipaggiamento anti-fumo[-].,[DECEA3]濃煙装備[-]を作成するためにはいくつかのアイテムが必要です。\n[DECEA3]濃煙装備[-]のレシピをアンロックするために、これらのアイテムを収集し、焼け森バイオームのチャレンジを全て完了しましょう。,[DECEA3]연기 장비[-]를 제작하려면 여러 아이템이 필요합니다.\n이 아이템들을 모아 불타버린 숲 생물군계의 모든 도전을 완료하고 [DECEA3]연기 장비[-] 레시피를 잠금 해제하세요.,"Do wykonania [DECEA3]sprzętu dymnego[-] potrzebnych jest kilka przedmiotów.\nZbierz je i ukończ wszystkie wyzwania w biomie Spalonego Lasu, aby odblokować przepis na [DECEA3]sprzęt dymny[-].",Vários itens são necessários para fabricar o [DECEA3]Equipamento de Fumaça[-].\nColete esses itens e conclua todos os desafios no Bioma Queimado para desbloquear a receita do [DECEA3]Equipamento de Fumaça[-].,"Для изготовления [DECEA3]антидымного снаряжения[-] нужны кое-какие материалы.\nСоберите их и пройдите все испытания в сгоревшем биоме, чтобы разблокировать рецепт [DECEA3]антидымного снаряжения[-].",[DECEA3]Duman Ekipmanı[-] üretmek için birkaç öğe gerekir.\n[DECEA3]Duman Ekipmanı[-] tarifinin kilidini açmak için bu öğeleri topla ve Yanmış Biyomdaki tüm mücadeleleri tamamla.,制作[DECEA3]防烟装备[-]需多种材料。\n收集这些材料并完成森林环境的所有挑战，即可解锁[DECEA3]防烟装备[-]的制作配方。,製作[DECEA3]防煙裝備[-]需要多種材料。\n收集這些材料並完成焦炭生物群落中的所有挑戰，即可解鎖[DECEA3]防煙裝備[-]的配方。
challengeBurntGatherGearShort,Challenges,Challenge,,,Gather a few items needed to craft the Smoke Gear.,,"Sammle ein paar Gegenstände, die du für die Fertigung von Rauchausrüstung benötigst.",Reúne los objetos necesarios para fabricar el equipo antihumo.,Collectez des objets pour fabriquer l'équipement anti-fumée.,Raccogli alcuni oggetti per creare l'equipaggiamento anti-fumo.,濃煙装備作成に必要なアイテムを収集する。,연기 장비 제작에 필요한 아이템 몇 개를 채집하세요.,Zbierz kilka przedmiotów potrzebnych do wytworzenia sprzętu dymnego.,Colete alguns itens necessários para fabricar o Equipamento de Fumaça.,Соберите материалы для изготовления антидымного снаряжения.,Duman Ekipmanı üretmek için gereken birkaç öğeyi topla.,收集制作防烟装备所需的少量材料。,收集一些製作防煙裝備所需的材料。
challengeBurntHarvestCrop,Challenges,Challenge,,,Harvest Mushrooms,,Pilze sammeln,Cosecha de setas,Récolter des champignons,Raccogli funghi,キノコを採る,버섯 수확,Pozyskaj grzyby,Coletar cogumelos,Собрать грибы,Mantar Topla,采集蘑菇,採集蘑菇
challengeBurntHarvestCropDesc,Challenges,Challenge,,,The [DECEA3]Burnt Forest[-] is trying to heal. Patches of regrowth may have some [DECEA3]Mushrooms[-] ripe for the picking.\n\nHarvest some [DECEA3]Mushrooms[-] while in the [DECEA3]Burnt Forest[-].,,"Der [DECEA3]Verbrannte Wald[-] versucht sich zu heilen. Vielleicht findest du auf neugewachsenen Flächen einige [DECEA3]Pilze[-], die reif genug sind zum Sammeln.\n\nSammle einige [DECEA3]Pilze[-] im [DECEA3]Verbrannten Wald[-].",El [DECEA3]bosque quemado[-] está intentando sanar. Es posible que en las zonas de rebrote haya [DECEA3]setas[-] listas para ser cosechadas.\n\nCosecha [DECEA3]setas[-] mientras estés en el [DECEA3]bosque quemado[-].,La [DECEA3]forêt brûlée[-] tente de guérir. Il est même possible que vous y trouviez des [DECEA3]champignons[-] à ramasser.\n\nRécoltez des [DECEA3]champignons[-] dans la [DECEA3]forêt brûlée[-].,La [DECEA3]foresta bruciata[-] sta provando a guarire. Nelle zone di crescita potrebbero esserci dei [DECEA3]funghi[-] pronti per essere raccolti.\n\nRaccogli dei [DECEA3]funghi[-] mentre sei nella [DECEA3]foresta bruciata[-].,[DECEA3]焼け森[-]が再生しようとしています。再生中の地面には[DECEA3]キノコ[-]が生えているかもしれません。\n\n[DECEA3]焼け森[-]内で、[DECEA3]キノコ[-]を採る。,[DECEA3]불타버린 숲[-]이 회복하려 애쓰고 있습니다. 그렇게 자라난 식물 사이에는 잘 익은 [DECEA3]버섯[-]도 있을 수 있습니다.\n\n[DECEA3]불타버린 숲[-]에서 [DECEA3]버섯[-]을 수확하세요.,[DECEA3]Spalony las[-] stara się odrodzić. W miejscach odradzania mogą znajdować się [DECEA3]grzyby[-] gotowe do zebrania.\n\nPozyskaj kilka [DECEA3]grzybów[-] podczas pobytu w [DECEA3]Spalonym lesie[-].,A [DECEA3]Floresta Queimada[-] está tentando se regenerar. Alguns pontos de reflorestamento podem ter [DECEA3]cogumelos[-] prontos para colheita.\n\nPegue alguns [DECEA3]cogumelos[-] na [DECEA3]Floresta Queimada[-].,"[DECEA3]Сгоревший лес[-] пытается восстановиться. На некоторых участках могут найтись [DECEA3]грибы[-], которые можно собрать.\n\nСоберите [DECEA3]грибы[-] в [DECEA3]Сгоревшем лесу[-].",[DECEA3]Yanmış Orman[-] iyileşmeye çalışıyor. Yeniden yeşeren alanlarda toplanmaya hazır birkaç [DECEA3]Mantar[-] bulunabilir.\n\n[DECEA3]Yanmış Ormandayken[-] biraz [DECEA3]Mantar[-] topla.,[DECEA3]焚毁的森林[-]正在自我修复，植被重新生长的区域可能有成熟[DECEA3]蘑菇[-]供采摘。\n\n在[DECEA3]焚毁的森林[-]中采集[DECEA3]蘑菇[-]。,[DECEA3]燒毀的森林[-]正努力恢復生機，部分重新生長的地區可能會長出[DECEA3]蘑菇[-]供你採集。\n\n在[DECEA3]燒毀的森林[-]中採集一些[DECEA3]蘑菇[-]。
challengeBurntHarvestCropShort,Challenges,Challenge,,,Harvest some Mushrooms.,,Sammle einige Pilze.,Cosecha algunas setas.,Récoltez des champignons.,Raccogli dei funghi.,キノコを採る。,버섯을 수확하세요.,Pozyskaj kilka grzybów.,Colete alguns cogumelos.,Соберите грибы.,Biraz Mantar topla.,采集一些蘑菇。,採集一些蘑菇。
challengeBurntHarvestOre,Challenges,Challenge,,,Harvest Nitrate Powder,,Nitratpulver sammeln,Recolección de pólvora de nitrato,Récolter de la poudre de nitrate,Raccogli salnitro,硝石粉末を採取する,질산염 분말 수집,Pozyskaj azotan potasu w postaci sypkiej,Coletar nitrato de potássio,Собрать порошковую селитру,Nitrat Tozu Topla,采集硝酸盐粉,採集硝酸鹽粉
challengeBurntHarvestOreDesc,Challenges,Challenge,,,[DECEA3]Nitrate Powder[-] is a plentiful resource in the [DECEA3]Burnt Forest[-].\n\nHarvest some [DECEA3]Nitrate Powder[-] while in the [DECEA3]Burnt Forest[-].,,[DECEA3]Nitratpulver[-] ist reichlich im [DECEA3]Verbrannten Wald[-] vorhanden.\n\nSammle etwas [DECEA3]Nitratpulver[-] im [DECEA3]Verbrannten Wald[-].,La [DECEA3]pólvora de nitrato[-] es un recurso muy abundante en el [DECEA3]bosque quemado[-].\n\nRecolecta [DECEA3]pólvora de nitrato[-] mientras estés en el [DECEA3]bosque quemado[-].,La [DECEA3]poudre de nitrate[-] est une ressource que l'on trouve facilement dans la [DECEA3]forêt brûlée[-].\n\nRécoltez de la [DECEA3]poudre de nitrate[-] dans la [DECEA3]forêt brûlée[-].,Il [DECEA3]salnitro[-] è una risorsa abbondante nella [DECEA3]foresta bruciata[-].\n\nRaccogli del [DECEA3]salnitro[-] mentre sei nella [DECEA3]foresta bruciata[-].,[DECEA3]硝石粉末[-]は[DECEA3]焼け森[-]の豊富な資源です。\n\n[DECEA3]焼け森[-]内で、[DECEA3]硝石粉末[-]を採取する。,[DECEA3]질산염 분말[-]은 [DECEA3]불타버린 숲[-]에서 많이 발견되는 자원입니다.\n\n[DECEA3]불타버린 숲[-]에 있는 동안 [DECEA3]질산염 분말[-]을 수확하세요.,[DECEA3]Azotan potasu w postaci sypkiej[-] można z łatwością znaleźć w [DECEA3]Spalonym lesie[-].\n\nPozyskaj trochę [DECEA3]azotanu potasu w postaci sypkiej[-] podczas pobytu w [DECEA3]Spalonym lesie[-].,O [DECEA3]nitrato de potássio[-] é um recurso abundante na [DECEA3]Floresta Queimada[-].\n\nColete um pouco de [DECEA3]nitrato de potássio[-] na [DECEA3]Floresta Queimada[-].,"[DECEA3]Порошковая селитра[-] — ресурс, которого много в [DECEA3]Сгоревшем лесу[-].\n\nСоберите [DECEA3]порошковую селитру[-] в [DECEA3]Сгоревшем лесу[-].","[DECEA3]Nitrat Tozu[-], [DECEA3]Yanmış Ormanda[-] bol bol bulunan bulunan bir kaynaktır.\n\n[DECEA3]Yanmış Ormandayken[-] biraz [DECEA3]Nitrat Tozu[-] topla.",[DECEA3]硝酸盐粉[-]是[DECEA3]焚毁的森林[-]中的丰富资源。\n\n在[DECEA3]焚毁的森林[-]中采集[DECEA3]硝酸盐粉[-]。,[DECEA3]硝酸鹽粉[-]在[DECEA3]燒毀的森林[-]中是一種常見的資源。\n\n前往[DECEA3]燒毀的森林[-]並採集一些[DECEA3]硝酸鹽粉[-]。
challengeBurntHarvestOreShort,Challenges,Challenge,,,Harvest some Nitrate Powder.,,Sammle etwas Nitratpulver.,Recolecta pólvora de nitrato.,Récoltez de la poudre de nitrate.,Raccogli del salnitro.,硝石粉末を採取する。,질산염 분말을 수집하세요.,Pozyskaj trochę azotanu potasu w postaci sypkiej.,Colete um pouco de nitrato de potássio.,Соберите порошковую селитру.,Biraz Nitrat Tozu topla.,采集一些硝酸盐粉。,採集一些硝酸鹽粉。
challengeBurntKillZombie,Challenges,Challenge,,,Kill Burnt Forest Biome Zombies,,Verbrannte Wald-Biom-Zombies töten,Matar zombis del bioma del boque quemado,Tuer des zombies de l'environnement de forêt brûlée,Uccidi zombie del bioma della foresta bruciata,焼け森バイオーム内でゾンビ討伐,불타버린 숲 생물군계 좀비 처치하기,Zabij zombie z biomu Spalonego Lasu,Mate zumbis do bioma Floresta Queimada,Убить тлеющих зомби в Сгоревшем лесу,Yanmış Orman Biyomu Zombisi Öldür,在森林环境中击杀被灼烧者丧尸,擊殺燒毀的森林生物群落殭屍
challengeBurntKillZombieDesc,Challenges,Challenge,,,These crispy souls wander aimlessly around the [DECEA3]Burnt Forest[-].\n\nKill some [DECEA3]Burnt Zombies[-] and other undead while in the [DECEA3]Burnt Forest Biome[-].,,Diese knusprigen Seelen wandern ziellos im [DECEA3]Verbrannten Wald[-] umher.\n\nTöte einige [DECEA3]verbrannte Zombies[-] und andere Untote im [DECEA3]Biom des Verbrannten Waldes[-].,Estas almas crujientes vagan sin rumbo por el [DECEA3]bosque quemado[-].\n\nMata a algunos [DECEA3]zombis quemados[-] y a otros no muertos mientras estés en el [DECEA3]bioma del bosque quemado[-].,Ces âmes calcinées errent sans but dans la [DECEA3]forêt brûlée[-].\n\nTuez des [DECEA3]zombies en feu[-] et d'autres morts-vivants dans l'[DECEA3]environnement de forêt brûlée[-].,Queste anime abbrustolite vagano senza meta nella [DECEA3]foresta bruciata[-].\n\nUccidi degli [DECEA3]zombie ustionati[-] e altri non morti mentre sei nel [DECEA3]bioma della foresta bruciata[-].,カリカリに焦げた彼らは[DECEA3]焼け森[-]内を彷徨い続けています。\n\n[DECEA3]焼け森[-]内で、[DECEA3]焦げたゾンビやその他ゾンビ[-]を何体か倒す。,이 바삭하게 타버린 영혼들은 [DECEA3]불타버린 숲[-]을 황망하게 돌아다닙니다.\n\n[DECEA3]불타버린 숲 생물군계[-]에 있는 동안 [DECEA3]불탄 좀비[-]와 다른 언데드를 처치하세요.,Te spieczone dusze bez celu błąkają się po [DECEA3]Spalonym Lesie[-].\n\nZabij kilka [DECEA3]spalonych zombie[-] i innych nieumarłych podczas pobytu w biomie [DECEA3]Spalonego Lasu[-].,Estas almas chamuscadas vagam sem rumo pela [DECEA3]Floresta Queimada[-].\n\nMate alguns [DECEA3]Zumbis Queimados[-] e outros mortos-vivos no bioma [DECEA3]Floresta Queimada[-].,Эти обгоревшие чудища бесцельно бродят по [DECEA3]Сгоревшему лесу[-].\n\nУбейте несколько [DECEA3]тлеющих зомби[-] и другой нечисти в биоме [DECEA3]Сгоревший лес[-].,"Bu kavrulmuş ruhlar, [DECEA3]Yanmış Ormanda[-] amaçsızca dolanıyor.\n\n[DECEA3]Yanmış Orman Biyomundayken[-] birkaç tane [DECEA3]Yanmış Zombi[-] ve başka hortlaklar da öldür.",这些焦脆的灵魂在[DECEA3]焚毁的森林[-]中游荡。\n\n在[DECEA3]焚毁的森林[-]中击杀[DECEA3]被灼烧者丧尸[-]和其他不死生物。,這些焦黑的靈魂無目的地遊蕩在[DECEA3]燒毀的森林[-]中。\n\n前往[DECEA3]燒毀的森林生物群落[-]擊殺一些[DECEA3]燒焦的殭屍[-]與其他不死生物。
challengeBurntKillZombieShort,Challenges,Challenge,,,Kill some Burnt Forest Biome Zombies.,,Töte einige verbrannte Wald-Biom-Zombies.,Mata a algunos zombis del bioma del boque quemado.,Tuez des zombies de l'environnement de forêt brûlée.,Uccidi degli zombie del bioma della foresta bruciata.,焼け森内でゾンビを何体か殺す。,불타버린 숲 생물군계 좀비를 처치하세요.,Zabij trochę zombie z biomu Spalonego Lasu.,Mate alguns zumbis do bioma Floresta Queimada.,Убейте несколько тлеющих зомби в Сгоревшем лесу.,Birkaç tane Yanmış Orman Biyomu Zombisi öldür.,在森林环境中击杀一些被灼烧者丧尸。,擊殺一些燒毀的森林生物群落殭屍。
challengeBurntLoot,Challenges,Challenge,,,Loot any container,,Beliebigen Behälter plündern,Saqueo de contenedores,Fouiller n'importe quel espace de stockage,Saccheggia qualsiasi contenitore,略奪品入りの容器を開く,아무 컨테이너나 약탈하기,Złup dowolny pojemnik,Saquear recipiente,Собрать добычу из контейнера,Herhangi bir kabı yağmala,搜刮任意容器,搜刮任何容器
