gunBotRoboticsParts,items,Gun,,,Robotics Parts,,Robotikteile,Partes de robótica,Pièces de robotique,Parti robotiche,ロボットパーツ,로보틱 터렛 부품,Robotyczne części,Peças de Robótica,Части роботизированной пушки,Robot Parçaları,机器人零件,機器人零件
gunBowT0PrimitiveBowDesc,items,Gun,,,Good for hunting and killing zombies. Uses arrows for ammunition.\nHold reload to use alternate ammo.\n\nRepair with Wood.\nScrap to Wood.,,"Eignet sich gut dazu, Zombies zu jagen und zu töten. Verwendet Pfeile als Munition.\nNachladen gedrückt halten, um zwischen Munitionstypen zu wechseln.\n\nKann mit Holz repariert werden.\nKann zu Holz zerlegt werden.",Ideal para cazar y matar zombis. Utiliza flechas como munición.\nMantén presionado recargar para usar munición alternativa.\n\nSe repara con madera.\nDesguázalo para obtener madera.,Idéal pour la chasse et pour tuer des zombies. Utilisez des flèches comme munitions.\nMaintenez le bouton de rechargement enfoncé pour utiliser un autre type de munition.\n\nSe répare avec du bois.\nSe recycle en bois.,"Buono per la caccia e per uccidere gli zombie. Necessita di frecce.\nTieni premuto ""Ricarica"" per equipaggiare altre munizioni.\n\nSi ripara con il legno.\nLa rottamazione produce legno.",狩りやゾンビ殺しに有効です。弾薬として矢を使用します。\nリロード長押しで別の弾薬を使用できます。\n\n木材で修復します。\n解体すると木材になります。,사냥과 좀비 처치에 효과가 좋습니다. 화살을 사용합니다.\n다른 탄약을 사용하려면 재장전을 길게 누르세요.\n\n목재로 수리할 수 있습니다.\n목재로 분해됩니다.,"Dobry do polowań i zabijania zombie. Potrzebujesz do niego strzał.\nPrzytrzymaj klawisz przeładowania, aby zmienić typ amunicji.\n\nPrzedmiot naprawisz z użyciem drewna.\nZ przedmiotu odzyskasz drewno.",Bom para caçar e abater zumbis. Use flechas como munição.\nSegure “recarregar” para alternar a munição.\n\nConserte com madeira.\nRecicle para obter madeira.,"Хорош для охоты или отстрела зомби. В качестве боеприпасов использует стрелы.\nУдерживайте клавишу перезарядки, чтобы сменить тип боеприпаса.\n\nРемонтируется с помощью дерева.\nРазбирается на дерево.",Zombileri avlamak ve öldürmek için etkilidir. Mühimmat olarak ok kullan.\nAlternatif mühimmat kullanmak için doldurma tuşuna basılı tut.\n\nTahtayla onar.\nHurdaya çıkararak Tahta elde et.,非常适合打猎和射杀丧尸。使用箭矢作为弹药。\n长按重新装填以使用备用弹药。\n\n可使用木头修理。\n可分解为木头。,非常適合用於打獵和殺死殭屍。使用弓箭作爲彈藥。\n按住重新載入以使用備用彈藥。\n\n用木材維修。\n木材報廢。
gunBowT1IronCrossbow,items,Gun,,,Iron Crossbow,,Eiserne Armbrust,Ballesta de hierro,Arbalète en fer,Balestra di ferro,鉄製クロスボウ,철제 석궁,Żelazna kusza,Besta de ferro,Железный арбалет,Demir Arbalet,铁弩,鐵十字弓
gunBowT1IronCrossbowDesc,items,Gun,,,A crossbow is slow to reload but does more damage than a bow.\nThis weapon can be fired underwater.\nHold reload to use alternate ammo.\n\nRepair with a Repair Kit.\nScrap to Bow / Crossbow Parts.,,"Armbrüste laden nur langsam nach, verursachen aber mehr Schaden als Bögen.\nDiese Waffe kann unter Wasser abgefeuert werden.\nNachladen gedrückt halten, um zwischen Munitionstypen zu wechseln.\n\nKann mit einem Reparaturkit repariert werden.\nKann zu Bogen-/Armbrustteilen zerlegt werden.","Una ballesta recarga más despacio, pero inflige más daño que un arco.\nEste arma se puede disparar bajo el agua.\nMantén presionado recargar para usar munición alternativa.\n\nSe repara con kit de reparación.\nDesguázalo para obtener partes de arco/ballesta.","Une arbalète est lente à recharger, mais inflige plus de dégâts qu'un arc.\nCette arme peut être utilisée sous l'eau.\nMaintenez le bouton de rechargement enfoncé pour utiliser un autre type de munition.\n\nSe répare avec un kit de réparation.\nSe recycle en pièces d'arc / d'arbalète.","Una balestra è lenta da ricaricare ma infligge più danni rispetto a un arco.\nÈ un'arma che spara anche sott'acqua.\nTieni premuto ""Ricarica"" per equipaggiare altre munizioni.\n\nSi ripara con la cassetta degli attrezzi.\nLa rottamazione produce parti per arco e balestra.",クロスボウは普通の弓よりもリロードに時間がかかりますが、より大きなダメージを与えることができます。\nこの武器は水中でも発射できます。\nリロード長押しで別の弾薬を使用できます。\n修理キットで修理可能。\n解体すると弓/クロスボウパーツに。,석궁은 활보다 재장전이 느리지만 더 큰 대미지를 가합니다.\n이 무기는 수중에서도 발사할 수 있습니다.\n다른 탄약을 사용하려면 재장전을 길게 누르세요.\n\n수리 키트로 수리할 수 있습니다.\n활/석궁 부품으로 분해됩니다.,"Ładowanie kuszy trwa dłużej niż łuku, ale zadaje więcej obrażeń.\nZ broni można korzystać pod wodą.\nPrzytrzymaj klawisz przeładowania, aby zmienić typ amunicji.\n\nPrzedmiot naprawisz zestawem naprawczym.\nZ przedmiotu odzyskasz części łuku / kuszy.","Uma besta lenta para recarregar, mas que causa mais dano que um arco.\nEsta arma pode ser disparada debaixo d'água.\nSegure “recarregar” para alternar a munição.\n\nConserte com o kit de reparos.\nRecicle para obter peças de arco / besta.","Арбалет медленнее перезаряжается, но наносит больше урона, чем лук.\nЭто оружие может стрелять под водой.\nУдерживайте клавишу перезарядки, чтобы сменить тип боеприпаса.\n\nРемонтируется с помощью ремонтного набора.\nРазбирается на части лука / арбалета.",Arbalete ok takmak normal yaydan daha uzun sürer ancak arbalet daha fazla hasar verir.\nBu silahla su altında atış yapılabilir\nAlternatif mühimmat kullanmak için doldurma tuşuna basılı tut.\n\nOnarım Kitiyle onar.\nHurdaya çıkararak Yay veya Arbalet Parçaları elde et.,弩的重新装载速度较慢，不过造成的伤害比弓更大。\n此武器可在水下发射。\n长按重新装填以使用备用弹药。\n\n可使用维修工具修理。\n可分解为弓/弩零件。,十字弓重新搭上速度較慢但相比於弓弩可造成更多傷害。\n這個武器可以在水下使用。\n按住裝填以使用備用彈藥。\n\n維修需使用維修工具包。\n報廢為弓弩或十字弓零件。
gunBowT1IronCrossbowSchematic,items,Gun,,,Iron Crossbow Schematic,,Bauplan – Eiserne Armbrust,Esquema de ballesta de hierro,Schéma d'arbalète en fer,Schema della balestra di ferro,設計図「鉄製クロスボウ」,철제 석궁 도면,Żelazna kusza — schemat,Diagrama de Besta de Ferro,Схема железного арбалета,Demir Arbalet Şeması,铁弩设计图,鐵十字弓原理圖
gunBowT1WoodenBow,items,Gun,,,Wooden Bow,,Holzbogen,Arco de madera,Arc en bois,Arco di legno,木の弓,목재 활,Drewniany łuk,Arco de madeira.,Деревянный лук,Tahta Yay,木弓,木弓
gunBowT1WoodenBowDesc,items,Gun,,,Good for hunting and killing zombies. Uses arrows for ammunition.\nHold reload to use alternate ammo.\n\nRepair with a Repair Kit.\nScrap to Bow / Crossbow Parts.,,"Eignet sich gut dazu, Zombies zu jagen und zu töten. Verwendet Pfeile als Munition.\nNachladen gedrückt halten, um zwischen Munitionstypen zu wechseln.\n\nKann mit einem Reparaturkit repariert werden.\nKann zu Bogen-/Armbrustteilen zerlegt werden.",Ideal para cazar y matar zombis. Utiliza flechas como munición.\nMantén presionado recargar para usar munición alternativa.\n\nSe repara con kit de reparación.\nDesguázalo para obtener partes de arco/ballesta.,Idéal pour la chasse et pour tuer des zombies. Utilisez des flèches comme munitions.\nMaintenez le bouton de rechargement enfoncé pour utiliser un autre type de munition.\n\nSe répare avec un kit de réparation.\nSe recycle en pièces d'arc / d'arbalète.,"Buono per la caccia e per uccidere gli zombie. Necessita di frecce.\nTieni premuto ""Ricarica"" per equipaggiare altre munizioni.\n\nSi ripara con la cassetta degli attrezzi.\nLa rottamazione produce parti per arco e balestra.",狩りやゾンビ殺しに有効です。弾薬として矢を使用します。\nリロード長押しで別の弾薬を使用できます。\n\n修理キットで修理可能。\n解体すると弓/クロスボウパーツに。,사냥과 좀비 처치에 효과가 좋습니다. 화살을 사용합니다.\n다른 탄약을 사용하려면 재장전을 길게 누르세요.\n\n수리 키트로 수리할 수 있습니다.\n활/석궁 부품으로 분해됩니다.,"Dobry do polowań i zabijania zombie. Potrzebujesz do niego strzał.\nPrzytrzymaj klawisz przeładowania, aby zmienić typ amunicji.\n\nPrzedmiot naprawisz zestawem naprawczym.\nZ przedmiotu odzyskasz części łuku / kuszy.",Bom para caçar e abater zumbis. Use flechas como munição.\nSegure “recarregar” para alternar a munição.\n\nConserte com o kit de reparos.\nRecicle para obter peças de arco / besta.,"Хорош для охоты или отстрела зомби. В качестве боеприпасов использует стрелы.\nУдерживайте клавишу перезарядки, чтобы сменить тип боеприпаса.\n\nРемонтируется с помощью дерева.\nРазбирается части лука/ арбалета.",Zombileri avlamak ve öldürmek için etkilidir. Mühimmat olarak ok kullan.\nAlternatif mühimmat kullanmak için doldurma tuşuna basılı tut.\n\nOnarım Kitiyle onar.\nHurdaya çıkararak Yay veya Arbalet Parçaları elde et.,非常适合打猎和射杀丧尸。使用箭矢作为弹药。\n长按重新装填以使用备用弹药。\n\n可使用维修工具修理。\n可分解为弓/弩零件。,非常適合用於打獵和殺死殭屍。使用弓箭作爲彈藥。\n按住重新載入以使用備用彈藥。\n\n用維修工具包維修。\n弓弩或十字弓部件報廢。
gunBowT1WoodenBowParts,items,Gun,,,Bow / Crossbow Parts,,Bogen-/Armbrustteile,Partes de arco/ballesta,Pièces d'arc / d'arbalète,Parti per arco e balestra,弓/クロスボウパーツ,활/석궁 부품,Części łuku / kuszy,Peças de arco / besta,Части лука/ арбалета,Yay / Arbalet Parçaları,弓/弩零件,弓弩或十字弓部件
gunBowT1WoodenBowSchematic,items,Gun,,,Wooden Bow Schematic,,Bauplan – Holzbogen,Esquema de arco de madera,Schéma d'arc en bois,Schema dell'arco di legno,設計図「木の弓」,목재 활 도면,Drewniany łuk — schemat,Diagrama de Arco de Madeira,Схема деревянного лука,Tahta Yay Şeması,木弓设计图,木弓原理圖
gunBowT3CompoundBow,items,Gun,,,Compound Bow,,Compoundbogen,Arco compuesto,Arc à poulies,Arco composito,複合弓,컴파운드 활,Łuk bloczkowy,Arco composto,Композитный лук,Yoğun Yay,复合弓,複合弓
gunBowT3CompoundBowDesc,items,Gun,,,A compound bow does more damage and arrows fly straighter which makes it easier to aim.\n\nRepair with a Repair Kit.\nScrap to Bow / Crossbow Parts.,,"Ein Compoundbogen verursacht mehr Schaden und Pfeile fliegen in einer geraderen Linie, was das Zielen erleichtert.\n\nKann mit einem Reparaturkit repariert werden.\nKann zu Bogen-/Armbrustteilen zerlegt werden.","Un arco compuesto que inflige más daño y las flechas vuelan más rectas, por lo que es más fácil apuntar.\n\nSe repara con un kit de reparación.\nDesguázalo para obtener partes de arco/ballesta.","Un arc à poulies inflige plus de dégâts et les flèches volent davantage en ligne droite, ce qui rend la visée plus simple.\n\nSe répare avec un kit de réparation.\nSe recycle en pièces d'arc / d'arbalète.",Un arco composito infligge più danni e le frecce hanno una traiettoria più dritta che agevola la mira.\n\nSi ripara con la cassetta degli attrezzi.\nLa rottamazione produce parti per arco e balestra.,複合弓は通常の弓よりも大きなダメージを与えることができ、より直線的に飛ぶので狙いをつけやすくなります。\n\n修理キットで修理可能。\n解体すると弓/クロスボウパーツに。,컴파운드 활은 더 많은 대미지를 가하며 화살이 직선으로 날아가므로 조준하기 쉽습니다.\n\n수리 키트로 수리할 수 있습니다.\n활/석궁 부품으로 분해됩니다.,"Łuk bloczkowy zadaje więcej obrażeń, a wystrzelone z niego strzały lecą po prostszej linii, co ułatwia celowanie.\n\nPrzedmiot naprawisz zestawem naprawczym.\nZ przedmiotu odzyskasz części łuku / kuszy.",O arco composto causa mais dano e suas flechas voam de forma mais linear facilitando a mira.\n\nConserte com o kit de reparos.\nRecicle para obter peças de arco / besta.,"Композитный лук наносит больший урон, стрелы летят ровнее, что упрощает прицеливание.\n\nРемонтируется с помощью ремонтного набора.\nРазбирается на части лука/арбалета.","Yoğun yay, daha fazla hasar verir, bu yayın okları daha düz uçar ve böylece nişan alması kolaydır.\n\nOnarım Kitiyle onar.\nHurdaya çıkararak Yay veya Arbalet Parçaları elde edebilirsin.",复合弓可造成更多伤害，箭矢在空中飞行路线更直，所以更加容易瞄准。\n\n可用维修工具修理。\n可分解为弓/弩零件。,複合弓的傷害更大，箭矢飛的更直，更容易瞄準目標。\n\n用維修工具包維修。\n弓弩/十字弓部件報廢。
gunBowT3CompoundBowSchematic,items,Gun,,,Compound Bow Schematic,,Bauplan – Compoundbogen,Esquema de arco compuesto,Schéma d'arc à poulies,Schema dell'arco composito,設計図「複合弓」,컴파운드 활 도면,Łuk bloczkowy — schemat,Diagrama de Arco Composto,Схема композитного лука,Yoğun Yay Şeması,复合弓设计图,複合弓原理圖
gunBowT3CompoundCrossbow,items,Gun,,,Compound Crossbow,,Compoundarmbrust,Ballesta compuesta,Arbalète à poulies,Balestra composita,複合クロスボウ,컴파운드 석궁,Kusza bloczkowa,Besta composta,Композитный арбалет,Yoğun Arbalet,复合弩,複合十字弓
gunBowT3CompoundCrossbowSchematic,items,Gun,,,Compound Crossbow Schematic,,Bauplan – Compoundarmbrust,Esquema de ballesta compuesta,Schéma d'arbalète à poulies,Schema della balestra composita,設計図「複合クロスボウ」,컴파운드 석궁 도면,Kusza bloczkowa — schemat,Diagrama de Besta Composta,Схема композитного арбалета,Yoğun Arbalet Şeması,复合弩设计图,複合十字弓原理圖
gunExplosivesT3RocketLauncher,items,Gun,,,Rocket Launcher,,Raketenwerfer,Lanzacohetes,Lance-roquettes,Lanciarazzi,ロケットランチャー,로켓탄 발사기,Wyrzutnia rakiet,Lança-foguetes,Гранатомет,Roketatar,火箭发射器,火箭發射器
gunExplosivesT3RocketLauncherDesc,items,Gun,,,A Rocket Launcher shoots rocket propelled grenades.\n\nRepair with a Repair Kit.\nScrap to Rocket Launcher parts.,,"Ein Raketenwerfer, der raketengetriebene Granaten abfeuert.\n\nKann mit einem Reparaturkit repariert werden.\nKann zu Raketenwerferteilen zerlegt werden.",Un lanzacohetes que lanza granadas.\n\nSe repara con un kit de reparación.\nDesguázalo para obtener partes de lanzacohetes.,Un lance-roquettes tire des grenades propulsées par des roquettes.\n\nSe répare avec un kit de réparation.\nSe recycle en pièces de lance-roquettes.,Un lanciarazzi spara granate a propulsione.\n\nSi ripara con la cassetta degli attrezzi.\nLa rottamazione produce parti per lanciarazzi.,ロケット推進擲弾を発射するロケットランチャーです。\n\n修理キットで修理可能。\n解体するとロケットランチャーパーツに。,로켓탄 발사기는 로켓 추진식 수류탄을 발사합니다.\n\n수리 키트로 수리할 수 있습니다.\n로켓탄 발사기 부품으로 분해됩니다.,Wyrzutnia rakiet wystrzeliwuje granaty z dodatkowym napędem rakietowym.\n\nPrzedmiot naprawisz zestawem naprawczym.\nZ przedmiotu odzyskasz części wyrzutni rakiet.,Um lança-foguetes que dispara granadas de propulsão a jato.\n\nConserte com o kit de reparos.\nRecicle para obter peças de lança-foguetes.,Гранатомет стреляет реактивными гранатами.\n\nРемонтируется с помощью ремонтного набора.\nРазбирается на части гранатомета.,"Roketatar, roketle çalışan bombalar fırlatır.\n\nOnarım Kitiyle onar.\nHurdaya çıkararak Roketatar parçaları elde et.",此款火箭发射器可发射火箭推进榴弹。\n\n可使用维修工具修理。\n可分解为火箭发射器零件。,火箭發射器發射火箭推進榴彈。\n\n使用維修工具包維修。\n火箭發射器部件報廢。
gunExplosivesT3RocketLauncherParts,items,Gun,,,Rocket Launcher Parts,,Raketenwerferteile,Partes de lanzacohetes,Pièces de lance-roquettes,Parti per lanciarazzi,ロケットランチャーパーツ,로켓탄 발사기 부품,Części wyrzutni rakiet,Peças de lança-foguetes,Части гранатомета,Roketatar Parçaları,火箭发射器零件,火箭發射器部件
gunExplosivesT3RocketLauncherSchematic,items,Gun,,,Rocket Launcher Schematic,,Bauplan – Raketenwerfer,Esquema de lanzacohetes,Schéma de lance-roquettes,Schema del lanciarazzi,設計図「ロケットランチャー」,로켓탄 발사기 도면,Wyrzutnia rakiet — schemat,Diagrama de Lança-foguetes,Схема гранатомета,Roketatar Parçaları Şeması,火箭发射器设计图,火箭發射器原理圖
gunHandgunT0PipePistol,items,Gun,,,Pipe Pistol,,Selbstgebaute Pistole,Revólver de tubería,Pistolet en tuyau,Pistola tubolare,パイプピストル,파이프 피스톨,Pistolet rurowy,Pistola de cano,Пистолет из трубы,Boru Tabanca,铁管手枪,鐵管手槍
