Key,File,Type,UsedInMainMenu,NoTranslate,english,russian
foodCropSVETGLimeDesc,Items,Food,,,"A lime is a small, round citrus fruit with a tangy, acidic flavor and green skin, commonly used to add zest to dishes, beverages, and marinades.","Лайм — это небольшой круглый цитрусовый фрукт с кислым вкусом и зелёной кожурой, часто используемый для добавления пикантности в блюда, напитки и маринады."
foodCropSVETGMintLeaves,Items,Food,,,"Mint Leaves","Листья мяты"
foodCropSVETGMintLeavesDesc,Items,Food,,,"Mint leaves are aromatic, vibrant green herbs with a refreshing, cool flavor, often used to enhance beverages, desserts, and savory dishes.","Листья мяты — это ароматные ярко-зелёные травы с освежающим прохладным вкусом, часто используемые для улучшения вкуса напитков, десертов и солёных блюд."
foodCropSVETGOnion,Items,Food,,,"Onion","Лук"
foodCropSVETGOnionDesc,Items,Food,,,"An onion is a bulbous vegetable with a papery skin and layered flesh that ranges in flavor from sharp and pungent when raw to sweet and caramelized when cooked.","Лук — это луковичный овощ с бумажистой кожурой и слоистой мякотью, вкус которого варьируется от острого и резкого в сыром виде до сладкого и карамелизованного при готовке."
foodCropSVETGPaprika,Items,Food,,,"Red Peppers","Красный перец"
foodCropSVETGPaprikaDesc,Items,Food,,,"Red peppers are sweet, juicy vegetables with a bright red color, crisp texture, and mild flavor, often enjoyed raw, roasted, or sautéed in a variety of dishes.","Красный перец — это сладкие, сочные овощи ярко-красного цвета с хрустящей текстурой и мягким вкусом, часто употребляемые сырыми, запечёнными или обжаренными в различных блюдах."
foodCropSVETGRedChilli,Items,Food,,,"Red Chilli Peppers","Красные чили"
foodCropSVETGRedChilliDesc,Items,Food,,,"Red chili peppers are vibrant, spicy fruits with a fiery heat and bold flavor, often used to add intense heat and depth to a wide range of culinary dishes.","Красные чили — это яркие, острые плоды с жгучим вкусом и насыщенным ароматом, часто используемые для добавления интенсивной остроты и глубины вкуса в широкий спектр кулинарных блюд."
foodCropSVETGTomato,Items,Food,,,"Tomato","Помидор"
foodCropSVETGTomatoDesc,Items,Food,,,"A tomato is a juicy, round fruit with a vibrant red skin and tender flesh, commonly used in salads, sauces, and various dishes for its tangy and slightly sweet flavor.","Помидор — это сочный круглый фрукт с ярко-красной кожицей и нежной мякотью, широко используемый в салатах, соусах и различных блюдах благодаря своему пикантному и слегка сладкому вкусу."
foodCropSVETGRice,Items,Food,,,"Bag of Rice","Мешок риса"
foodCropSVETGRiceDesc,Items,Food,,,"Rice is a staple grain with a mild flavor and versatile texture, typically cooked to a fluffy or sticky consistency, and used as a base or accompaniment in a wide range of global cuisines.","Рис — это основной злак с мягким вкусом и универсальной текстурой, обычно варится до пушистой или липкой консистенции и используется как основа или гарнир в широком спектре мировых кухонь."
foodCropSVETGSoyBeans,Items,Food,,,"Soybeans","Соя"
foodCropSVETGSoyBeansDesc,Items,Food,,,"Soybeans are versatile legumes rich in protein and widely used for food, animal feed, and various industrial products.","Соя — это универсальные бобовые, богатые белком и широко используемые в пищу, корм для животных и различные промышленные продукты."
foodCropSVETGPineapple,Items,Food,,,"Pineapple","Ананас"
foodCropSVETGPineappleDesc,Items,Food,,,"A pineapple is a tropical fruit with spiky, rough skin and sweet, juicy yellow flesh.","Ананас — это тропический фрукт с колючей, грубой кожурой и сладкой, сочной жёлтой мякотью."
foodCropSVETGApple,Items,Food,,,"Apple","Яблоко"
foodCropSVETGAppleDesc,Items,Food,,,"A crisp, sweet fruit with a smooth skin and a juicy interior, often red, green, or yellow.","Хрустящий сладкий фрукт с гладкой кожурой и сочной мякотью, часто красного, зелёного или жёлтого цвета."
foodCropSVETGOlives,Items,Food,,,"Olives","Оливки"
foodCropSVETGOlivesDesc,Items,Food,,,"Olives are small, oval fruits known for their bitter taste, commonly used in cooking, oil production, and as a savory snack.","Оливки — это маленькие овальные плоды, известные своим горьким вкусом, часто используемые в кулинарии, производстве масла и как солёная закуска."
foodCropSVETGOrange,Items,Food,,,"Orange","Апельсин"
foodCropSVETGOrangeDesc,Items,Food,,,"Oranges are juicy, citrus fruits with a sweet-tart flavor, widely enjoyed fresh or as juice.","Апельсины — это сочные цитрусовые фрукты с кисло-сладким вкусом, широко употребляемые свежими или в виде сока."


foodSVETGCheese,Items,Food,,,"Cheese","Сыр"
foodSVETGCheeseDesc,Items,Food,,,"Cheese is a diverse dairy product made by curdling milk, with textures and flavors ranging from creamy and mild to aged and sharp, often used in cooking, snacking, and as a culinary garnish.","Сыр — это разнообразный молочный продукт, получаемый путем свертывания молока, с текстурами и вкусами от сливочного и мягкого до выдержанного и острого, часто используемый в приготовлении пищи, перекусах и как кулинарное украшение."
foodSVETGDough,Items,Food,,,"Dough","Тесто"
foodSVETGDoughDesc,Items,Food,,,"Dough is a pliable mixture of flour, water, and other ingredients, often used as a base for baking bread, pastries, and pizzas, and can be either soft and sticky or firm and workable depending on its purpose.\n\n\n\n\n\n\n\nCrafted in: Cutting Board","Тесто — это податливая смесь из муки, воды и других ингредиентов, часто используемая как основа для выпечки хлеба, пирожных и пиццы, и может быть как мягким и липким, так и плотным и податливым в зависимости от цели использования.\n\n\n\n\n\n\n\nИзготавливается на: Разделочной доске"
foodSVETGSoySauce,Items,Food,,,"Soy Sauce","Соевый соус"
foodSVETGSoySauceDesc,Items,Food,,,"Soy sauce is a dark, salty liquid condiment made from fermented soybeans and wheat, used to add umami flavor and depth to a variety of dishes in Asian cuisines.","Соевый соус — это темный соленый жидкий соус, изготовленный из ферментированных соевых бобов и пшеницы, используется для добавления умами-вкуса и глубины различным блюдам азиатской кухни."
foodSVETGTomatoSauce,Items,Food,,,"Tomato Sauce","Томатный соус"
foodSVETGTomatoSauceDesc,Items,Food,,,"Tomato sauce is a smooth, tangy sauce made from cooked tomatoes, often seasoned with herbs and spices, used as a base for pasta dishes, pizzas, and various other savory recipes.\n\n\n\n\n\n\n\nCrafted in: Cutting Board","Томатный соус — это гладкий, пикантный соус, приготовленный из вареных помидоров, часто приправленный травами и специями, используется как основа для пасты, пиццы и различных других солёных рецептов.\n\n\n\n\n\n\n\nИзготавливается на: Разделочной доске"
foodSVETGFlourTortilla,Items,Food,,,"Flour Tortilla","Мучная тортилья"
foodSVETGFlourTortillaDesc,Items,Food,,,"A flour tortilla is a soft, pliable flatbread made from wheat flour, water, and fat, commonly used as a wrap for burritos, tacos, and quesadillas.\n\n\n\n\n\n\n\nCrafted in: Cutting Board","Мучная тортилья — это мягкая, податливая лепешка, сделанная из пшеничной муки, воды и жира, обычно используется как обертка для буррито, тако и кесадильи.\n\n\n\n\n\n\n\nИзготавливается на: Разделочной доске"


foodCanSVETGCoconutCream,Items,Food,,,"Can of Coconut Cream","Банка кокосовых сливок"
foodCanSVETGCoconutCreamDesc,Items,Food,,,"A can of coconut cream is a thick, rich, and creamy liquid derived from the grated meat of coconuts, used to add a smooth, coconut flavor and richness to both sweet and savory dishes.","Банка кокосовых сливок — это густая, насыщенная и сливочная жидкость, полученная из тертой мякоти кокосов, используется для придания гладкого кокосового вкуса и богатства как сладким, так и соленым блюдам."
foodCanSVETGBoxOfCereal,Items,Food,,,"Box of Cereal","Коробка с хлопьями"
foodCanSVETGBoxOfCerealDesc,Items,Food,,,"A box of cereal contains dry, processed grains or flakes, often sweetened and sometimes fortified with vitamins and minerals, designed for quick and convenient breakfasts or snacks when combined with milk or yogurt.","Коробка с хлопьями содержит сухие, обработанные зерна или хлопья, часто подслащенные и иногда обогащенные витаминами и минералами, предназначенные для быстрого и удобного завтрака или перекуса в сочетании с молоком или йогуртом."

foodSVETGSausage,Items,Food,,,"Sausage","Колбаса"
foodSVETGSausageDesc,Items,Food,,,"A sausage is a seasoned, ground meat product encased in a natural or artificial casing, available in various flavors and styles, and commonly grilled, pan-fried, or baked.\n\n\n\n\n\n\n\nCrafted in: Cutting Board","Колбаса — это приправленный мясной продукт из фарша, помещенный в натуральную или искусственную оболочку, доступный в различных вкусах и стилях, обычно жарится на гриле, сковороде или запекается.\n\n\n\n\n\n\n\nИзготавливается на: Разделочной доске"
foodSVETGCroissant,Items,Food,,,"Croissant","Круассан"
foodSVETGCroissantDesc,Items,Food,,,"A croissant is a flaky, buttery pastry with a golden, crisp exterior and a soft, layered interior, often enjoyed fresh from the oven or filled with sweet or savory ingredients.\n\n\n\n\n\n\n\nCrafted in: Stove","Круассан — это слоеное, маслянистое пирожное с золотистой хрустящей корочкой и мягким слоеным внутренним слоем, часто наслаждаемое свежим из духовки или начиненным сладкими или солеными ингредиентами.\n\n\n\n\n\n\n\nИзготавливается на: Плите"
foodSVETGCereal,Items,Food,,,"Bowl of Cereal","Миска с хлопьями"
foodSVETGCerealDesc,Items,Food,,,"A bowl of cereal is a serving of dry cereal mixed with milk, offering a quick and convenient breakfast or snack with a variety of textures and flavors depending on the type of cereal.\n\n\n\n\n\nCrafted in: Cutting Board","Миска с хлопьями — это порция сухих хлопьев, смешанных с молоком, обеспечивающая быстрый и удобный завтрак или перекус с различными текстурами и вкусами в зависимости от типа хлопьев.\n\n\n\n\n\nИзготавливается на: Разделочной доске"
foodSVETGSashimi,Items,Food,,,"Sashimi","Сашими"
foodSVETGSashimiDesc,Items,Food,,,"Sashimi is a Japanese dish consisting of thinly sliced, raw fish or seafood, served with soy sauce, wasabi, and often garnished with pickled vegetables or radish.\n\n\n\n\n\n\n\nCrafted in: Cutting Board","Сашими — это японское блюдо, состоящее из тонко нарезанной сырой рыбы или морепродуктов, подаваемое с соевым соусом, васаби и часто украшенное маринованными овощами или редисом.\n\n\n\n\n\n\n\nИзготавливается на: Разделочной доске"
foodSVETGSushi,Items,Food,,,"Sushi","Суши"
foodSVETGSushiDesc,Items,Food,,,"Sushi is a Japanese dish featuring vinegared rice paired with a variety of ingredients such as raw fish, seafood, vegetables, and sometimes wrapped in seaweed or served in rolls.\n\n\n\n\n\n\n\nCrafted in: Cutting Board","Суши — это японское блюдо из пропитанного уксусом риса в сочетании с различными ингредиентами, такими как сырая рыба, морепродукты, овощи, иногда завернутые в морские водоросли или подаваемые в виде роллов.\n\n\n\n\n\n\n\nИзготавливается на: Разделочной доске"
foodSVETGEggFriedRice,Items,Food,,,"Egg Fried Rice","Жареный рис с яйцом"
foodSVETGEggFriedRiceDesc,Items,Food,,,"Egg fried rice is a savory dish made from stir-fried rice mixed with scrambled eggs, often combined with vegetables, soy sauce, and sometimes additional protein like shrimp or chicken.\n\n\n\n\n\n\n\nCrafted in: Stove","Жареный рис с яйцом — это соленое блюдо, приготовленное из жареного риса, смешанного с яичницей, часто дополненное овощами, соевым соусом и иногда дополнительным белком, таким как креветки или курица.\n\n\n\n\n\n\n\nИзготавливается на: Плите"
foodSVETGTomatoSoup,Items,Food,,,"Tomato Soup","Томатный суп"
foodSVETGTomatoSoupDesc,Items,Food,,,"Tomato soup is a smooth, tangy broth made from pureed tomatoes, often seasoned with herbs and spices, and typically served warm as a comforting and flavorful appetizer or main course.\n\n\n\n\n\n\n\nCrafted in: Stove","Томатный суп — это гладкий, пикантный бульон из пюре помидоров, часто приправленный травами и специями, и обычно подается теплым как успокаивающий и ароматный суп или основное блюдо.\n\n\n\n\n\n\n\nИзготавливается на: Плите"
foodSVETGPotatoSoup,Items,Food,,,"Potato Soup","Картофельный суп"
foodSVETGPotatoSoupDesc,Items,Food,,,"Potato soup is a creamy, hearty dish made from simmered potatoes, often blended to a smooth consistency and flavored with ingredients like onions, garlic, and herbs.\n\n\n\n\n\n\n\nCrafted in: Stove","Картофельный суп — это сливочный, сытный суп, приготовленный из тушеного картофеля, часто взбитый до гладкой консистенции и приправленный луком, чесноком и травами.\n\n\n\n\n\n\n\nИзготавливается на: Плите"
foodSVETGGrilledPorkchop,Items,Food,,,"Grilled Pork Chops","Гриль-поросятина"
foodSVETGGrilledPorkchopDesc,Items,Food,,,"Grilled pork chops are tender cuts of pork that are cooked over an open flame or grill, developing a smoky charred exterior while remaining juicy and flavorful inside.\n\n\n\n\n\n\n\nCrafted in: Stove","Гриль-поросятина — это нежные куски свинины, приготовленные на открытом огне или гриле, с дымчатой обугленной корочкой снаружи и сочным, ароматным внутренним слоем.\n\n\n\n\n\n\n\nИзготавливается на: Плите"
foodSVETGStirFry,Items,Food,,,"Stir-fried Meat","Жареное мясо"
foodSVETGStirFryDesc,Items,Food,,,"Stir-fried meat is thinly sliced protein, such as beef, chicken, or pork, quickly cooked in a hot pan or wok with vegetables and flavorful sauces, resulting in tender, flavorful, and evenly cooked pieces.\n\n\n\n\n\n\n\nCrafted in: Stove","Жареное мясо — это тонко нарезанный белок, такой как говядина, курица или свинина, быстро приготовленный в горячей сковороде или воке с овощами и ароматными соусами, что приводит к нежным, ароматным и равномерно приготовленным кусочкам.\n\n\n\n\n\n\n\nИзготавливается на: Плите"
foodSVETGBurgerAndFries,Items,Food,,,"Burger and Fries","Бургер и картошка фри"
foodSVETGBurgerAndFriesDesc,Items,Food,,,"A burger and fries is a classic fast-food meal featuring a juicy, seasoned beef patty served in a bun with various toppings, accompanied by crispy, golden french fries.\n\n\n\n\n\n\n\nCrafted in: Stove","Бургер и картошка фри — это классическое фастфуд-блюдо, состоящее из сочной приправленной говяжьей котлеты, подаваемой в булочке с различными добавками, и сопровождаемое хрустящей золотистой картошкой фри.\n\n\n\n\n\n\n\nИзготавливается на: Плите"
foodSVETGFishAndChips,Items,Food,,,"Fish and Chips","Рыба и чипсы"
foodSVETGFishAndChipsDesc,Items,Food,,,"Fish and chips is a traditional British dish consisting of battered and deep-fried white fish, typically cod or haddock, served with crispy, golden fries and often accompanied by malt vinegar or tartar sauce.\n\n\n\n\n\n\n\nCrafted in: Stove","Рыба и чипсы — это традиционное британское блюдо, состоящее из обжаренной в тесте и глубоко прожаренной белой рыбы, обычно трески или пикши, подаваемой с хрустящими золотистыми картофельными палочками и часто сопровождаемая мальт-уксусом или тартар-соусом.\n\n\n\n\n\n\n\nИзготавливается на: Плите"
foodSVETGFullEnglish,Items,Food,,,"Full English Breakfast","Полный английский завтрак"
foodSVETGFullEnglishDesc,Items,Food,,,"A full English breakfast is a hearty meal featuring a combination of fried or grilled eggs, bacon, sausages, black pudding, baked beans, grilled tomatoes, and toast or fried bread, often served with a side of sautéed mushrooms and hash browns.\n\n\n\n\n\n\n\nCrafted in: Stove","Полный английский завтрак — это сытное блюдо, включающее комбинацию жареных или гриль-яиц, бекона, колбас, черной кровяной колбасы, запеченных бобов, жареных помидоров и тостов или жареного хлеба, часто подаваемое с гарниром из жареных грибов и картофельных оладий.\n\n\n\n\n\n\n\nИзготавливается на: Плите"
foodSVETGLasagna,Items,Food,,,"Lasagna","Лазанья"
foodSVETGLasagnaDesc,Items,Food,,,"Lasagna is a layered Italian casserole made from sheets of pasta, rich meat or vegetable sauce, creamy béchamel or ricotta, and melted cheese, baked until bubbly and golden.\n\n\n\n\n\n\n\nCrafted in: Stove","Лазанья — это слоеная итальянская запеканка, приготовленная из листов пасты, богатого мясного или овощного соуса, сливочного бешамеля или рикотты и расплавленного сыра, запеченная до пузырящейся и золотистой корочки.\n\n\n\n\n\n\n\nИзготавливается на: Плите"
foodSVETGPizza,Items,Food,,,"Pizza","Пицца"
foodSVETGPizzaDesc,Items,Food,,,"Pizza is a versatile Italian dish consisting of a round, flat dough base topped with tomato sauce, cheese, and a variety of meats, vegetables, or other toppings, then baked until the crust is crispy and the cheese is melted.\n\n\n\n\n\n\n\nCrafted in: Stove","Пицца — это универсальное итальянское блюдо, состоящее из круглой плоской основы из теста, покрытой томатным соусом, сыром и различными видами мяса, овощей или других начинок, затем выпекаемое до хрустящей корочки и расплавленного сыра.\n\n\n\n\n\n\n\nИзготавливается на: Плите"
foodSVETGSchnitzel,Items,Food,,,"Schnitzel","Шницель"
foodSVETGSchnitzelDesc,Items,Food,,,"Schnitzel is a breaded and fried cutlet, typically made from veal, pork, or chicken, featuring a crispy, golden exterior and tender, juicy meat inside.\n\n\n\n\n\n\n\nCrafted in:Crafted in: Stove","Шницель — это панированная и жареная котлета, обычно приготовленная из телятины, свинины или курицы, с хрустящей золотистой корочкой и нежным, сочным мясом внутри.\n\n\n\n\n\n\n\nИзготавливается на: Плите"
foodSVETGShawarma,Items,Food,,,"Shawarma","Шаурма"
foodSVETGShawarmaDesc,Items,Food,,,"Shawarma is a Middle Eastern dish of seasoned, marinated meat, often lamb, chicken, or beef, cooked on a vertical rotisserie and typically served in pita or flatbread with fresh vegetables and flavorful sauces.\n\n\n\n\n\n\n\nCrafted in: Stove","Шаурма — это блюдо Ближнего Востока из приправленного и маринованного мяса, часто баранины, курицы или говядины, приготовленное на вертикальном гриле и обычно подаваемое в питах или лепешках с свежими овощами и ароматными соусами.\n\n\n\n\n\n\n\nИзготавливается на: Плите"
foodSVETGRamen,Items,Food,,,"Ramen","Рамен"
foodSVETGRamenDesc,Items,Food,,,"Ramen is a Japanese noodle soup consisting of rich, flavorful broth, wheat noodles, and various toppings such as sliced pork, soft-boiled eggs, green onions, and seaweed.\n\n\n\n\n\n\n\nCrafted in: Stove","Рамен — это японский суп с лапшой, состоящий из насыщенного ароматного бульона, пшеничной лапши и различных топпингов, таких как нарезанная свинина, полусырые яйца, зеленый лук и водоросли.\n\n\n\n\n\n\n\nИзготавливается на: Плите"
foodSVETGBruschetta,Items,Food,,,"Bruschetta","Брускетта"
foodSVETGBruschettaDesc,Items,Food,,,"Bruschetta is a traditional Italian appetizer consisting of grilled bread rubbed with garlic and topped with olive oil, salt, and various ingredients such as tomatoes, basil, and mozzarella.\n\n\n\n\n\n\n\nCrafted in: Cutting Board","Брускетта — это традиционная итальянская закуска, состоящая из гриль-хлеба, натертого чесноком и украшенного оливковым маслом, солью и различными ингредиентами, такими как помидоры, базилик и моцарелла.\n\n\n\n\n\n\n\nИзготавливается на: Разделочной доске"
foodSVETGKoefte,Items,Food,,,"Köfte","Кёфте"
foodSVETGKoefteDesc,Items,Food,,,"Köfte is a Middle Eastern and South Asian dish of spiced ground meat, often shaped into balls or patties and grilled or fried.\n\n\n\n\n\n\n\nCrafted in: Stove","Кёфте — это блюдо Ближнего Востока и Южной Азии из приправленного фарша, часто формируемого в шарики или котлеты и гриль-обжариваемого или жареного.\n\n\n\n\n\n\n\nИзготавливается на: Плите"
foodSVETGTurkishDelight,Items,Food,,,"Turkish Delight","Рахат-лукум"
foodSVETGTurkishDelightDesc,Items,Food,,,"Turkish delight is a sweet, chewy confection made from starch and sugar, often flavored with rosewater or lemon and dusted with powdered sugar.","Рахат-лукум — это сладкое, жевательное лакомство, сделанное из крахмала и сахара, часто ароматизированное розовой водой или лимоном и посыпанное сахарной пудрой."
foodSVETGFrenchFries,Items,Food,,,"French Fries","Фри"
foodSVETGFrenchFriesDesc,Items,Food,,,"French fries are thin, deep-fried potato strips, often salted and served as a popular side dish or snack.\n\n\n\n\n\n\n\nCrafted in: Stove","Фри — это тонкие, глубоко прожаренные полоски картофеля, часто посыпанные солью и подаваемые как популярный гарнир или закуска.\n\n\n\n\n\n\n\nИзготавливается на: Плите"
foodSVETGPadThai,Items,Food,,,"Pad Thai","Пад Тай"
foodSVETGPadThaiDesc,Items,Food,,,"Pad Thai is a flavorful Thai stir-fried noodle dish with a tangy-sweet sauce.\n\n\n\n\n\n\n\nCrafted in: Stove","Пад Тай — это ароматное тайское блюдо из жареной лапши с кисло-сладким соусом.\n\n\n\n\n\n\n\nИзготавливается на: Плите"
foodSVETGRiceNoodles,Items,Food,,,"Rice Noodles","Рисовая лапша"
foodSVETGRiceNoodlesDesc,Items,Food,,,"Rice noodles are thin, delicate noodles made from rice flour and water.\n\n\n\n\n\n\n\nCrafted in: Cutting Board","Рисовая лапша — это тонкие, нежные лапши, сделанные из рисовой муки и воды.\n\n\n\n\n\n\n\nИзготавливается на: Разделочной доске"
foodSVETGTofu,Items,Food,,,"Tofu","Тофу"
foodSVETGTofuDesc,Items,Food,,,"Tofu is a versatile, protein-rich food made from coagulated soy milk.\n\n\n\n\n\n\n\nCrafted in: Cutting Board","Тофу — это универсальный продукт с высоким содержанием белка, сделанный из свернувшегося соевого молока.\n\n\n\n\n\n\n\nИзготавливается на: Разделочной доске"
foodSVETGSoyBeanPaste,Items,Food,,,"Soybean Paste","Соевая паста"
foodSVETGSoyBeanPasteDesc,Items,Food,,,"Soybean paste is a thick, fermented condiment made from soybeans and salt.\n\n\n\n\n\n\n\nCrafted in: Cutting Board","Соевая паста — это густой ферментированный соус, сделанный из соевых бобов и соли.\n\n\n\n\n\n\n\nИзготавливается на: Разделочной доске"
foodSVETGTofuBurger,Items,Food,,,"Tofu Burger","Бургер из тофу"
foodSVETGTofuBurgerDesc,Items,Food,,,"A tofu burger is a plant-based patty made from seasoned tofu, often grilled or pan-fried.\n\n\n\n\n\n\n\nCrafted in: Stove","Бургер из тофу — это растительная котлета, сделанная из приправленного тофу, часто гриль-обжаренная или жаренная на сковороде.\n\n\n\n\n\n\n\nИзготавливается на: Плите"
foodSVETGDeepFriedTofu,Items,Food,,,"Deep-Fried Tofu","Глубоко прожаренный тофу"
foodSVETGDeepFriedTofuDesc,Items,Food,,,"Deep-fried tofu is crispy, golden tofu with a soft interior, often served as a snack or in dishes.\n\n\n\n\n\n\n\nCrafted in: Stove","Глубоко прожаренный тофу — это хрустящий, золотистый тофу с мягким внутренним слоем, часто подаваемый как закуска или в составе блюд.\n\n\n\n\n\n\n\nИзготавливается на: Плите"
foodSVETGSoyGlazedRoastPork,Items,Food,,,"Soy-Glazed Roast Pork","Жареная свинина в соевом соусе"
foodSVETGSoyGlazedRoastPorkDesc,Items,Food,,,"Soy-glazed roast pork is tender pork coated in a sweet and savory soy-based glaze.\n\n\n\n\n\n\n\nCrafted in: Stove","Жареная свинина в соевом соусе — это нежная свинина, покрытая сладким и соленым соусом на основе сои.\n\n\n\n\n\n\n\nИзготавливается на: Плите"


drinkSVETGSixDown,Items,Food,,,"Six Down","Сикс-Даун"
drinkSVETGSixDownDesc,Items,Food,,,"Somewhat familiar, though refreshing.","Что-то знакомое, но освежающее."
drinkSVETGCanta,Items,Food,,,"Canta","Канта"
drinkSVETGCantaDesc,Items,Food,,,"Carbonated and tangy!","Газированный и кислый!"
drinkSVETGLocaCona,Items,Food,,,"Loca Cona","Лока Кона"
drinkSVETGLocaConaDesc,Items,Food,,,"We all know it, and we all love it!","Мы все это знаем, и мы все это любим!"
drinkSVETGValleyDed,Items,Food,,,"Valley Ded","Долина Смерти"
drinkSVETGValleyDedDesc,Items,Food,,,"Every gamer's staple drink!","Основной напиток каждого геймера!"
drinkSVETGIceTea,Items,Food,,,"Ice Tea","Айс Ти"
drinkSVETGIceTeaDesc,Items,Food,,,"Tea, but cold.","Чай, но холодный."
drinkSVETGMilk,Items,Food,,,"Milk","Молоко"
drinkSVETGMilkDesc,Items,Food,,,"The second-best thing from a cow!","Вторая по значимости вещь от коровы!"
drinkSVETGOrangeJuice,Items,Food,,,"Orange Juice","Апельсиновый сок"
