Key,File,Type,UsedInMainMenu,NoTranslate,english,russian
foodCropSVETGPaprikaDesc,Items,Food,,,"Ớt chuông đỏ là loại rau củ mọng nước, có vị ngọt với màu đỏ tươi, độ giòn và hương vị nhẹ nhàng, thường được thưởng thức sống, nướng, hoặc áp chảo trong nhiều món ăn.","Красный перец — это сладкие, сочные овощи ярко-красного цвета с хрустящей текстурой и мягким вкусом, часто употребляемые сырыми, запечёнными или обжаренными в различных блюдах."
foodCropSVETGRedChilli,Items,Food,,,"Ớt Chỉ Thiên","Красные чили"
foodCropSVETGRedChilliDesc,Items,Food,,,"Ớt chỉ thiên là những quả ớt sặc sỡ với độ cay xé lưỡi và hương vị bùng nổ, thường được dùng để thêm độ cay nồng và chiều sâu cho một loạt các món ăn ẩm thực.","Красные чили — это яркие, острые плоды с жгучим вкусом и насыщенным ароматом, часто используемые для добавления интенсивной остроты и глубины вкуса в широкий спектр кулинарных блюд."
foodCropSVETGTomato,Items,Food,,,"Cà Chua","Помидор"
foodCropSVETGTomatoDesc,Items,Food,,,"Cà chua là một loại quả tròn, mọng nước với lớp vỏ đỏ rực và phần thịt mềm mại, thường được dùng trong salad, nước xốt, và nhiều món ăn khác nhờ hương vị chua chua ngòn ngọt đặc trưng.","Помидор — это сочный круглый фрукт с ярко-красной кожицей и нежной мякотью, широко используемый в салатах, соусах и различных блюдах благодаря своему пикантному и слегка сладкому вкусу."
foodCropSVETGRice,Items,Food,,,"Bao Gạo","Мешок риса"
foodCropSVETGRiceDesc,Items,Food,,,"Gạo là một loại ngũ cốc thiết yếu với hương vị nhẹ nhàng và kết cấu đa dụng, thường được nấu cho đến khi tơi xốp hoặc dẻo dính, và được dùng làm nền hoặc ăn kèm trong vô số món ăn trên toàn cầu.","Рис — это основной злак с мягким вкусом и универсальной текстурой, обычно варится до пушистой или липкой консистенции и используется как основа или гарнир в широком спектре мировых кухонь."
foodCropSVETGSoyBeans,Items,Food,,,"Đậu Nành","Соя"
foodCropSVETGSoyBeansDesc,Items,Food,,,"Đậu nành là loại cây họ đậu đa năng giàu protein, được sử dụng rộng rãi làm thực phẩm, thức ăn chăn nuôi, và các sản phẩm công nghiệp khác.","Соя — это универсальные бобовые, богатые белком и широко используемые в пищу, корм для животных и различные промышленные продукты."
foodCropSVETGPineapple,Items,Food,,,"Quả Dứa","Ананас"
foodCropSVETGPineappleDesc,Items,Food,,,"Dứa là một loại trái cây nhiệt đới với lớp vỏ sần sùi, đầy gai và phần ruột màu vàng mọng nước, ngọt ngào.","Ананас — это тропический фрукт с колючей, грубой кожурой и сладкой, сочной жёлтой мякотью."
foodCropSVETGApple,Items,Food,,,"Quả Táo","Яблоко"
foodCropSVETGAppleDesc,Items,Food,,,"Một loại quả ngọt, giòn rụm với lớp vỏ nhẵn và phần ruột mọng nước, thường có màu đỏ, xanh, hoặc vàng.","Хрустящий сладкий фрукт с гладкой кожурой и сочной мякотью, часто красного, зелёного или жёлтого цвета."
foodCropSVETGOlives,Items,Food,,,"Quả Oliu","Оливки"
foodCropSVETGOlivesDesc,Items,Food,,,"Oliu là loại quả nhỏ hình bầu dục nổi tiếng với vị đắng, thường được sử dụng trong nấu ăn, ép dầu, và làm món ăn vặt mặn.","Оливки — это маленькие овальные плоды, известные своим горьким вкусом, часто используемые в кулинарии, производстве масла и как солёная закуска."
foodCropSVETGOrange,Items,Food,,,"Quả Cam","Апельсин"
foodCropSVETGOrangeDesc,Items,Food,,,"Cam là loại quả họ cam quýt mọng nước với hương vị chua ngọt, thường được thưởng thức ăn tươi hoặc ép lấy nước.","Апельсины — это сочные цитрусовые фрукты с кисло-сладким вкусом, широко употребляемые свежими или в виде сока."
foodSVETGCheese,Items,Food,,,"Phô Mai","Сыр"
foodSVETGCheeseDesc,Items,Food,,,"Phô mai là một sản phẩm từ sữa đa dạng được làm bằng cách làm đông sữa, với kết cấu và hương vị từ mềm mịn, nhẹ nhàng đến ủ lâu và hăng gắt, thường được dùng trong nấu ăn, ăn vặt, và làm đồ trang trí ẩm thực.","Сыр — это разнообразный молочный продукт, получаемый путем свертывания молока, с текстурами и вкусами от сливочного и мягкого до выдержанного и острого, часто используемый в приготовлении пищи, перекусах и как кулинарное украшение."
foodSVETGDough,Items,Food,,,"Cục Bột","Тесто"
foodSVETGDoughDesc,Items,Food,,,"Cục bột là hỗn hợp dẻo nhào từ bột mì, nước, và các thành phần khác, thường được dùng làm đế nướng bánh mì, bánh ngọt, và pizza. Nó có thể mềm dính hoặc chắc và dễ nặn tùy thuộc vào mục đích sử dụng.\n\n\n\n\n\n\n\nChế tạo tại: Thớt","Тесто — это податливая смесь из муки, воды и других ингредиентов, часто используемая как основа для выпечки хлеба, пирожных и пиццы, и может быть как мягким и липким, так и плотным и податливым в зависимости от цели использования.\n\n\n\n\n\n\n\nИзготавливается на: Разделочной доске"
foodSVETGSoySauce,Items,Food,,,"Nước Tương","Соевый соус"
foodSVETGSoySauceDesc,Items,Food,,,"Nước tương là một loại gia vị lỏng, mặn, màu tối được làm từ đậu nành và lúa mì lên men, dùng để tăng thêm hương vị umami đậm đà cho nhiều món ăn trong nền ẩm thực châu Á.","Соевый соус — это темный соленый жидкий соус, изготовленный из ферментированных соевых бобов и пшеницы, используется для добавления умами-вкуса и глубины различным блюдам азиатской кухни."
foodSVETGTomatoSauce,Items,Food,,,"Tương Cà","Томатный соус"
foodSVETGTomatoSauceDesc,Items,Food,,,"Tương cà là một loại sốt mịn màng, hơi chua được làm từ cà chua nấu chín, thường tẩm ướp thêm thảo mộc và gia vị, dùng làm nền cho các món mì ống, pizza, và vô số công thức món mặn khác.\n\n\n\n\n\n\n\nChế tạo tại: Thớt","Томатный соус — это гладкий, пикантный соус, приготовленный из вареных помидоров, часто приправленный травами и специями, используется как основа для пасты, пиццы и различных других солёных рецептов.\n\n\n\n\n\n\n\nИзготавливается на: Разделочной доске"
foodSVETGFlourTortilla,Items,Food,,,"Vỏ Bánh Tortilla","Мучная тортилья"
foodSVETGFlourTortillaDesc,Items,Food,,,"Vỏ bánh Tortilla là một loại bánh mì dẹt mềm dẻo làm từ bột mì, nước, và chất béo, thường được dùng để cuộn cho các món burrito, taco, và quesadilla.\n\n\n\n\n\n\n\nChế tạo tại: Thớt","Мучная тортилья — это мягкая, податливая лепешка, сделанная из пшеничной муки, воды и жира, обычно используется как обертка для буррито, тако и кесадильи.\n\n\n\n\n\n\n\nИзготавливается на: Разделочной доске"


foodCanSVETGCoconutCream,Items,Food,,,"Lon Kem Dừa","Банка кокосовых сливок"
foodCanSVETGCoconutCreamDesc,Items,Food,,,"Lon kem dừa là loại chất lỏng đặc, béo ngậy được chắt lọc từ cùi dừa bào nhuyễn, dùng để tăng thêm độ mịn màng, hương vị dừa và độ ngậy cho cả món mặn lẫn món ngọt.","Банка кокосовых сливок — это густая, насыщенная и сливочная жидкость, полученная из тертой мякоти кокосов, используется для придания гладкого кокосового вкуса и богатства как сладким, так и соленым блюдам."
foodCanSVETGBoxOfCereal,Items,Food,,,"Hộp Ngũ Cốc","Коробка с хлопьями"
foodCanSVETGBoxOfCerealDesc,Items,Food,,,"Một hộp ngũ cốc chứa các hạt hoặc vảy ngũ cốc khô đã qua chế biến, thường được làm ngọt và đôi khi bổ sung thêm vitamin cùng khoáng chất, được thiết kế để có một bữa sáng hoặc bữa phụ nhanh gọn tiện lợi khi pha cùng sữa hoặc sữa chua.","Коробка с хлопьями содержит сухие, обработанные зерна или хлопья, часто подслащенные и иногда обогащенные витаминами и минералами, предназначенные для быстрого и удобного завтрака или перекуса в сочетании с молоком или йогуртом."
foodSVETGSausage,Items,Food,,,"Xúc Xích","Колбаса"
foodSVETGSausageDesc,Items,Food,,,"Xúc xích là một sản phẩm thịt xay tẩm gia vị được nhồi vào lớp vỏ bọc tự nhiên hoặc nhân tạo, có nhiều hương vị và phong cách khác nhau, thường được nướng, chiên chảo, hoặc đút lò.\n\n\n\n\n\n\n\nChế tạo tại: Thớt","Колбаса — это приправленный мясной продукт из фарша, помещенный в натуральную или искусственную оболочку, доступный в различных вкусах и стилях, обычно жарится на гриле, сковороде или запекается.\n\n\n\n\n\n\n\nИзготавливается на: Разделочной доске"
foodSVETGCroissant,Items,Food,,,"Bánh Sừng Bò","Круассан"
foodSVETGCroissantDesc,Items,Food,,,"Bánh sừng bò là loại bánh ngọt xếp lớp đậm vị bơ với lớp vỏ ngoài vàng óng, giòn rụm và phần ruột xốp mềm mại, thường được thưởng thức ngay khi vừa ra lò hoặc kẹp thêm nhân ngọt hoặc mặn.\n\n\n\n\n\n\n\nChế tạo tại: Bếp Lò","Круассан — это слоеное, маслянистое пирожное с золотистой хрустящей корочкой и мягким слоеным внутренним слоем, часто наслаждаемое свежим из духовки или начиненным сладкими или солеными ингредиентами.\n\n\n\n\n\n\n\nИзготавливается на: Плите"
foodSVETGCereal,Items,Food,,,"Tô Ngũ Cốc","Миска с хлопьями"
foodSVETGCerealDesc,Items,Food,,,"Một tô ngũ cốc là một khẩu phần ngũ cốc khô trộn với sữa, mang đến một bữa sáng hay bữa phụ nhanh gọn tiện lợi với đa dạng kết cấu và hương vị tùy thuộc vào loại ngũ cốc.\n\n\n\n\n\nChế tạo tại: Thớt","Миска с хлопьями — это порция сухих хлопьев, смешанных с молоком, обеспечивающая быстрый и удобный завтрак или перекус с различными текстурами и вкусами в зависимости от типа хлопьев.\n\n\n\n\n\nИзготавливается на: Разделочной доске"
foodSVETGSashimi,Items,Food,,,"Sashimi","Сашими"
foodSVETGSashimiDesc,Items,Food,,,"Sashimi là một món ăn Nhật Bản bao gồm cá hoặc hải sản sống thái lát mỏng, phục vụ kèm nước tương, wasabi, và thường được trang trí với rau củ muối hoặc củ cải bào.\n\n\n\n\n\n\n\nChế tạo tại: Thớt","Сашими — это японское блюдо, состоящее из тонко нарезанной сырой рыбы или морепродуктов, подаваемое с соевым соусом, васаби и часто украшенное маринованными овощами или редисом.\n\n\n\n\n\n\n\nИзготавливается на: Разделочной доске"
foodSVETGSushi,Items,Food,,,"Sushi","Суши"
foodSVETGSushiDesc,Items,Food,,,"Sushi là một món ăn Nhật Bản đặc trưng với cơm trộn giấm kết hợp cùng nhiều nguyên liệu khác nhau như cá sống, hải sản, rau củ, và đôi khi được cuộn trong rong biển.\n\n\n\n\n\n\n\nChế tạo tại: Thớt","Суши — это японское блюдо из пропитанного уксусом риса в сочетании с различными ингредиентами, такими как сырая рыба, морепродукты, овощи, иногда завернутые в морские водоросли или подаваемые в виде роллов.\n\n\n\n\n\n\n\nИзготавливается на: Разделочной доске"
foodSVETGEggFriedRice,Items,Food,,,"Cơm Chiên Trứng","Жареный рис с яйцом"
foodSVETGEggFriedRiceDesc,Items,Food,,,"Cơm chiên trứng là một món mặn được làm từ cơm chiên áp chảo trộn với trứng khuấy, thường kết hợp thêm rau củ, nước tương, và đôi khi là nguồn đạm phụ như tôm hay gà.\n\n\n\n\n\n\n\nChế tạo tại: Bếp Lò","Жареный рис с яйцом — это соленое блюдо, приготовленное из жареного риса, смешанного с яичницей, часто дополненное овощами, соевым соусом и иногда дополнительным белком, таким как креветки или курица.\n\n\n\n\n\n\n\nИзготавливается на: Плите"
foodSVETGTomatoSoup,Items,Food,,,"Súp Cà Chua","Томатный суп"
foodSVETGTomatoSoupDesc,Items,Food,,,"Súp cà chua là một loại nước súp mịn màng, hơi chua được làm từ cà chua xay nhuyễn, thường nêm thêm thảo mộc và gia vị, và được dùng khi còn ấm như một món khai vị thơm ngon và xoa dịu dạ dày.\n\n\n\n\n\n\n\nChế tạo tại: Bếp Lò","Томатный суп — это гладкий, пикантный бульон из пюре помидоров, часто приправленный травами и специями, и обычно подается теплым как успокаивающий и ароматный суп или основное блюдо.\n\n\n\n\n\n\n\nИзготавливается на: Плите"
foodSVETGPotatoSoup,Items,Food,,,"Súp Khoai Tây","Картофельный суп"
foodSVETGPotatoSoupDesc,Items,Food,,,"Súp khoai tây là một món ăn đặc sệt, bổ dưỡng được làm từ khoai tây ninh nhừ, thường được xay nhuyễn đến độ mịn và thêm hương vị bằng các nguyên liệu như hành, tỏi, và thảo mộc.\n\n\n\n\n\n\n\nChế tạo tại: Bếp Lò","Картофельный суп — это сливочный, сытный суп, приготовленный из тушеного картофеля, часто взбитый до гладкой консистенции и приправленный луком, чесноком и травами.\n\n\n\n\n\n\n\nИзготавливается на: Плите"
foodSVETGGrilledPorkchop,Items,Food,,,"Sườn Lợn Nướng","Гриль-поросятина"
foodSVETGGrilledPorkchopDesc,Items,Food,,,"Sườn lợn nướng là những miếng thịt lợn mềm được nấu trên ngọn lửa trần hoặc vỉ nướng, tạo ra lớp vỏ sém khói rực lửa trong khi vẫn giữ được độ mọng nước và hương vị bên trong.\n\n\n\n\n\n\n\nChế tạo tại: Bếp Lò","Гриль-поросятина — это нежные куски свинины, приготовленные на открытом огне или гриле, с дымчатой обугленной корочкой снаружи и сочным, ароматным внутренним слоем.\n\n\n\n\n\n\n\nИзготавливается на: Плите"
foodSVETGStirFry,Items,Food,,,"Thịt Xào","Жареное мясо"
foodSVETGStirFryDesc,Items,Food,,,"Thịt xào là những lát thịt mỏng như bò, gà, hay lợn, được đảo nhanh trên chảo nóng hoặc chảo wok cùng rau củ và các loại nước xốt đậm đà, tạo ra những miếng thịt mềm mại, ngập tràn hương vị và chín đều.\n\n\n\n\n\n\n\nChế tạo tại: Bếp Lò","Жареное мясо — это тонко нарезанный белок, такой как говядина, курица или свинина, быстро приготовленный в горячей сковороде или воке с овощами и ароматными соусами, что приводит к нежным, ароматным и равномерно приготовленным кусочкам.\n\n\n\n\n\n\n\nИзготавливается на: Плите"
foodSVETGBurgerAndFries,Items,Food,,,"Burger Và Khoai Tây Chiên","Бургер и картошка фри"
foodSVETGBurgerAndFriesDesc,Items,Food,,,"Burger và khoai tây chiên là một suất đồ ăn nhanh kinh điển với miếng chả bò mọng nước, đậm đà được kẹp trong vỏ bánh cùng nhiều loại đồ ăn kèm, dọn chung với những que khoai tây chiên giòn rụm vàng óng.\n\n\n\n\n\n\n\nChế tạo tại: Bếp Lò","Бургер и картошка фри — это классическое фастфуд-блюдо, состоящее из сочной приправленной говяжьей котлеты, подаваемой в булочке с различными добавками, и сопровождаемое хрустящей золотистой картошкой фри.\n\n\n\n\n\n\n\nИзготавливается на: Плите"
foodSVETGFishAndChips,Items,Food,,,"Cá Tẩm Bột Chiên Khoai","Рыба и чипсы"
foodSVETGFishAndChipsDesc,Items,Food,,,"Cá tẩm bột chiên khoai là món ăn truyền thống của Anh gồm cá thịt trắng (thường là cá tuyết) tẩm bột chiên ngập dầu, ăn kèm với khoai tây chiên giòn rụm vàng óng và dọn cùng giấm mạch nha hoặc sốt tartar.\n\n\n\n\n\n\n\nChế tạo tại: Bếp Lò","Рыба и чипсы — это традиционное британское блюдо, состоящее из обжаренной в тесте и глубоко прожаренной белой рыбы, обычно трески или пикши, подаваемой с хрустящими золотистыми картофельными палочками и часто сопровождаемая мальт-уксусом или тартар-соусом.\n\n\n\n\n\n\n\nИзготавливается на: Плите"
foodSVETGFullEnglish,Items,Food,,,"Bữa Sáng Kiểu Anh","Полный английский завтрак"
foodSVETGFullEnglishDesc,Items,Food,,,"Bữa sáng kiểu Anh là một bữa ăn thịnh soạn với sự kết hợp của trứng ốp la hoặc nướng, thịt ba chỉ, xúc xích, dồi huyết, đậu nướng, cà chua nướng, và bánh mì nướng hoặc chiên, thường dọn kèm nấm xào và bánh khoai tây băm.\n\n\n\n\n\n\n\nChế tạo tại: Bếp Lò","Полный английский завтрак — это сытное блюдо, включающее комбинацию жареных или гриль-яиц, бекона, колбас, черной кровяной колбасы, запеченных бобов, жареных помидоров и тостов или жареного хлеба, часто подаваемое с гарниром из жареных грибов и картофельных оладий.\n\n\n\n\n\n\n\nИзготавливается на: Плите"
foodSVETGLasagna,Items,Food,,,"Lasagna","Лазанья"
foodSVETGLasagnaDesc,Items,Food,,,"Lasagna là một món hầm kiểu Ý nhiều lớp được làm từ các tấm mì ống, nước sốt thịt hoặc rau củ đậm đà, sốt béchamel hoặc ricotta béo ngậy, và phô mai đun chảy, nướng cho đến khi sủi bọt và chín vàng.\n\n\n\n\n\n\n\nChế tạo tại: Bếp Lò","Лазанья — это слоеная итальянская запеканка, приготовленная из листов пасты, богатого мясного или овощного соуса, сливочного бешамеля или рикотты и расплавленного сыра, запеченная до пузырящейся и золотистой корочки.\n\n\n\n\n\n\n\nИзготавливается на: Плите"
foodSVETGPizza,Items,Food,,,"Pizza","Пицца"
foodSVETGPizzaDesc,Items,Food,,,"Pizza là một món ăn đa dạng của Ý gồm đế bột tròn, dẹt được phủ sốt cà chua, phô mai, cùng nhiều loại thịt, rau, hoặc các loại topping khác, sau đó nướng cho đến khi đế bánh giòn rụm và phô mai chảy đều.\n\n\n\n\n\n\n\nChế tạo tại: Bếp Lò","Пицца — это универсальное итальянское блюдо, состоящее из круглой плоской основы из теста, покрытой томатным соусом, сыром и различными видами мяса, овощей или других начинок, затем выпекаемое до хрустящей корочки и расплавленного сыра.\n\n\n\n\n\n\n\nИзготавливается на: Плите"
foodSVETGSchnitzel,Items,Food,,,"Thịt Tẩm Bột Chiên","Шницель"
foodSVETGSchnitzelDesc,Items,Food,,,"Thịt tẩm bột chiên (Schnitzel) là một miếng cốt lết tẩm bột rồi chiên lên, thường làm từ thịt bê, thịt lợn, hoặc thịt gà, có lớp vỏ ngoài vàng giòn rụm và phần thịt mềm ngọt, mọng nước bên trong.\n\n\n\n\n\n\n\nChế tạo tại: Bếp Lò","Шницель — это панированная и жареная котлета, обычно приготовленная из телятины, свинины или курицы, с хрустящей золотистой корочкой и нежным, сочным мясом внутри.\n\n\n\n\n\n\n\nИзготавливается на: Плите"
foodSVETGShawarma,Items,Food,,,"Bánh Shawarma","Шаурма"
foodSVETGShawarmaDesc,Items,Food,,,"Shawarma là một món ăn Trung Đông làm từ thịt đã tẩm ướp, thường là thịt cừu, gà, hoặc bò, nấu trên một trục xiên xoay dọc và thường được phục vụ trong bánh pita hoặc bánh mì dẹt cùng rau sống và nước sốt đậm đà.\n\n\n\n\n\n\n\nChế tạo tại: Bếp Lò","Шаурма — это блюдо Ближнего Востока из приправленного и маринованного мяса, часто баранины, курицы или говядины, приготовленное на вертикальном гриле и обычно подаваемое в питах или лепешках с свежими овощами и ароматными соусами.\n\n\n\n\n\n\n\nИзготавливается на: Плите"
foodSVETGRamen,Items,Food,,,"Mì Ramen","Рамен"
foodSVETGRamenDesc,Items,Food,,,"Ramen là một món súp mì của Nhật Bản bao gồm nước dùng đậm đà hương vị, sợi mì lúa mì, và nhiều loại đồ ăn kèm như thịt lợn thái lát, trứng lòng đào, hành lá, và rong biển.\n\n\n\n\n\n\n\nChế tạo tại: Bếp Lò","Рамен — это японский суп с лапшой, состоящий из насыщенного ароматного бульона, пшеничной лапши и различных топпингов, таких как нарезанная свинина, полусырые яйца, зеленый лук и водоросли.\n\n\n\n\n\n\n\nИзготавливается на: Плите"
foodSVETGBruschetta,Items,Food,,,"Bánh Mì Nướng Bruschetta","Брускетта"
foodSVETGBruschettaDesc,Items,Food,,,"Bruschetta là một món khai vị truyền thống của Ý gồm bánh mì nướng xát tỏi, rưới dầu oliu, muối, và thêm các nguyên liệu khác lên trên như cà chua, húng quế, và phô mai mozzarella.\n\n\n\n\n\n\n\nChế tạo tại: Thớt","Брускетта — это традиционная итальянская закуска, состоящая из гриль-хлеба, натертого чесноком и украшенного оливковым маслом, солью и различными ингредиентами, такими как помидоры, базилик и моцарелла.\n\n\n\n\n\n\n\nИзготавливается на: Разделочной доске"
foodSVETGKoefte,Items,Food,,,"Thịt Viên Köfte","Кёфте"
foodSVETGKoefteDesc,Items,Food,,,"Köfte là một món ăn Trung Đông và Nam Á làm từ thịt băm tẩm gia vị, thường được nặn thành viên hoặc chả rồi đem nướng hoặc chiên.\n\n\n\n\n\n\n\nChế tạo tại: Bếp Lò","Кёфте — это блюдо Ближнего Востока и Южной Азии из приправленного фарша, часто формируемого в шарики или котлеты и гриль-обжариваемого или жареного.\n\n\n\n\n\n\n\nИзготавливается на: Плите"
foodSVETGTurkishDelight,Items,Food,,,"Kẹo Dẻo Thổ Nhĩ Kỳ","Рахат-лукум"
foodSVETGTurkishDelightDesc,Items,Food,,,"Kẹo dẻo Thổ Nhĩ Kỳ là một loại bánh kẹo dẻo ngọt làm từ tinh bột và đường, thường được ướp hương nước hoa hồng hoặc chanh và rắc thêm đường bột.","Рахат-лукум — это сладкое, жевательное лакомство, сделанное из крахмала и сахара, часто ароматизированное розовой водой или лимоном и посыпанное сахарной пудрой."
foodSVETGFrenchFries,Items,Food,,,"Khoai Tây Chiên","Фри"
