Key,english
gunthompsonDesc,"Weight: 7.46kg\nFiremodes: Full-auto\nUse 'Z' Key to switch firemode\nBase ergonomics: 45\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] .45 ACP Ammo[-]\n[FF0000]IZYS: [-][FFFFFF] .45 ACP Ammo[-]\n\nRepair with a [D3CE1D]SMG Repair Kit[-]"

gunvector45,"TDI KRISS Vector Gen.2 .45 ACP submachine gun[-]"
gunvector45Desc,"Weight: 3.32kg\nFiremodes: Full-auto, Semi-auto\nUse 'Z' Key to switch firemode\nBase ergonomics: 65\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] .45 ACP Ammo[-]\n[FF0000]IZYS: [-][FFFFFF] .45 ACP Ammo[-]\n\nRepair with a [D3CE1D]SMG Repair Kit[-]"

gunmp7,"HK MP7A1 4.6x30 submachine gun[-]"
gunmp7Desc,"Weight: 2.53kg\nFiremodes: Full-auto, Semi-auto\nUse 'Z' Key to switch firemode\nBase ergonomics: 66\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 4.6×30mm Ammo\n[-][FE7B7C]Vanilla: [-][FFFFFF] 9mm Ammo\n[FF0000]IZYS: [-][FFFFFF] .45 ACP Ammo[-]\n\nRepair with a [D3CE1D]SMG Repair Kit[-]"

gunp90,"FN P90 5.7x28 submachine gun[-]"
gunp90Desc,"Weight: 3.57kg\nFiremodes: Full-auto, Semi-auto\nUse 'Z' Key to switch firemode\nBase ergonomics: 74\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] FN 5.7×28mm Ammo[-]\n[FE7B7C]Vanilla: [-][FFFFFF] .44 Magnum Ammo[-]\n[FF0000]IZYS: [-][FFFFFF] .45 ACP Ammo[-]\n\nRepair with a [D3CE1D]SMG Repair Kit[-]"

guntokarevtt,"Tokarev TT-33 7.62x25 TT pistol"
guntokarevttDesc,"Weight: 0.874kg\nFiremodes: Semi-auto\nBase ergonomics: 69\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 7.62×25mm Ammo[-]\n[FE7B7C]Vanilla: [-][FFFFFF] 9mm Ammo[-]\n[FF0000]IZYS: [-][FFFFFF] .45 ACP Ammo[-]\n\nRepair with a [D3CE1D]Pistol Repair Kit[-]"

guntokarevgold,"TT-33 Golden Pistol[-]"
guntokarevgoldDesc,"Weight: 0.95kg\nFiremodes: Semi-auto\nBase ergonomics: 69\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 7.62×25mm Ammo[-]\n[FE7B7C]Vanilla: [-][FFFFFF] 9mm Ammo[-]\n[FF0000]IZYS: [-][FFFFFF] .45 ACP Ammo[-]\n\nRepair with a [D3CE1D]Pistol Repair Kit[-]"

gunpmalphadog,"Makarov PM Alphadog Tactical 9x18PM pistol"
gunpmalphadogDesc,"Weight: 1.28kg\nFiremodes: Semi-auto\nBase ergonomics: 82\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 9×18mm Ammo\n[-][FE7B7C]Vanilla: [-][FFFFFF] 9mm Ammo\n[-][FF0000]IZYS: [-][FFFFFF] 9mm Ammo[-]\n\nRepair with a [D3CE1D]Pistol Repair Kit[-]\n\nHas an [4FBE28]Integrated Suppressor[-]"

gunstechkin,"Stechkin APS 9x18PM machine pistol"
gunstechkinDesc,"Weight: 1.19kg\nFiremodes: Full-auto, Semi-auto\nUse 'Z' Key to switch firemode\nBase ergonomics: 82[-]\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 9×18mm Ammo\n[-][FE7B7C]Vanilla: [-][FFFFFF] 9mm Ammo\n[-][FF0000]IZYS: [-][FFFFFF] 9mm Ammo[-]\n\nRepair with a [D3CE1D]Pistol Repair Kit[-]"

gunglock17,"Glock 17 9x19 pistol"
gunglock17Desc,"Weight: 1.15kg\nFiremodes: Semi-auto\nBase ergonomics: 94\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 9×19mm Ammo\n[-][FE7B7C]Vanilla: [-][FFFFFF] 9mm Ammo\n[-][FF0000]IZYS: [-][FFFFFF] 9mm Ammo[-]\n\nRepair with a [D3CE1D]Pistol Repair Kit[-]"

gunp226,"SIG P226R 9x19 pistol"
gunp226Desc,"Weight: 1.2kg\nFiremodes: Semi-auto\nBase ergonomics: 82\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 9×19mm Ammo\n[-][FE7B7C]Vanilla: [-][FFFFFF] 9mm Ammo\n[-][FF0000]IZYS: [-][FFFFFF] 9mm Ammo[-]\n\nRepair with a [D3CE1D]Pistol Repair Kit[-]"

gunm9a3,"Beretta M9A3 9x19 pistol"
gunm9a3Desc,Weight: 1.01kg\nFiremodes: Semi-auto\nBase ergonomics: 70\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 9×19mm Ammo\n[-][FE7B7C]Vanilla: [-][FFFFFF] 9mm Ammo\n[-][FF0000]IZYS: [-][FFFFFF] 9mm Ammo[-]\n\nRepair with a [D3CE1D]Pistol Repair Kit[-]"

gunglock18c,"Glock 18C 9x19 machine pistol"
gunglock18cDesc,"Weight: 1.12kg\nFiremodes: Full-auto, Semi-auto\nUse 'Z' Key to switch firemode\nBase ergonomics: 93[-]\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 9×19mm Ammo\n[-][FE7B7C]Vanilla: [-][FFFFFF] 9mm Ammo\n[-][FF0000]IZYS: [-][FFFFFF] 9mm Ammo[-]\n\nRepair with a [D3CE1D]Pistol Repair Kit[-]\n\nHas an [4FBE28]Integrated Suppressor[-]"

gunsr1mp,"Serdyukov SR-1MP Gyurza 9x21 pistol"
gunsr1mpDesc,"Weight: 1.19kg\nFiremodes: Semi-auto\nBase ergonomics: 79\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 9×21mm Ammo\n[-][FE7B7C]Vanilla: [-][FFFFFF] 9mm Ammo\n[-][FF0000]IZYS: [-][FFFFFF] 9mm Ammo[-]\n\nRepair with a [D3CE1D]Pistol Repair Kit[-]"

gunusp45tac,"HK USP .45 ACP pistol Tactical"
gunusp45tacDesc,"Weight: 1.31kg\nFiremodes: Semi-auto\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] .45 ACP Ammo[-]\n[FF0000]IZYS: [-][FFFFFF] .45 ACP Ammo[-]\n\nRepair with a [D3CE1D]Pistol Repair Kit[-]"

gunusp45match,"HK USP .45 ACP pistol w Match Compensator"
gunusp45matchDesc,"Weight: 1.53kg\nFiremodes: Semi-auto\nBase ergonomics: 68\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] .45 ACP Ammo[-]\n[FF0000]IZYS: [-][FFFFFF] .45 ACP Ammo[-]\n\nRepair with a [D3CE1D]Pistol Repair Kit[-]\n\nCannot equip [FF4F33]Suppressors[-]"

gunm1911,"Colt M1911A1 .45 ACP pistol"
gunm1911Desc,"Weight: 1.64kg\nFiremodes: Semi-auto\nBase ergonomics: 75\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] .45 ACP Ammo[-]\n[FF0000]IZYS: [-][FFFFFF] .45 ACP Ammo[-]\n\nRepair with a [D3CE1D]Pistol Repair Kit[-]"

gunm45,"Colt M45A1 .45 ACP pistol"
gunm45Desc,"Weight: 1.6kg\nFiremodes: Semi-auto\nBase ergonomics: 86\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] .45 ACP Ammo[-]\n[FF0000]IZYS: [-][FFFFFF] .45 ACP Ammo[-]\n\nRepair with a [D3CE1D]Pistol Repair Kit[-]"

gunucp,"HK UCP Prototype 46x30 pistol"
gunucpDesc,"Weight: 0.95kg\nFiremodes: Semi-auto\nBase ergonomics: 81\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 4.6×30mm - FMJ SX Ammo\n[-][FE7B7C]Vanilla: [-][FFFFFF] 9mm Ammo\n[-][FF0000]IZYS: [-][FFFFFF] 9mm Ammo[-]\n\nRepair with a [D3CE1D]Pistol Repair Kit[-]\n\nHas an [4FBE28]Integrated Suppressor[-]"

gunfiveseven,"FN Five-seveN MK2 5.7x28 pistol"
gunfivesevenDesc,"Weight: 0.93kg\nFiremodes: Semi-auto\nBase ergonomics: 87\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] FN 5.7×28mm Ammo\n[-][FE7B7C]Vanilla: [-][FFFFFF] 9mm Ammo\n[-][FF0000]IZYS: [-][FFFFFF] 9mm Ammo[-]\n\nRepair with a [D3CE1D]Pistol Repair Kit[-]"

gundeserteagle,"Magnum Research Desert Eagle L6 .50 AE pistol"
gundeserteagleDesc,"Weight: 1.94kg\nFiremodes: Semi-auto\nBase ergonomics: 70\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] .50 AE Ammo[-]\n[FE7B7C]Vanilla: [-][FFFFFF] .44 Magnum Ammo[-]\n[FF0000]IZYS: [-][FFFFFF] .45 ACP Ammo[-]\n\nRepair with a [D3CE1D]Revolver Repair Kit[-]"

gunrsh12,"RSh-12 12.7x55 revolver"
gunrsh12Desc,"Weight: 2.55kg\nFiremodes: Full-auto, Semi-auto\nBase ergonomics: 40\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 12.7×55mm Ammo[-]\n[FE7B7C]Vanilla: [-][FFFFFF] .44 Magnum Ammo[-]\n[FF0000]IZYS: [-][FFFFFF] .45 ACP Ammo[-]\n\nRepair with a [D3CE1D]Revolver Repair Kit[-]"

gunks23,"TOZ KS-23M 23x75mm pump-action shotgun[-]"
gunks23Desc,"Weight: 4.35kg\nFiremodes: Pump Action\nBarrel Range and Spread Bonus: Max range +32.5 and Spread -32.5%\nBase ergonomics: 33\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 20/70 Buckshot,12/70 AP-20 Slug Ammo\n[-][FE7B7C]Vanilla: [-][FFFFFF] Shotgun Shell,Shotgun AP Slug Ammo[-]\n[FF0000]IZYS: [-][FFFFFF] 12 Gauge Magnum Ammo[-]\n\nRepair with a [D3CE1D]Shotgun Repair Kit[-]"

guntoz106,"TOZ-106 20ga bolt-action shotgun"
guntoz106Desc,"Weight: 2.8kg\nFiremodes: Bolt-action\nBarrel Range and Spread Bonus: 0\nBase ergonomics: 73\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 20/70 Buckshot,12/70 AP-20 Slug Ammo\n[-][FE7B7C]Vanilla: [-][FFFFFF] Shotgun Shell,Shotgun AP Slug Ammo[-]\n[FF0000]IZYS: [-][FFFFFF] 12 Gauge Magnum Ammo[-]\n\nRepair with a [D3CE1D]Shotgun Repair Kit[-]"

gunmp43,"MP-43-1C 12ga double-barrel shotgun"
gunmp43Desc,"Weight: 3.65kg\nFiremodes: Single shot, Double Tap\nUse 'Z' Key to switch firemode\nBarrel Range and Spread Bonus: Max range +35 and Spread -35%\nBase ergonomics: 37\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 12/70 Buckshot, Flechette, Slug[-]\n[FE7B7C]Vanilla: [-][FFFFFF] Shotgun Shell, AP Slug, Breaching Slug[-]\n[FF0000]IZYS: [-][FFFFFF] 12 Gauge Magnum Ammo, 12 Gauge Dragonbreath[-]\n\nRepair with a [D3CE1D]Shotgun Repair Kit[-]"

gunmts255,"MTs-255-12 12ga revolver shotgun"
gunmts255Desc,"Weight: 4.55kg\nFiremodes: Semi-auto\nBarrel Range and Spread Bonus: Max range +35 and Spread -35%\nBase ergonomics: 42\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 12/70 Buckshot, Flechette, Slug[-]\n[FE7B7C]Vanilla: [-][FFFFFF] Shotgun Shell, AP Slug, Breaching Slug[-]\n[FF0000]IZYS: [-][FFFFFF] 12 Gauge Magnum Ammo, 12 Gauge Dragonbreath[-]\n\nRepair with a [D3CE1D]Shotgun Repair Kit[-]"

gunm590,"Mossberg 590A1 12ga pump-action shotgun[-]"
gunm590Desc,"Weight: 4.0kg\nFiremodes: Pump Action\nBarrel Range and Spread Bonus: Max range +10 and Spread -10%\nBase ergonomics: 70\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 12/70 Buckshot, Flechette, Slug[-]\n[FE7B7C]Vanilla: [-][FFFFFF] Shotgun Shell, AP Slug, Breaching Slug[-]\n[FF0000]IZYS: [-][FFFFFF] 12 Gauge Magnum Ammo, 12 Gauge Dragonbreath[-]\n\nRepair with a [D3CE1D]Shotgun Repair Kit[-]"

gunm870,"Remington Model 870 12ga pump-action shotgun[-]"
gunm870Desc,"Weight: 4.0kg\nFiremodes: Pump Action\nBarrel Range and Spread Bonus: Max range +27.5 and Spread -27.5%\nBase ergonomics: 62\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 12/70 Buckshot, Flechette, Slug[-]\n[FE7B7C]Vanilla: [-][FFFFFF] Shotgun Shell, AP Slug, Breaching Slug[-]\n[FF0000]IZYS: [-][FFFFFF] 12 Gauge Magnum Ammo, 12 Gauge Dragonbreath[-]\n\nRepair with a [D3CE1D]Shotgun Repair Kit[-]"

gunmp133,"MP-133 12ga pump-action shotgun"
gunmp133Desc,"Weight: 4.1kg\nFiremodes: Pump Action\nBarrel Range and Spread Bonus: Max range +15 and Spread -15%\nBase ergonomics: 44\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 12/70 Buckshot, Flechette, Slug[-]\n[FE7B7C]Vanilla: [-][FFFFFF] Shotgun Shell, AP Slug, Breaching Slug[-]\n[FF0000]IZYS: [-][FFFFFF] 12 Gauge Magnum Ammo, 12 Gauge Dragonbreath[-]\n\nRepair with a [D3CE1D]Shotgun Repair Kit[-]"

gunksg12,"Kel-Tec KSG-12 12ga pump-action shotgun[-]"
gunksg12Desc,"Weight: 3.85kg\nFiremodes: Pump Action\nBarrel Range and Spread Bonus: Max range +6 and Spread -6%\nBase ergonomics: 60\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 12/70 Buckshot, Flechette, Slug[-]\n[FE7B7C]Vanilla: [-][FFFFFF] Shotgun Shell, AP Slug, Breaching Slug[-]\n[FF0000]IZYS: [-][FFFFFF] 12 Gauge Magnum Ammo, 12 Gauge Dragonbreath[-]\n\nRepair with a [D3CE1D]Shotgun Repair Kit[-]"

gunmp153,"MP-153 12ga semi-automatic shotgun[-]"
gunmp153Desc,"Weight: 4.250kg\nFiremodes: Semi-auto\nBarrel Range and Spread Bonus: Max range +38 and Spread -38%\nBase ergonomics: 34\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 12/70 Buckshot, Flechette, Slug[-]\n[FE7B7C]Vanilla: [-][FFFFFF] Shotgun Shell, AP Slug, Breaching Slug[-]\n[FF0000]IZYS: [-][FFFFFF] 12 Gauge Magnum Ammo, 12 Gauge Dragonbreath[-]\n\nRepair with a [D3CE1D]Shotgun Repair Kit[-]"

gunm3benelli,"Benelli M3 Super 90 12ga semi-automatic shotgun[-]"
gunm3benelliDesc,"Weight: 3.64kg\nFiremodes: Semi-auto\nBarrel Range and Spread Bonus: Max range +10 and Spread -10%\nBase ergonomics: 62\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 12/70 Buckshot, Flechette, Slug[-]\n[FE7B7C]Vanilla: [-][FFFFFF] Shotgun Shell, AP Slug, Breaching Slug[-]\n[FF0000]IZYS: [-][FFFFFF] 12 Gauge Magnum Ammo, 12 Gauge Dragonbreath[-]\n\nRepair with a [D3CE1D]Shotgun Repair Kit[-]"

gunsaiga12,"Saiga-12K 12ga automatic shotgun[-]"
gunsaiga12Desc,"Weight: 5.0kg\nFiremodes: Full-auto, Semi-auto\nUse 'Z' Key to switch firemode\nBarrel Range and Spread Bonus: 0\nBase ergonomics: 55\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 12/70 Buckshot, Flechette, Slug[-]\n[FE7B7C]Vanilla: [-][FFFFFF] Shotgun Shell, AP Slug, Breaching Slug[-]\n[FF0000]IZYS: [-][FFFFFF] 12 Gauge Magnum Ammo, 12 Gauge Dragonbreath[-]\n\nRepair with a [D3CE1D]Shotgun Repair Kit[-]\nRequires a grip to equip flashlights/lasers"

gunAA12,"MPS Auto Assault-12 Gen2 12ga automatic shotgun[-]"
gunAA12Desc,"Weight: 5.38kg\nFiremodes: Full-auto\nBarrel Range and Spread Bonus: 0\nBase ergonomics: 40\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 12/70 Buckshot, Flechette, Slug[-]\n[FE7B7C]Vanilla: [-][FFFFFF] Shotgun Shell, AP Slug, Breaching Slug[-]\n[FF0000]IZYS: [-][FFFFFF] 12 Gauge Magnum Ammo, 12 Gauge Dragonbreath[-]\n\nRepair with a [D3CE1D]Shotgun Repair Kit[-]"

gunadar,"ADAR 2-15 5.56x45 carbine"
gunadarDesc,"Weight: 2.95kg\nFiremodes: Semi-auto\nBase ergonomics: 63\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 5.56×45mm Ammo[-]\n[FE7B7C]Vanilla: [-][FFFFFF] 7.62mm Ammo[-]\n[FF0000]IZYS: [-][FFFFFF] 5.56x45mm Ammo[-]\n\nRepair with a [D3CE1D]Rifle Repair Kit[-]"

gunsks,"Molot Arms Simonov OP-SKS 7.62x39 carbine"
gunsksDesc,"Weight: 4kg\nFiremodes: Semi-auto\nBase ergonomics: 37\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 7.62×39mm Ammo[-]\n[FE7B7C]Vanilla: [-][FFFFFF] 7.62mm Ammo[-]\n[FF0000]IZYS: [-][FFFFFF] 7.62 Explosive Fragmentations Ammo[-]\n\nRepair with a [D3CE1D]Rifle Repair Kit[-]"

gunm700,"Remington Model 700 7.62x51 bolt-action sniper rifle"
gunm700Desc,"Weight: 4.4kg\nFiremodes: Bolt-action\nBase ergonomics: 36\nBolt-action precision bonus: +50% damage\nScroll mouse wheel to change zoom level, or press [action:KFLibPlayerActions:ToggleZoomLevel] to toggle zoom level\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 7.62×51mm Ammo[-]\n[FE7B7C]Vanilla: [-][FFFFFF] 7.62mm Ammo[-]\n[FF0000]IZYS: [-][FFFFFF] 7.62 Explosive Fragmentations Ammo[-]\n\nRepair with a [D3CE1D]Rifle Repair Kit[-]"

gunm110sass,"Knight's Armament Company M110 SASS 7.62x51 marksman rifle"
gunm110sassDesc,"Weight: 5.65kg\nFiremodes: Semi-auto\nBase ergonomics: 40\nDMR precision bonus: +25% damage\nScroll mouse wheel to change zoom level, or press [action:KFLibPlayerActions:ToggleZoomLevel] to toggle zoom level[-]\nCompatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 7.62×51mm Ammo[-]\n[FE7B7C]Vanilla: [-][FFFFFF] 7.62mm Ammo[-]\n[FF0000]IZYS: [-][FFFFFF] 7.62 Explosive Fragmentations Ammo[-]\n\nRepair with a [D3CE1D]Rifle Repair Kit[-]"

gundvl10,"Lobaev Arms DVL-10 Saboteur 7.62x51 bolt-action sniper rifle"
gundvl10Desc,"Weight: 5.1kg\nFiremodes: Bolt-action\nBase ergonomics: 45\nBolt-action precision bonus: +50% damage\nIntegrally suppressed, more effective sound suppression\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 7.62×51mm Ammo[-]\n[FE7B7C]Vanilla: [-][FFFFFF] 7.62mm Ammo[-]\n[FF0000]IZYS: [-][FFFFFF] 7.62 Explosive Fragmentations Ammo[-]\n\nRepair with a [D3CE1D]Rifle Repair Kit[-]\n\nHas an [4FBE28]Integrated Suppressor[-]"

