Key,File,Type,UsedInMainMenu,NoTranslate,english
SMAMaceDesc,Items,Weapons,,,"Vũ khí mạnh mẽ này được cho là sẽ bảo vệ người cầm nó bằng một vầng hào quang huyền bí, trong khi mỗi cú đập truyền tải sức mạnh cổ đại của viên pha lê bùa chú để đập nát cả giáp trụ lẫn tinh thần kẻ thù.\n\n\n\nChịu ảnh hưởng bởi kỹ năng Thánh Đập Phá (Pummel Pete).\n\n\n\nDùng bộ dụng cụ sửa chữa huyền thoại để sửa."
SMAKopesh,Items,Weapons,,,"Lưỡi Liềm Hỏa Ngục"
SMAKopeshDesc,Items,Weapons,,,"Vũ khí rực rỡ này được cho là mang theo sức nóng của một ngàn mặt trời, thiêu rụi kẻ thù sau mỗi vòng cung và để lại những dải ánh sáng nóng chảy trên đường đi của nó.\n\n\n\nChịu ảnh hưởng bởi kỹ năng Vết Cắt Sâu (Deep Cuts).\n\n\n\nDùng bộ dụng cụ sửa chữa huyền thoại để sửa."
SMACarapaceClub,Items,Weapons,,,"Trùy Vỏ Cứng Phá Giáp"
SMACarapaceClubDesc,Items,Weapons,,,"Vũ khí tàn bạo này được chế tác từ lớp vỏ không thể phá hủy của những con quái thú cổ đại, bề mặt cứng cáp của nó có khả năng nghiền nát cả đá và xương bằng sức mạnh của cơn thịnh nộ thiên nhiên.\n\n\n\nChịu ảnh hưởng bởi kỹ năng Thánh Đập Phá (Pummel Pete).\n\n\n\nDùng bộ dụng cụ sửa chữa huyền thoại để sửa."
LWHornyBat,Items,Weapons,,,"Gậy Gai Góc"
LWHornyBatDesc,Items,Weapons,,,"Nện nát sọ lũ tà đạo!\n\n\n\nChịu ảnh hưởng bởi kỹ năng Đao Phủ Điện (Electrocutioner).\n\n\n\nDùng bộ dụng cụ sửa chữa huyền thoại để sửa."
LWWakizashi,Items,Weapons,,,"Hoa Anh Đào Rơi"
LWWakizashiDesc,Items,Weapons,,,"Hoa Anh Đào Rơi được rèn từ thép của một thanh katana bị vỡ, lưỡi kiếm được khắc hình một cây hoa anh đào để vinh danh trận chiến cuối cùng của một chiến binh dưới tán hoa.\nTruyền thuyết kể rằng mỗi nhát cắt của thanh wakizashi này mang sức nặng của những cánh hoa đã rụng, tấn công bằng cả vẻ đẹp và sự bi thương.\n\n\n\nChịu ảnh hưởng bởi kỹ năng Vết Cắt Sâu (Deep Cuts).\n\n\n\nDùng bộ dụng cụ sửa chữa huyền thoại để sửa."
LWFantasySword2,Items,Weapons,,,"Màn Đêm Buông"
LWFantasySword2Desc,Items,Weapons,,,"Màn Đêm Buông, một lưỡi kiếm được rèn từ thứ sắt tối tăm nhất, hấp thụ ánh sáng cuối cùng của ngày sau mỗi buổi hoàng hôn, và trở nên sắc bén hơn khi màn đêm buông xuống.\nTruyền thuyết kể rằng trong tay chủ nhân của nó, thanh kiếm có thể cắt xuyên qua chính những cái bóng, khiến người sử dụng gần như vô hình dưới sự che chở của bóng tối.\n\n\n\nChịu ảnh hưởng bởi kỹ năng Vết Cắt Sâu (Deep Cuts).\n\n\n\nDùng bộ dụng cụ sửa chữa huyền thoại để sửa."
LWOneHanded,Items,Weapons,,,"Kiếm Đồng Chớp Nhoáng"
LWOneHandedDesc,Items,Weapons,,,"Kiếm Đồng Chớp Nhoáng, được rèn từ một loại đồng cổ đại bí ẩn, lấp lánh thứ ánh sáng thế giới khác đập theo từng nhát chém.\nTruyền thuyết cho rằng cạnh sắc của nó có thể cắt xuyên qua cả thép và bóng tối, và sắc đồng của nó thay đổi theo sự chuyển vần của số phận, phản chiếu định mệnh của người sử dụng nó.\n\n\n\nChịu ảnh hưởng bởi kỹ năng Vết Cắt Sâu (Deep Cuts).\n\n\n\nDùng bộ dụng cụ sửa chữa huyền thoại để sửa."
LWIceSword,Items,Weapons,,,"Kiếm Pha Lê Tuyết"
LWIceSwordDesc,Items,Weapons,,,"Kiếm Pha Lê Tuyết, được rèn từ trái tim của một dòng sông băng, lấp lánh ánh sáng lạnh lẽo, pha lê không bao giờ phai nhạt.\nTruyền thuyết kể rằng nó có thể phá vỡ cả những hệ thống phòng thủ băng giá kiên cố nhất và lưỡi kiếm của nó truyền tải sức mạnh nguyên thủy của mùa đông, đóng băng bất cứ thứ gì nó chạm vào bằng một cái lạnh tàn nhẫn.\n\n\n\nChịu ảnh hưởng bởi kỹ năng Vết Cắt Sâu (Deep Cuts).\n\n\n\nDùng bộ dụng cụ sửa chữa huyền thoại để sửa."
LWFantasySword,Items,Weapons,,,"Bình Minh Rực Lửa"
LWFantasySwordDesc,Items,Weapons,,,"Bình Minh Rực Lửa, với lưỡi kiếm được khắc những cổ ngữ màu cam bốc lửa, được cho là khai thác ánh sáng đầu tiên của mỗi buổi bình minh, bốc cháy với độ rực rỡ thiêu đốt vào lúc rạng đông.\nTruyền thuyết kể về sức mạnh cắt xuyên qua bóng tối và bóng râm của nó, cháy bằng ngọn lửa không thể dập tắt xuyên thủng cả giáp trụ lẫn tinh thần.\n\n\n\nChịu ảnh hưởng bởi kỹ năng Vết Cắt Sâu (Deep Cuts).\n\n\n\nDùng bộ dụng cụ sửa chữa huyền thoại để sửa."
LWMoltenGreatSword,Items,Weapons,,,"Đại Kiếm Nóng Chảy"
LWMoltenGreatSwordDesc,Items,Weapons,,,"Đại Kiếm Nóng Chảy, được rèn trong trái tim của một ngọn núi lửa đang hoạt động, tỏa ra sức nóng dữ dội của dung nham nóng chảy chảy qua lưỡi kiếm.\nNhững câu chuyện cổ xưa kể về khả năng xuyên thủng những hệ thống phòng ngự cứng cỏi nhất và nó rực cháy với cơn thịnh nộ của chính mặt đất, thiêu rụi mọi thứ trên đường đi.\n\n\n\nChịu ảnh hưởng bởi kỹ năng Vết Cắt Sâu (Deep Cuts).\n\n\n\nDùng bộ dụng cụ sửa chữa huyền thoại để sửa."
LWDragonKnife,Items,Weapons,,,"Dao Găm Vermis"
LWDragonKnifeDesc,Items,Weapons,,,"Dao Găm Vermis, được khắc hình một con rồng đáng sợ cuộn quanh lưỡi dao, được rèn từ một thiên thạch rơi xuống trong ngọn lửa bùng cháy.\nTruyền thuyết cho rằng hình khắc rồng truyền cho con dao một hơi thở rực lửa, cho phép nó cắt qua mọi vật liệu như thể cắt giấy và gieo rắc nỗi sợ hãi vào trái tim những kẻ nhìn thấy nó.\n\n\n\nChịu ảnh hưởng bởi kỹ năng Vết Cắt Sâu (Deep Cuts).\n\n\n\nDùng bộ dụng cụ sửa chữa huyền thoại để sửa."
LWNewScythe,Items,Weapons,,,"Lưỡi Hái Diệt Vong"
LWNewScytheDesc,Items,Weapons,,,"Lưỡi Hái Diệt Vong, một lưỡi hái được trang trí bằng một hộp sọ đáng sợ ở gốc, được chế tác từ xương của những chiến binh cổ đại đã ngã xuống và được truyền dẫn những nguồn năng lượng hắc ám, chiêu hồn.\nNhững truyền thuyết thì thầm rằng nó có thể cắt xuyên qua cả người sống lẫn kẻ chết, lưỡi dao của nó hút cạn sinh khí của những kẻ nó chạm vào và đảm bảo rằng ngay cả những linh hồn ngoan cố nhất cũng không thể thoát khỏi số mệnh.\n\n\n\nChịu ảnh hưởng bởi kỹ năng Vết Cắt Sâu (Deep Cuts).\n\n\n\nDùng bộ dụng cụ sửa chữa huyền thoại để sửa."
HolyScythe,Items,Weapons,,,"Lưỡi Hái Thiên Thần"
HolyScytheDesc,Items,Weapons,,,"Lưỡi Hái Thiên Thần, một lưỡi hái thấm đẫm tinh hoa của thiên đàng, tỏa sáng rực rỡ với ánh sáng cắt xuyên qua màn đêm và bóng tối.\nNgười ta nói rằng loại vũ khí thần thánh này dẫn dắt linh hồn của người chết bằng ân sủng của thần linh, đảm bảo hành trình sang thế giới bên kia của họ diễn ra nhanh chóng và thanh thản.\n\n\n\nChịu ảnh hưởng bởi kỹ năng Vết Cắt Sâu (Deep Cuts).\n\n\n\nDùng bộ dụng cụ sửa chữa huyền thoại để sửa."
LWFangtian,Items,Weapons,,,"Thương Thiên Thần"
LWFangtianDesc,Items,Weapons,,,"Thương Thiên Thần, được rèn từ sắt thiên thạch và thấm đẫm bụi sao, lấp lánh một ánh sáng thiên thể đâm thủng cả bầu trời.\nTruyền thuyết kể rằng các đòn đánh của nó có thể truyền tải sức mạnh của chính những vì sao, cho phép người sử dụng triệu hồi những ngôi sao băng và năng lượng thiên thạch để tàn phá kẻ thù và bảo vệ kẻ yếu.\n\n\n\nChịu ảnh hưởng bởi kỹ năng Bậc Thầy Giáo (Javelin Master).\n\n\n\nDùng bộ dụng cụ sửa chữa huyền thoại để sửa."
LWShamanGlaive,Items,Weapons,,,"Đại Đao Pháp Sư"
LWShamanGlaiveDesc,Items,Weapons,,,"Đại Đao Pháp Sư, được khắc từ gỗ thánh và trang trí bằng những cổ ngữ cổ đại, truyền tải những lực lượng nguyên thủy của tự nhiên qua lưỡi kiếm cong thanh lịch của nó.\nTruyền thuyết kể rằng thanh đại đao này có thể triệu hồi bão tố, chỉ huy các linh hồn của tự nhiên và khai thác sức mạnh thô sơ của mặt đất, biến người sử dụng nó thành một đường dây liên kết đáng gờm giữa thế giới vật chất và thế giới tâm linh.\n\n\n\nChịu ảnh hưởng bởi kỹ năng Bậc Thầy Giáo (Javelin Master).\n\n\n\nDùng bộ dụng cụ sửa chữa huyền thoại để sửa."
LWNokia,Items,Weapons,,,"Nokia Buộc Gậy"
LWNokiaDesc,Items,Weapons,,,"Vũ khí mang tính hủy diệt nhất từng được tạo ra!\n\n\n\nChịu ảnh hưởng bởi kỹ năng Thánh Đập Phá (Pummel Pete).\n\n\n\nDùng bộ dụng cụ sửa chữa huyền thoại để sửa."
LWShamanMace,Items,Weapons,,,"Chùy Pháp Sư"
LWShamanMaceDesc,Items,Weapons,,,"Chùy Pháp Sư, được chế tác từ đá yểm bùa và quấn bằng những dây leo cổ đại, đập theo nhịp điệu năng lượng nguyên thủy của thế giới tự nhiên.\nTruyền thuyết kể rằng mỗi cú vung của thứ vũ khí hùng mạnh này truyền tải linh hồn của mặt đất, giải phóng những cơn chấn động có thể làm nát bấy mặt đất và triệu hồi cơn thịnh nộ của các nguyên tố.\n\n\n\nChịu ảnh hưởng bởi kỹ năng Thánh Đập Phá (Pummel Pete).\n\n\n\nDùng bộ dụng cụ sửa chữa huyền thoại để sửa."
LWVolendrung,Items,Weapons,,,"Búa Thần Volendrung"
LWVolendrungDesc,Items,Weapons,,,"Búa Thần Volendrung, một cây búa chiến khổng lồ được rèn trong trái tim của một vì sao sắp chết, tỏa ra một sức mạnh đen tối, đến từ một thế giới khác.\nNhững truyền thuyết kể về khả năng nghiền nát những ngọn núi và phá vỡ cả cấu trúc của thực tại, mang theo một sức mạnh vô cùng to lớn được cho là đã định hình lại thế giới sau mỗi lần xuất hiện.\n\n\n\nChịu ảnh hưởng bởi kỹ năng Máy Nghiền Sọ (Skull Crusher).\n\n\n\nDùng bộ dụng cụ sửa chữa huyền thoại để sửa."
LWDragonSkullAxe,Items,Weapons,,,"Rìu Sọ Rồng"
LWDragonSkullAxeDesc,Items,Weapons,,,"Rìu Sọ Rồng, được rèn từ xương của một con rồng cổ đại, được cho là mang theo cơn thịnh nộ của con quái thú tạo ra nó, khiến các đòn tấn công của nó vừa nhanh chóng vừa tàn nhẫn.\nĐược cầm bởi những người đủ can đảm để chế ngự linh hồn rực lửa của nó, chiếc rìu phát ra ánh sáng mờ ảo với những đốm lửa bùng sáng hơn sau mỗi lần hạ gục kẻ địch.\n\n\n\nChịu ảnh hưởng bởi kỹ năng Vết Cắt Sâu (Deep Cuts) & Thợ Mỏ 69 (Miner69er).\n\n\n\nDùng bộ dụng cụ sửa chữa huyền thoại để sửa."
LWFantasyAxe,Items,Weapons,,,"Rìu Chiến Tàn Tro"
LWFantasyAxeDesc,Items,Weapons,,,"Rìu Chiến Tàn Tro, được rèn trong trái tim nóng chảy của một ngọn núi lửa bị nguyền rủa, được thiết kế để dập tắt cả những ngọn lửa hung dữ nhất, và cái tên của nó xuất phát từ vô số trận chiến chống lại những kẻ thù dùng hỏa công.\nLưỡi rìu đen tuyền của nó rung lên một sức mạnh ớn lạnh, dập tắt hơi nóng và ánh sáng sau mỗi cú vung tàn khốc.\n\n\n\nChịu ảnh hưởng bởi kỹ năng Vết Cắt Sâu (Deep Cuts) & Thợ Mỏ 69 (Miner69er).\n\n\n\nDùng bộ dụng cụ sửa chữa huyền thoại để sửa."
LWFireAxe,Items,Weapons,,,"Rìu Chiến Nóng Chảy"
LWFireAxeDesc,Items,Weapons,,,"Rìu Chiến Nóng Chảy được rèn trong lõi của một ngọn núi lửa đang phun trào, lưỡi rìu liên tục chảy ròng ròng những dòng magma rực lửa xuyên thủng cả áo giáp lẫn xương cốt.\nTruyền thuyết kể rằng chiếc rìu luôn thèm khát trận chiến, nóng hơn sau mỗi cú đánh, cho đến khi nó thiêu rụi chiến trường trong một ngọn lửa cuồng nộ không thể ngăn cản.\n\n\n\nChịu ảnh hưởng bởi kỹ năng Vết Cắt Sâu (Deep Cuts) & Thợ Mỏ 69 (Miner69er).\n\n\n\nDùng bộ dụng cụ sửa chữa huyền thoại để sửa."
LWMaelstromAxe,Items,Weapons,,,"Rìu Chiến Cuồng Phong"
LWMaelstromAxeDesc,Items,Weapons,,,"Rìu Chiến Cuồng Phong được sinh ra từ trái tim của một cơn cuồng phong hung dữ, lưỡi rìu nổ lách tách với cơn thịnh nộ của những cơn bão bị giam cầm.\nNgười sử dụng thứ vũ khí này chỉ huy gió và sấm sét, mỗi nhát chém giải phóng một luồng sức mạnh hủy diệt nhấn chìm kẻ thù như một cơn lốc xoáy tàn nhẫn.\n\n\n\nChịu ảnh hưởng bởi kỹ năng Vết Cắt Sâu (Deep Cuts) & Thợ Mỏ 69 (Miner69er).\n\n\n\nDùng bộ dụng cụ sửa chữa huyền thoại để sửa."
LWSylphAxe,Items,Weapons,,,"Rìu Chiến Tinh Linh"
LWSylphAxeDesc,Items,Weapons,,,"Rìu Chiến Tinh Linh, được trang trí bằng những viên ngọc lục bảo phát sáng, được cho là đã được các tinh linh gió ban phước, cho phép người sử dụng nó di chuyển với tốc độ và sự uyển chuyển vô song trong chiến đấu.\nMỗi cú vung của lưỡi rìu để lại một vệt sáng màu xanh lục lấp lánh, như thể chính không khí cũng phải uốn mình theo ý chí của chiếc rìu, chém qua kẻ thù bằng một tiếng thì thầm của gió.\n\n\n\nChịu ảnh hưởng bởi kỹ năng Vết Cắt Sâu (Deep Cuts) & Thợ Mỏ 69 (Miner69er).\n\n\n\nDùng bộ dụng cụ sửa chữa huyền thoại để sửa."
LWDragonBow,Items,Weapons,,,"Cái Ôm Của Ryujin"
LWDragonBowDesc,Items,Weapons,,,"Cái Ôm Của Ryujin mang một chiếc đầu rồng đáng sợ đậu trên đỉnh, được cho là truyền tải sức mạnh cổ xưa của chính Long Thần Ryujin.\nKhi được kéo căng, cây cung sẽ giải phóng những mũi tên thấm đẫm tinh hoa của sấm sét và lửa đỏ, mỗi phát bắn mang theo cơn thịnh nộ và uy nghiêm từ hơi thở rực lửa của loài rồng.\n\n\n\nChịu ảnh hưởng bởi kỹ năng Cung Thủ (Archery).\n\n\n\nDùng bộ dụng cụ sửa chữa huyền thoại để sửa."
LWEpicBow,Items,Weapons,,,"Cung Dạ Hoa"
LWEpicBowDesc,Items,Weapons,,,"Cung Dạ Hoa, được trang trí bằng những cổ ngữ màu tím lấp lánh, hút sức mạnh của nó từ tinh hoa của những đêm trăng sáng và những bùa chú ẩn giấu.\nKhi được kéo căng, nó tỏa ra một vầng hào quang thanh tao nhẹ nhàng, những mũi tên xé toạc màn đêm như những vệt sáng ma quái, được dẫn lối bởi ma thuật tinh tế của màn đêm.\n\n\n\nChịu ảnh hưởng bởi kỹ năng Cung Thủ (Archery).\n\n\n\nDùng bộ dụng cụ sửa chữa huyền thoại để sửa."
