Key,english
zombieFatHawaiianRadiatedT2,"Du Khách Phóng Xạ T2"
zombieBowlerT2,"Người Chơi Bowling T2"
zombieBowlerFeralT2,"Người Chơi Bowling Hoang Dã T2"
zombieBowlerRadiatedT2,"Người Chơi Bowling Phóng Xạ T2"
zombieFatCopT2,"Cảnh Sát T2"
zombieFatCopFeralT2,"Cảnh Sát Hoang Dã T2"
zombieFatCopRadiatedT2,"Cảnh Sát Phóng Xạ T2"
zombieSkateboarderT2,"Côn Đồ T2"
zombieSkateboarderFeralT2,"Côn Đồ Hoang Dã T2"
zombieSkateboarderRadiatedT2,"Côn Đồ Phóng Xạ T2"
zombieSoldierT2,"Lính T2"
zombieSoldierFeralT2,"Lính Hoang Dã T2"
zombieSoldierRadiatedT2,"Lính Phóng Xạ T2"
zombieWightFeralT2,"Wight Hoang Dã T2"
zombieWightRadiatedT2,"Wight Phóng Xạ T2"
zombieScreamerT2,"Karen T2"
zombieScreamerFeralT2,"Karen Hoang Dã T2"
zombieScreamerRadiatedT2,"Karen Phóng Xạ T2"
zombieMutatedT2,"Kẻ Đột Biến T2"
zombieMutatedFeralT2,"Kẻ Đột Biến Hoang Dã T2"
zombieMutatedRadiatedT2,"Kẻ Đột Biến Phóng Xạ T2"
zombieDemolitionT2,"Kẻ Gây Nổ T2"
zombieSteveCrawlerT2,"Kẻ Bò Trườn T2"
zombieSteveCrawlerFeralT2,"Kẻ Bò Trườn Hoang Dã T2"
zombieSteveCrawlerRadiatedT2,"Kẻ Bò Trườn Phóng Xạ T2"

zombieArleneT3,"Arlene T3"
zombieArleneFeralT3,"Arlene Hoang Dã T3"
zombieArleneRadiatedT3,"Arlene Phóng Xạ T3"
zombieMarleneT3,"Marlene T3"
zombieMarleneFeralT3,"Marlene Hoang Dã T3"
zombieMarleneRadiatedT3,"Marlene Phóng Xạ T3"
zombiePartyGirlT3,"Gái Tiệc Tùng T3"
zombiePartyGirlFeralT3,"Gái Tiệc Tùng Hoang Dã T3"
zombiePartyGirlRadiatedT3,"Gái Tiệc Tùng Phóng Xạ T3"
zombieNurseT3,"Y Tá T3"
zombieNurseFeralT3,"Y Tá Hoang Dã T3"
zombieNurseRadiatedT3,"Y Tá Phóng Xạ T3"
zombieJoeT3,"Joe T3"
zombieJoeFeralT3,"Joe Hoang Dã T3"
zombieJoeRadiatedT3,"Joe Phóng Xạ T3"
zombieSteveT3,"Steve T3"
zombieSteveFeralT3,"Steve Hoang Dã T3"
zombieSteveRadiatedT3,"Steve Phóng Xạ T3"
zombieTomClarkT3,"Tom Clark T3"
zombieTomClarkFeralT3,"Tom Clark Hoang Dã T3"
zombieTomClarkRadiatedT3,"Tom Clark Phóng Xạ T3"
zombieBusinessManT3,"Doanh Nhân T3"
zombieBusinessManFeralT3,"Doanh Nhân Hoang Dã T3"
zombieBusinessManRadiatedT3,"Doanh Nhân Phóng Xạ T3"
zombieBurntT3,"Xác Cháy T3"
zombieBurntFeralT3,"Xác Cháy Hoang Dã T3"
zombieBurntRadiatedT3,"Xác Cháy Phóng Xạ T3"
zombieSpiderT3,"Zombie Nhện T3"
zombieSpiderFeralT3,"Zombie Nhện Hoang Dã T3"
zombieSpiderRadiatedT3,"Zombie Nhện Phóng Xạ T3"
zombieBoeT3,"Boe T3"
zombieBoeFeralT3,"Boe Hoang Dã T3"
zombieBoeRadiatedT3,"Boe Phóng Xạ T3"
zombieMaleHazmatT3,"Hazmat T3"
zombieMaleHazmatFeralT3,"Hazmat Hoang Dã T3"
zombieMaleHazmatRadiatedT3,"Hazmat Phóng Xạ T3"
zombieJanitorT3,"Lao Công T3"
zombieJanitorFeralT3,"Lao Công Hoang Dã T3"
zombieJanitorRadiatedT3,"Lao Công Phóng Xạ T3"
zombieInmateT3,"Tù Nhân T3"
zombieInmateFeralT3,"Tù Nhân Hoang Dã T3"
zombieInmateRadiatedT3,"Tù Nhân Phóng Xạ T3"
zombieMoeT3,"Moe T3"
zombieMoeFeralT3,"Moe Hoang Dã T3"
zombieMoeRadiatedT3,"Moe Phóng Xạ T3"
zombieLabT3,"Nhân Viên Thí Nghiệm T3"
zombieLabFeralT3,"Nhân Viên Thí Nghiệm Hoang Dã T3"
zombieLabRadiatedT3,"Nhân Viên Thí Nghiệm Phóng Xạ T3"
zombieDarleneT3,"Darlene T3"
zombieDarleneFeralT3,"Darlene Hoang Dã T3"
zombieDarleneRadiatedT3,"Darlene Phóng Xạ T3"
zombieYoT3,"Yo T3"
zombieYoFeralT3,"Yo Hoang Dã T3"
zombieYoRadiatedT3,"Yo Phóng Xạ T3"
zombieUtilityWorkerT3,"Thợ Bảo Trì T3"
zombieUtilityWorkerFeralT3,"Thợ Bảo Trì Hoang Dã T3"
zombieUtilityWorkerRadiatedT3,"Thợ Bảo Trì Phóng Xạ T3"
zombieBikerT3,"Biker T3"
zombieBikerFeralT3,"Biker Hoang Dã T3"
zombieBikerRadiatedT3,"Biker Phóng Xạ T3"
zombieLumberjackT3,"Tiều Phu T3"
zombieLumberjackFeralT3,"Tiều Phu Hoang Dã T3"
zombieLumberjackRadiatedT3,"Tiều Phu Phóng Xạ T3"
zombieFemaleFatT3,"Big Mama T3"
zombieFemaleFatFeralT3,"Big Mama Hoang Dã T3"
zombieFemaleFatRadiatedT3,"Big Mama Phóng Xạ T3"
zombieFatHawaiianT3,"Du Khách T3"
zombieFatHawaiianFeralT3,"Du Khách Hoang Dã T3"
zombieFatHawaiianRadiatedT3,"Du Khách Phóng Xạ T3"
zombieBowlerT3,"Người Chơi Bowling T3"
zombieBowlerFeralT3,"Người Chơi Bowling Hoang Dã T3"
zombieBowlerRadiatedT3,"Người Chơi Bowling Phóng Xạ T3"
zombieFatCopT3,"Cảnh Sát T3"
zombieFatCopFeralT3,"Cảnh Sát Hoang Dã T3"
zombieFatCopRadiatedT3,"Cảnh Sát Phóng Xạ T3"
zombieSkateboarderT3,"Côn Đồ T3"
zombieSkateboarderFeralT3,"Côn Đồ Hoang Dã T3"
zombieSkateboarderRadiatedT3,"Côn Đồ Phóng Xạ T3"
zombieSoldierT3,"Lính T3"
zombieSoldierFeralT3,"Lính Hoang Dã T3"
zombieSoldierRadiatedT3,"Lính Phóng Xạ T3"
zombieWightFeralT3,"Wight Hoang Dã T3"
zombieWightRadiatedT3,"Wight Phóng Xạ T3"
zombieScreamerT3,"Karen T3"
zombieScreamerFeralT3,"Karen Hoang Dã T3"
zombieScreamerRadiatedT3,"Karen Phóng Xạ T3"
zombieMutatedT3,"Kẻ Đột Biến T3"
zombieMutatedFeralT3,"Kẻ Đột Biến Hoang Dã T3"
zombieMutatedRadiatedT3,"Kẻ Đột Biến Phóng Xạ T3"
zombieDemolitionT3,"Kẻ Gây Nổ T3"
zombieSteveCrawlerT3,"Kẻ Bò Trườn T3"
zombieSteveCrawlerFeralT3,"Kẻ Bò Trườn Hoang Dã T3"
zombieSteveCrawlerRadiatedT3,"Kẻ Bò Trườn Phóng Xạ T3"

zombieArleneT4,"Arlene T4"
zombieArleneFeralT4,"Arlene Hoang Dã T4"
zombieArleneRadiatedT4,"Arlene Phóng Xạ T4"
zombieMarleneT4,"Marlene T4"
zombieMarleneFeralT4,"Marlene Hoang Dã T4"
zombieMarleneRadiatedT4,"Marlene Phóng Xạ T4"
zombiePartyGirlT4,"Gái Tiệc Tùng T4"
zombiePartyGirlFeralT4,"Gái Tiệc Tùng Hoang Dã T4"
zombiePartyGirlRadiatedT4,"Gái Tiệc Tùng Phóng Xạ T4"
zombieNurseT4,"Y Tá T4"
zombieNurseFeralT4,"Y Tá Hoang Dã T4"
zombieNurseRadiatedT4,"Y Tá Phóng Xạ T4"
zombieJoeT4,"Joe T4"
zombieJoeFeralT4,"Joe Hoang Dã T4"
zombieJoeRadiatedT4,"Joe Phóng Xạ T4"
zombieSteveT4,"Steve T4"
zombieSteveFeralT4,"Steve Hoang Dã T4"
zombieSteveRadiatedT4,"Steve Phóng Xạ T4"
zombieTomClarkT4,"Tom Clark T4"
zombieTomClarkFeralT4,"Tom Clark Hoang Dã T4"
zombieTomClarkRadiatedT4,"Tom Clark Phóng Xạ T4"
zombieBusinessManT4,"Doanh Nhân T4"
zombieBusinessManFeralT4,"Doanh Nhân Hoang Dã T4"
zombieBusinessManRadiatedT4,"Doanh Nhân Phóng Xạ T4"
zombieBurntT4,"Xác Cháy T4"
zombieBurntFeralT4,"Xác Cháy Hoang Dã T4"
zombieBurntRadiatedT4,"Xác Cháy Phóng Xạ T4"
zombieSpiderT4,"Zombie Nhện T4"
zombieSpiderFeralT4,"Zombie Nhện Hoang Dã T4"
zombieSpiderRadiatedT4,"Zombie Nhện Phóng Xạ T4"
zombieBoeT4,"Boe T4"
zombieBoeFeralT4,"Boe Hoang Dã T4"
zombieBoeRadiatedT4,"Boe Phóng Xạ T4"
zombieMaleHazmatT4,"Hazmat T4"
zombieMaleHazmatFeralT4,"Hazmat Hoang Dã T4"
zombieMaleHazmatRadiatedT4,"Hazmat Phóng Xạ T4"
zombieJanitorT4,"Lao Công T4"
zombieJanitorFeralT4,"Lao Công Hoang Dã T4"
zombieJanitorRadiatedT4,"Lao Công Phóng Xạ T4"
zombieInmateT4,"Tù Nhân T4"
zombieInmateFeralT4,"Tù Nhân Hoang Dã T4"
zombieInmateRadiatedT4,"Tù Nhân Phóng Xạ T4"
zombieMoeT4,"Moe T4"
zombieMoeFeralT4,"Moe Hoang Dã T4"
zombieMoeRadiatedT4,"Moe Phóng Xạ T4"
zombieLabT4,"Nhân Viên Thí Nghiệm T4"
zombieLabFeralT4,"Nhân Viên Thí Nghiệm Hoang Dã T4"
zombieLabRadiatedT4,"Nhân Viên Thí Nghiệm Phóng Xạ T4"
zombieDarleneT4,"Darlene T4"
zombieDarleneFeralT4,"Darlene Hoang Dã T4"
zombieDarleneRadiatedT4,"Darlene Phóng Xạ T4"
zombieYoT4,"Yo T4"
zombieYoFeralT4,"Yo Hoang Dã T4"
zombieYoRadiatedT4,"Yo Phóng Xạ T4"
zombieUtilityWorkerT4,"Thợ Bảo Trì T4"
zombieUtilityWorkerFeralT4,"Thợ Bảo Trì Hoang Dã T4"
zombieUtilityWorkerRadiatedT4,"Thợ Bảo Trì Phóng Xạ T4"
zombieBikerT4,"Biker T4"
zombieBikerFeralT4,"Biker Hoang Dã T4"
zombieBikerRadiatedT4,"Biker Phóng Xạ T4"
zombieLumberjackT4,"Tiều Phu T4"
zombieLumberjackFeralT4,"Tiều Phu Hoang Dã T4"
zombieLumberjackRadiatedT4,"Tiều Phu Phóng Xạ T4"
zombieFemaleFatT4,"Big Mama T4"
zombieFemaleFatFeralT4,"Big Mama Hoang Dã T4"
zombieFemaleFatRadiatedT4,"Big Mama Phóng Xạ T4"
zombieFatHawaiianT4,"Du Khách T4"
zombieFatHawaiianFeralT4,"Du Khách Hoang Dã T4"
zombieFatHawaiianRadiatedT4,"Du Khách Phóng Xạ T4"
zombieBowlerT4,"Người Chơi Bowling T4"
zombieBowlerFeralT4,"Người Chơi Bowling Hoang Dã T4"
zombieBowlerRadiatedT4,"Người Chơi Bowling Phóng Xạ T4"
zombieFatCopT4,"Cảnh Sát T4"
zombieFatCopFeralT4,"Cảnh Sát Hoang Dã T4"
zombieFatCopRadiatedT4,"Cảnh Sát Phóng Xạ T4"
zombieSkateboarderT4,"Côn Đồ T4"
zombieSkateboarderFeralT4,"Côn Đồ Hoang Dã T4"
zombieSkateboarderRadiatedT4,"Côn Đồ Phóng Xạ T4"
zombieSoldierT4,"Lính T4"
zombieSoldierFeralT4,"Lính Hoang Dã T4"
zombieSoldierRadiatedT4,"Lính Phóng Xạ T4"
zombieWightFeralT4,"Wight Hoang Dã T4"
zombieWightRadiatedT4,"Wight Phóng Xạ T4"
zombieScreamerT4,"Karen T4"
zombieScreamerFeralT4,"Karen Hoang Dã T4"
zombieScreamerRadiatedT4,"Karen Phóng Xạ T4"
zombieMutatedT4,"Kẻ Đột Biến T4"
zombieMutatedFeralT4,"Kẻ Đột Biến Hoang Dã T4"
zombieMutatedRadiatedT4,"Kẻ Đột Biến Phóng Xạ T4"
zombieDemolitionT4,"Kẻ Gây Nổ T4"
zombieSteveCrawlerT4,"Kẻ Bò Trườn T4"
zombieSteveCrawlerFeralT4,"Kẻ Bò Trườn Hoang Dã T4"
zombieSteveCrawlerRadiatedT4,"Kẻ Bò Trườn Phóng Xạ T4"

zombieArleneT5,"Arlene T5"
zombieArleneFeralT5,"Arlene Hoang Dã T5"
zombieArleneRadiatedT5,"Arlene Phóng Xạ T5"
zombieMarleneT5,"Marlene T5"
zombieMarleneFeralT5,"Marlene Hoang Dã T5"
zombieMarleneRadiatedT5,"Marlene Phóng Xạ T5"
zombiePartyGirlT5,"Gái Tiệc Tùng T5"
zombiePartyGirlFeralT5,"Gái Tiệc Tùng Hoang Dã T5"
zombiePartyGirlRadiatedT5,"Gái Tiệc Tùng Phóng Xạ T5"
zombieNurseT5,"Y Tá T5"
zombieNurseFeralT5,"Y Tá Hoang Dã T5"
zombieNurseRadiatedT5,"Y Tá Phóng Xạ T5"
zombieJoeT5,"Joe T5"
zombieJoeFeralT5,"Joe Hoang Dã T5"
zombieJoeRadiatedT5,"Joe Phóng Xạ T5"
zombieSteveT5,"Steve T5"
zombieSteveFeralT5,"Steve Hoang Dã T5"
zombieSteveRadiatedT5,"Steve Phóng Xạ T5"
zombieTomClarkT5,"Tom Clark T5"
zombieTomClarkFeralT5,"Tom Clark Hoang Dã T5"
zombieTomClarkRadiatedT5,"Tom Clark Phóng Xạ T5"
zombieBusinessManT5,"Doanh Nhân T5"
zombieBusinessManFeralT5,"Doanh Nhân Hoang Dã T5"
zombieBusinessManRadiatedT5,"Doanh Nhân Phóng Xạ T5"
zombieBurntT5,"Xác Cháy T5"
zombieBurntFeralT5,"Xác Cháy Hoang Dã T5"
zombieBurntRadiatedT5,"Xác Cháy Phóng Xạ T5"
zombieSpiderT5,"Zombie Nhện T5"
zombieSpiderFeralT5,"Zombie Nhện Hoang Dã T5"
zombieSpiderRadiatedT5,"Zombie Nhện Phóng Xạ T5"
zombieBoeT5,"Boe T5"
zombieBoeFeralT5,"Boe Hoang Dã T5"
zombieBoeRadiatedT5,"Boe Phóng Xạ T5"
zombieMaleHazmatT5,"Hazmat T5"
zombieMaleHazmatFeralT5,"Hazmat Hoang Dã T5"
zombieMaleHazmatRadiatedT5,"Hazmat Phóng Xạ T5"
zombieJanitorT5,"Lao Công T5"
zombieJanitorFeralT5,"Lao Công Hoang Dã T5"
zombieJanitorRadiatedT5,"Lao Công Phóng Xạ T5"
zombieInmateT5,"Tù Nhân T5"
zombieInmateFeralT5,"Tù Nhân Hoang Dã T5"
zombieInmateRadiatedT5,"Tù Nhân Phóng Xạ T5"
zombieMoeT5,"Moe T5"
zombieMoeFeralT5,"Moe Hoang Dã T5"
zombieMoeRadiatedT5,"Moe Phóng Xạ T5"
zombieLabT5,"Nhân Viên Thí Nghiệm T5"
zombieLabFeralT5,"Nhân Viên Thí Nghiệm Hoang Dã T5"
zombieLabRadiatedT5,"Nhân Viên Thí Nghiệm Phóng Xạ T5"
zombieDarleneT5,"Darlene T5"
zombieDarleneFeralT5,"Darlene Hoang Dã T5"
zombieDarleneRadiatedT5,"Darlene Phóng Xạ T5"
zombieYoT5,"Yo T5"
zombieYoFeralT5,"Yo Hoang Dã T5"
zombieYoRadiatedT5,"Yo Phóng Xạ T5"
zombieUtilityWorkerT5,"Thợ Bảo Trì T5"
zombieUtilityWorkerFeralT5,"Thợ Bảo Trì Hoang Dã T5"
zombieUtilityWorkerRadiatedT5,"Thợ Bảo Trì Phóng Xạ T5"
zombieBikerT5,"Biker T5"
zombieBikerFeralT5,"Biker Hoang Dã T5"
zombieBikerRadiatedT5,"Biker Phóng Xạ T5"
zombieLumberjackT5,"Tiều Phu T5"
zombieLumberjackFeralT5,"Tiều Phu Hoang Dã T5"
zombieLumberjackRadiatedT5,"Tiều Phu Phóng Xạ T5"
zombieFemaleFatT5,"Big Mama T5"
zombieFemaleFatFeralT5,"Big Mama Hoang Dã T5"
zombieFemaleFatRadiatedT5,"Big Mama Phóng Xạ T5"
zombieFatHawaiianT5,"Du Khách T5"
zombieFatHawaiianFeralT5,"Du Khách Hoang Dã T5"
zombieFatHawaiianRadiatedT5,"Du Khách Phóng Xạ T5"
zombieBowlerT5,"Người Chơi Bowling T5"
zombieBowlerFeralT5,"Người Chơi Bowling Hoang Dã T5"
zombieBowlerRadiatedT5,"Người Chơi Bowling Phóng Xạ T5"
zombieFatCopT5,"Cảnh Sát T5"
zombieFatCopFeralT5,"Cảnh Sát Hoang Dã T5"
zombieFatCopRadiatedT5,"Cảnh Sát Phóng Xạ T5"
zombieSkateboarderT5,"Côn Đồ T5"
zombieSkateboarderFeralT5,"Côn Đồ Hoang Dã T5"
zombieSkateboarderRadiatedT5,"Côn Đồ Phóng Xạ T5"
zombieSoldierT5,"Lính T5"
zombieSoldierFeralT5,"Lính Hoang Dã T5"
zombieSoldierRadiatedT5,"Lính Phóng Xạ T5"
zombieWightFeralT5,"Wight Hoang Dã T5"
zombieWightRadiatedT5,"Wight Phóng Xạ T5"
zombieScreamerT5,"Karen T5"
zombieScreamerFeralT5,"Karen Hoang Dã T5"
zombieScreamerRadiatedT5,"Karen Phóng Xạ T5"
zombieMutatedT5,"Kẻ Đột Biến T5"
zombieMutatedFeralT5,"Kẻ Đột Biến Hoang Dã T5"
zombieMutatedRadiatedT5,"Kẻ Đột Biến Phóng Xạ T5"
zombieDemolitionT5,"Kẻ Gây Nổ T5"
zombieSteveCrawlerT5,"Kẻ Bò Trườn T5"
zombieSteveCrawlerFeralT5,"Kẻ Bò Trườn Hoang Dã T5"
zombieSteveCrawlerRadiatedT5,"Kẻ Bò Trườn Phóng Xạ T5"

zombieRancherT2,"Chủ Trại T2"
zombieRancherFeralT2,"Chủ Trại Hoang Dã T2"
zombieRancherRadiatedT2,"Chủ Trại Phóng Xạ T2"
zombieRancherT3,"Chủ Trại T3"
zombieRancherFeralT3,"Chủ Trại Hoang Dã T3"
zombieRancherRadiatedT3,"Chủ Trại Phóng Xạ T3"
zombieRancherT4,"Chủ Trại T4"
zombieRancherFeralT4,"Chủ Trại Hoang Dã T4"
zombieRancherRadiatedT4,"Chủ Trại Phóng Xạ T4"
zombieRancherT5,"Chủ Trại T5"
zombieRancherFeralT5,"Chủ Trại Hoang Dã T5"
zombieRancherRadiatedT5,"Chủ Trại Phóng Xạ T5"
zombieChuckT2,"Chuck T2"
zombieChuckFeralT2,"Chuck Hoang Dã T2"
zombieChuckRadiatedT2,"Chuck Phóng Xạ T2"
zombieChuckT3,"Chuck T3"
zombieChuckFeralT3,"Chuck Hoang Dã T3"
zombieChuckRadiatedT3,"Chuck Phóng Xạ T3"
zombieChuckT4,"Chuck T4"
zombieChuckFeralT4,"Chuck Hoang Dã T4"
zombieChuckRadiatedT4,"Chuck Phóng Xạ T4"
zombieChuckT5,"Chuck T5"
zombieChuckFeralT5,"Chuck Hoang Dã T5"
zombieChuckRadiatedT5,"Chuck Phóng Xạ T5"
