Key,File,Type,UsedInMainMenu,NoTranslate,english
armorUnisexBOSFOHelmet,items,Clothes,,,"Brotherhood of Steel CCA [e38d23](MS)"
armorUnisexBOSFOOutfit,items,Clothes,,,"Brotherhood of Steel Outfit [e38d23](MS)"
armorUnisexBOSFOGloves,items,Clothes,,,Brotherhood of Steel Gloves [e38d23](MS)"
armorUnisexBOSFOBoots,items,Clothes,,,"Brotherhood of Steel Boots [e38d23](MS)"


armorUnisexNukaGirlFOHelmet,items,Clothes,,,"Nuka Girl Helmet [e38d23](MS)"
armorUnisexNukaGirlFOOutfit,items,Clothes,,,"Nuka Girl Outfit [e38d23](MS)"
armorUnisexNukaGirlFOGloves,items,Clothes,,,"Nuka Girl Gloves [e38d23](MS)"
armorUnisexNukaGirlFOBoots,items,Clothes,,,"Nuka Girl Boots [e38d23](MS)"

armorUnisexNukaGirlFOOutfit_Cherry,items,Clothes,,,"Nuka Girl Cherry Outfit [e38d23](MS)"
armorUnisexNukaGirlFOOutfit_Quantum,items,Clothes,,,"Nuka Girl Quantum Outfit [e38d23](MS)"

armorUnisexNukaGirlFOHelmetDesc,items,Clothes,,,"[e38d23]Medium Armor[-]\n\nKeps your brain at the perfect temperature for maximum XP gain.\n(Disclaimer: Nuka-Cola Corp is not responsible for frostbite below the neck.)\n\n[e38d23]Helmet Bonus:[-] XP Gain Bonus & Thermal Protection.\n\n[e38d23]Full Set Bonus:[-] Improved Jump strength & Safe Fall Distance."
armorUnisexNukaGirlFOOutfitDesc,items,Clothes,,,"[e38d23]Medium Armor[-]\n\nWoven from patented Nuka-Cola Spandex, this stylish suit will confuse the enemy and prevent zombie bites.\n(Disclaimer: Do not test with actual zombies.)\n\n[e38d23]Outfit Bonus:[-] Armor Bonus.\n\n[e38d23]Full Set Bonus:[-] Improved Jump strength & Safe Fall Distance."
armorUnisexNukaGirlFOGlovesDesc,items,Clothes,,,"[e38d23]Medium Armor[-]\n\nSmash the competition with Nuka-Power and ZAP! them into orbit!.\n(Disclaimer: Impacts on radiated subjects disrupts the retro-coils and voids the warranty.)\n\n[e38d23]Gloves Bonus:[-] Big DMG Bonus against any creature except Radiated.\n\n[e38d23]Full Set Bonus:[-] Improved Jump strength & Safe Fall Distance."
armorUnisexNukaGirlFOBootsDesc,items,Clothes,,,"[e38d23]Medium Armor[-]\n\nNuka-Cola Quantum infusers provide boundless energy for those grueling 24-h promotional events!\n(Disclaimer: May cause uncontrollable urges to stop and pose for cameras.)\n\n[e38d23]Boots Bonus:[-] Big Max Stamina Bonus.\n\n[e38d23]Full Set Bonus:[-] Improved Jump strength & Safe Fall Distance."


armorUnisexPrestonFOHelmet,items,Clothes,,,"Preston Hat [e38d23](MS)"
armorUnisexPrestonFOOutfit,items,Clothes,,,"Preston Outfit [e38d23](MS)"
armorUnisexPrestonFOGloves,items,Clothes,,,"Preston Gloves [e38d23](MS)"
armorUnisexPrestonFOBoots,items,Clothes,,,"Preston Boots [e38d23](MS)"

armorUnisexPrestonFOOutfit_Navy,items,Clothes,,,"Preston Navy Outfit [e38d23](MS)"
armorUnisexPrestonFOOutfit_Green,items,Clothes,,,"Preston Green Outfit [e38d23](MS)"

armorUnisexPrestonFOHelmetDesc,items,Clothes,,,"[e38d23]Medium Armor[-]\n\nThis hat commands just enough respect for traders to give better prices.\nThe poor guys think you are here to actually help, and not just rob them\n\n[e38d23]Hat Bonus:[-] Much Better Buy & Sell Prices.\n\n[e38d23]Full Set Bonus:[-] Improved Loot Stage & More Ammo in Loot."
armorUnisexPrestonFOOutfitDesc,items,Clothes,,,"[e38d23]Medium Armor[-]\n\nStitched together with patriotic duty and kevlar weave.\nBecause you can't help another settlement if you are zombie chow.\n\n[e38d23]Outfit Bonus:[-] Damage Reduction Bonus.\n\n[e38d23]Full Set Bonus:[-] Improved Loot Stage & More Ammo in Loot."
armorUnisexPrestonFOGlovesDesc,items,Clothes,,,"[e38d23]Medium Armor[-]\n\nDexterous leather ensures you reload faster and ain better, keeping your rifle ready at a minute's notice\n\n[e38d23]Gloves Bonus:[-] DMG & Reload Speed Bonus with Rifles.\n\n[e38d23]Full Set Bonus:[-] Improved Loot Stage & More Ammo in Loot."
armorUnisexPrestonFOBootsDesc,items,Clothes,,,"[e38d23]Medium Armor[-]\n\nAnother settlement needs your help and it is on the other side of the map.\nRun Faster, General!\n\n[e38d23]Boots Bonus:[-] Faster Run Speed.\n\n[e38d23]Full Set Bonus:[-] Improved Loot Stage & More Ammo in Loot."


armorUnisexNCRRangerFOHelmet,items,Clothes,,,"NCR Ranger Helmet [e38d23](MS)"
armorUnisexNCRRangerFOOutfit,items,Clothes,,,"NCR Ranger Outfit [e38d23](MS)"
armorUnisexNCRRangerFOGloves,items,Clothes,,,"NCR Ranger Gloves [e38d23](MS)"
armorUnisexNCRRangerFOBoots,items,Clothes,,,"NCR Ranger Boots [e38d23](MS)"

armorUnisexNCRRangerFOHelmetDesc,items,Clothes,,,"[e38d23]Heavy Armor[-]\n\nWorn by legends who survived two decades of hell.\nYou don't just kill zombies; you study them, analyze them, and level up like a true Veteran\n\n[e38d23]Helmet Bonus:[-] Increase XP Gain.\n\n[e38d23]Full Set Bonus:[-] Less Water/Food use."
armorUnisexNCRRangerFOOutfitDesc,items,Clothes,,,"[e38d23]Heavy Armor[-]\n\nIf this Duster is tough enough to survive the Mojave, it is tough enough for Navezgane.\nWorn by those too stubborn to die.\n\n[e38d23]Outfit Bonus:[-] Max Health Bonus.\n\n[e38d23]Full Set Bonus:[-] Less Water/Food use."
armorUnisexNCRRangerFOGlovesDesc,items,Clothes,,,"[e38d23]Heavy Armor[-]\n\nExtract maximum lethality from anything that goes 'BANG'.\nThese gloves turns even a humble pipe pistol into an instrument of swift justice.\n\n[e38d23]Gloves Bonus:[-] DMG Bonus with any gun.\n\n[e38d23]Full Set Bonus:[-] Less Water/Food use."
armorUnisexNCRRangerFOBootsDesc,items,Clothes,,,"[e38d23]Heavy Armor[-]\n\nPatrolling the Mojave creates efficient habits.\nYou sprint faster and feather the throttle, saving precious gas for the Republic.\n\n[e38d23]Boots Bonus:[-] Faster Run Speed & Less Fuel Use.\n\n[e38d23]Full Set Bonus:[-] Less Water/Food use."


statVaultDamageResist,ui_display,Item stat,,,"Elite DMG Resist"
statVaultArmor,ui_display,Item stat,,,"Armor Bonus"
statVaultCritPerc,ui_display,Item stat,,,"Critical %"
statVaultCritDMG,ui_display,Item stat,,,"Critical DMG"
statNukaThermal,ui_display,Item stat,,,"Thermal Resist"
statNukaArmor,ui_display,Item stat,,,"Armor Bonus"
statNukaNoRadDMG,ui_display,Item stat,,,"No Rads DMG"
statNukaRadDMG,ui_display,Item stat,,,"Rads DMG"
statPrestonDMGResist,ui_display,Item stat,,,"DMG Resist"
statPrestonDMG,ui_display,Item stat,,,"Rifle DMG"
statPrestonReload,ui_display,Item stat,,,"Rifle Reload Speed"
statNCRRangerDMG,ui_display,Item stat,,,"Ranged DMG"


buffUnisexVaultFOSetBonusName,buffs,Buff,,,"Vault Suit Full Set Bonus"
buffUnisexVaultFOSetBonusDesc,buffs,Buff,,,"This pristine blue fabric screams 'Old World Money'.\nTraders are so confused by your delightfully scrubbed look that they offer the best prices.\n\n[e38d23]{cvar(.armorUnisexVaultFOFSBDisplay01:0)}%[-] Better Prices."
buffUnisexVaultFOSetBonusTooltip,buffs,Buff,,,"Vault Suit Full Set Bonus"

buffUnisexNukaGirlFOSetBonusName,buffs,Buff,,,"Nuka Girl Full Set Bonus"
buffUnisexNukaGirlFOSetBonusDesc,buffs,Buff,,,"Nuka-Gravity dampers provide a 'true' Zero-G experience!\n(Disclaimer: Does not grant actual flight. Jumping off skyscrappers voids the warranty.)\n\nImproves Jump strength by [e38d23]{cvar(.armorUnisexNukaGirlFOFSBDisplay01:0)}meter[-] and increases safe fall distance by [e38d23]{cvar(.armorUnisexNukaGirlFOFSBDisplay02:0)}meter[-]."
buffUnisexNukaGirlFOSetBonusTooltip,buffs,Buff,,,"Nuka Girl Full Set Bonus"

buffUnisexPrestonFOSetBonusName,buffs,Buff,,,"Preston Full Set Bonus"
buffUnisexPrestonFOSetBonusDesc,buffs,Buff,,,"Secure those supply lines!\nIncreases loot quality and ammo counts, because you can't defend the Castle with empty pockets\n\nLoot Stage increased by [e38d23]{cvar(.armorUnisexPrestonFOFSBDisplay01:0)}%[-] and find [e38d23]{cvar(.armorUnisexPrestonFOFSBDisplay02:0)}%[-] more Ammo in Loot."
buffUnisexPrestonFOSetBonusTooltip,buffs,Buff,,,"Preston Full Set Bonus"

buffUnisexNCRRangerFOSetBonusName,buffs,Buff,,,"NCR Ranger Full Set Bonus"
buffUnisexNCRRangerFOSetBonusDesc,buffs,Buff,,,"Years of desert warfare taught you to conserve every drop of sweat\nYou can subsist on pure willpower and grit.\n\nReduces food and water use by [e38d23]{cvar(.armorUnisexNCRRangerFOFSBDisplay01:0)}%[-]."
buffUnisexNCRRangerFOSetBonusTooltip,buffs,Buff,,,"NCR Ranger Full Set Bonus"

