perkFortitudeMasteryDesc,progression,perk For,,,Master Fortitude Skills,,Meisterhafte Fertigkeiten der Standhaftigkeit,Domina las habilidades de fortaleza.,Maîtrisez les compétences de courage.,Padroneggia le abilità di resilienza,忍耐スキルをマスターします,불굴의 정신 스킬 마스터,Umiejętności mistrzostwa hartu,Domine as habilidades de Robustez.,Освойте навыки стойкости,Uzman Dayanma Becerileri,强健技能大师,精通所有堅韌技能
perkFortitudeMasteryRank5LongDesc,progression,perk For,,,Your fortitude makes you harder to break.\nPermanently adds an additional 50 max health.,,Deine Standhaftigkeit macht dich noch unbeugsamer.\nErhöht max. Gesundheit permanent um weitere 50.,Tu fortaleza te hace más difícil de quebrar.\nAgrega de forma permanente 50 puntos de salud máx. adicionales.,Votre courage vous rend plus difficile à vaincre.\nAugmente définitivement votre santé max. de 50 points supplémentaires.,Grazie alla tua resilienza è ancora più difficile distruggerti.\nAggiunge in modo permanente altri 50 di salute massima.,不屈の精神が、あなたを壊れにくくします。\n最大体力がさらに50増加。,불굴의 정신으로 부서지지 않습니다.\n최대 스태미너가 영구적으로 50 올라갑니다.,"Twój hart ducha sprawia, że trudniej cię złamać.\nNa stałe dodaje dodatkowe 50 pkt do maksymalnego zdrowia.",Sua robustez te torna mais difícil de quebrar.\nAdiciona mais 50 ao máximo de vida.,"Ваша стойкость такова, что вас куда сложнее сломить.\nНавсегда добавляет еще 50 к макс. здоровью.","Dayanıklılığın, seni yıkması zor biri yapıyor.\nMaksimum sağlığa kalıcı olarak 50 puan daha ekler.",你的坚韧让你更难被击败。\n永久额外增加 50 点最大生命值。,你的堅韌讓你更難被擊垮。\n最大生命值永久額外增加 50 點。
perkHealingFactorDesc,progression,perk For,,,Specialize in boosting your natural healing rates as long as you're not starving.\n\nSelf-healing will not work when you are out of food or water.,,"Spezialisiere dich darauf, deine natürlichen Heilkräfte zu verbessern, solange du nicht gerade verhungerst.\n\nDie Selbstheilung funktioniert nicht, wenn du keine Nahrung oder kein Wasser mehr hast.",Especialízate en aumentar las tasas naturales de curación siempre y cuando no te estés muriendo de hambre.\n\nla autocuración no funcionará cuando se te acabe la comida o el agua.,Apprenez à améliorer votre guérison naturelle lorsque vous ne mourez pas de faim.\n\nVous ne pouvez pas profiter de cette régénération lorsque vous avez soif ou faim.,"Specializzati nel migliorare il tuo tasso di guarigione naturale, a meno che tu non stia morendo di fame.\n\nLa guarigione automatica non funzionerà se avrai finito il cibo o l'acqua.",空腹状態でない限り、体力の自然回復力を上げる事に特化します。\n\n空腹中、脱水中は反映されません。,굶주리지 않는 상태에서의 자연 회복을 증진시키는 데에 특화되었습니다.\n\n자체 회복은 음식 또는 물이 없으면 작동하지 않습니다.,"Wyspecjalizuj się w stymulowaniu naturalnego zdrowienia, gdy nie głodujesz.\n\nZdrowienie nie działa, gdy brakuje ci żywności lub wody.","Especialize-se em reforçar sua taxa de cura natural, desde que não esteja morrendo de fome.\n\nA autocura não funciona se você estiver sem comida ou água.","Увеличивайте скорость естественного исцеления, пока не голодаете.\n\nСамостоятельное восстановление организма невозможно, когда вы страдаете от голода или жажды.",Açlıktan ölmediğin sürece doğal iyileşme hızını artırma konusunda uzmanlaş.\n\nYiyeceğin veya suyun kalmadığında kendini iyileştirme çalışmaz.,擅长在不挨饿的情况下提升你的自然愈合率。\n\n当你没有食物或水时将无法自愈。,擅長在你不飢餓時提高你的自然癒合率。\n\n沒有食物和水時自癒能力無效。
perkHealingFactorName,progression,perk For,,,Healing Factor,,Heilfaktor,Factor de curación,Capacité régénératrice,Fattore di guarigione,治癒因子,힐링 팩터,Czynnik leczniczy,Fator de Cura,Фактор исцеления,İyileşme Faktörü,治疗因子,癒合因素
perkHealingFactorRank1Desc,progression,perk For,,,Fast Metabolism,,Schneller Stoffwechsel,Metabolismo rápido,Métabolisme rapide,Metabolismo veloce,高速代謝,빠른 신진 대사,Szybki metabolizm,Metabolismo Rápido,Быстрый метаболизм,Hızlı Metabolizma,快速代谢,快速新陳代謝
perkHealingFactorRank1LongDesc,progression,perk For,,,You must have a fast metabolism. Gain 1 health every 35 seconds with natural healing. Critical injuries heal 20% faster.,,Dein Stoffwechsel muss ziemlich schnell sein. Erhalte alle 35 Sekunden 1 Gesundheit durch natürliche Heilung. Kritische Verletzungen heilen 20 % schneller.,Debes tener un metabolismo rápido. Obtienes 1 de salud cada 35 segundos con curación natural. Las heridas críticas se curan un 20 % más rápido.,Vous devez avoir un métabolisme rapide. La guérison naturelle vous rend 1 point de santé toutes les 35 secondes. Les blessures graves se soignent 20 % plus rapidement.,Hai sicuramente un metabolismo veloce. Ottieni 1 di salute ogni 35 secondi con la guarigione naturale. Le ferite critiche guariscono il 20% più rapidamente.,あなたは代謝が早いようです。35秒ごとに体力を1自然回復します。重傷回復速度20%上昇。,신진 대사가 빠른 게 틀림없습니다. 자연 회복으로 35초마다 체력을 1 얻습니다. 치명타 부상이 20% 빨리 회복됩니다.,Masz chyba szybki metabolizm. Naturalne zdrowienie przywraca ci 1 PZ co 35 sek. Urazy krytyczne leczą się o 20% szybciej.,Você deve ter um metabolismo rápido. Ganhe 1 de vida a cada 35 segundos com a cura natural. Ferimentos críticos curam 20% mais rápido.,"У вас, наверное, быстрый метаболизм. Каждые 35 секунд вы получаете по 1 очку здоровья за счет естественного восстановления. Критические повреждения исцеляются на 20% быстрее.",Metabolizman hızlı olmalı. Doğal iyileşmeyle her 35 saniyede 1 Sağlık kazan. Kritik yaralanmalar %20 daha hızlı iyileşir.,你的代谢率肯定很高。自然愈合每35秒就会恢复1点生命值。暴击伤害造成的伤口愈合速度加快20%。,你的新陳代謝速度一定很快。透過自然治癒每 35 秒增加 1 點生命值。治療嚴重傷害的速度快 20%。
perkHealingFactorRank2Desc,progression,perk For,,,Quick Healer,,Schnelle Heilung,Sanador rápido,Guérison rapide,Guarigione veloce,クイックヒーラー,빠른 힐러,Szybka rekonwalescencja,Cura Rápida,Быстрое исцеление,Hızlı İyileşen,快速愈合,快速自癒者
perkHealingFactorRank2LongDesc,progression,perk For,,,You seem to be a quick healer. Gain 1 health every 25 seconds with natural healing. Critical injuries heal 40% faster.,,Du scheinst schnell zu heilen. Erhalte alle 25 Sekunden 1 Gesundheit durch natürliche Heilung. Kritische Verletzungen heilen 40 % schneller.,Pareces que te curas rápido. Obtienes 1 de salud cada 25 segundos con curación natural. Las heridas críticas se curan un 40 % más rápido.,Vous semblez guérir rapidement. La guérison naturelle vous rend 1 point de santé toutes les 25 secondes. Les blessures graves se soignent 40 % plus rapidement.,Sembra che tu sia in grado di guarire velocemente. Ottieni 1 di salute ogni 25 secondi con la guarigione naturale. Le ferite critiche guariscono il 40% più rapidamente.,クイックヒーラーになったみたいですね。25秒ごとに体力を1自然回復します。重傷回復速度40%上昇。,회복력이 좋은가 봅니다. 자연 회복으로 25초마다 체력을 1 얻습니다. 치명타 부상이 40% 빨리 회복됩니다.,Twoje ciało szybko się regeneruje. Naturalne zdrowienie przywraca ci 1 PZ co 25 sek. Urazy krytyczne leczą się o 40% szybciej.,Parece que você se cura rápido. Ganhe 1 de vida a cada 25 segundos com a cura natural. Ferimentos críticos curam 40% mais rápido.,"Похоже, вы быстро восстанавливаетесь. Каждые 25 секунд вы получаете по 1 очку здоровья за счет естественного восстановления. Критические повреждения исцеляются на 40% быстрее.",Yaraların çok hızlı iyileşiyor. Doğal iyileşmeyle her 25 saniyede 1 Sağlık kazan. Kritik yaralanmalar %40 daha hızlı iyileşir.,你似乎可以快速愈合。自然愈合每25秒就会恢复1点生命值。暴击伤害造成的伤口愈合速度加快40%。,你似乎能快速自癒。透過自然治癒每 25 秒增加 1 點生命值。治療嚴重傷害的速度快 40%。
perkHealingFactorRank3Desc,progression,perk For,,,Animal,,Tier,Animal,Animal,Animale,動物,동물,Zwierzę,Animal,Животное,Hayvan,动物凶猛,動物
perkHealingFactorRank3LongDesc,progression,perk For,,,What are you part animal? Gain 1 health every 15 seconds with natural healing. Critical injuries heal 60% faster.,,Was bist du für ein Tier?! Erhalte alle 15 Sekunden 1 Gesundheit durch natürliche Heilung. Kritische Verletzungen heilen 60 % schneller.,¿Eres parte animal? Obtienes 1 de salud cada 15 segundos con curación natural. Las heridas críticas se curan un 60 % más rápido.,Êtes-vous à moitié animal ? La guérison naturelle vous rend 1 point de santé toutes les 15 secondes. Les blessures graves se soignent 60 % plus rapidement.,Non è che sei in parte animale? Ottieni 1 di salute ogni 15 secondi con la guarigione naturale. Le ferite critiche guariscono il 60% più rapidamente.,あなたの一部は動物ですか？15秒ごとに体力を1自然回復します。重傷回復速度60%上昇。,짐승인가요? 자연 회복으로 15초마다 체력을 1 얻습니다. 치명타 부상이 60% 빨리 회복됩니다.,Chyba jesteś po części zwierzęciem. Naturalne zdrowienie przywraca ci 1 PZ co 15 sek. Urazy krytyczne leczą się o 60% szybciej.,Você é metade animal? Ganhe 1 de vida a cada 15 segundos com a cura natural. Ferimentos críticos curam 60% mais rápido.,Вы наполовину животное? Каждые 15 секунд вы получаете по 1 очку здоровья за счет естественного восстановления. Критические повреждения исцеляются на 60% быстрее.,"Nesin sen, yarı insan yarı hayvan mı? Doğal iyileşmeyle her 15 saniyede 1 Sağlık kazan. Kritik yaralanmalar %60 daha hızlı iyileşir.",你内心潜藏着什么动物？自然愈合每15秒就会恢复1点生命值。暴击伤害造成的伤口愈合速度加快60%。,你是半獸人？透過自然癒合每 15 秒增加 1 點生命值。治療嚴重傷害的速度快 60%。
perkHealingFactorRank4Desc,progression,perk For,,,Regeneration,,Wiederherstellung,Regeneración,Régénération,Rigenerazione,再生,재생,Regeneracja,Regeneração,Восстановление,Yenilenme,生生不息,再生
perkHealingFactorRank4LongDesc,progression,perk For,,,You seem to just regenerate health super fast. Gain 1 health every 10 seconds with natural healing. Critical injuries heal 80% faster.,,Du scheinst deine Gesundheit extrem schnell wiederherzustellen. Erhalte alle 10 Sekunden 1 GP durch natürliche Heilung. Kritische Verletzungen heilen 80 % schneller.,Parece que regeneras tu salud súper rápido. Obtienes 1 de salud cada 10 segundos con curación natural. Las heridas críticas se curan un 80 % más rápido.,Vous semblez régénérer votre santé à une vitesse ahurissante. La guérison naturelle vous rend 1 point de santé toutes les 10 secondes. Les blessures graves se soignent 80 % plus rapidement.,Sembra che tu sappia rigenerare la tua salute super velocemente. Ottieni 1 di salute ogni 10 secondi con la guarigione naturale. Le ferite critiche guariscono l'80% più rapidamente.,体力の回復がかなり速いようですね。10秒ごとに体力を1自然回復します。重傷回復速度80%上昇。,엄청나게 빨리 회복하는군요. 자연 회복으로 10초마다 체력을 1 얻습니다. 치명타 부상이 80% 빨리 회복됩니다.,Twoje ciało zdaje się regenerować błyskawicznie. Naturalne zdrowienie przywraca ci 1 PZ co 10 sek. Urazy krytyczne leczą się o 80% szybciej.,Parece que você recupera a saúde muito rápido. Ganhe 1 de vida a cada 10 segundos com a cura natural. Ferimentos críticos curam 80% mais rápido.,Вы восстанавливаете здоровье с суперскоростью. Каждые 10 секунд вы получаете по 1 очку здоровья за счет естественного восстановления. Критические повреждения исцеляются на 80% быстрее.,Sağlığın çok hızlı yeniliyor. Doğal iyileşmeyle her 10 saniyede 1 SP kazan. Kritik yaralanmalar %80 daha hızlı iyileşir.,你似乎可以以超快的速度自我再生。自然愈合每 10 秒就会恢复 1 点生命值。暴击伤害造成的伤口愈合速度加快 80%。,你似乎能超快恢復生命值。透過自然癒合每10秒增加1點生命值。治療嚴重傷害的速度快80%。
perkHealingFactorRank5Desc,progression,perk For,,,Mutant Genes,,Mutantengene,Genes mutantes,Gênes mutants,Geni mutanti,変異遺伝子,돌연변이 유전자,Zmutowane geny,Genes Mutantes,Гены мутанта,Mutant Genleri,基因突变,基因突變
perkHealingFactorRank5LongDesc,progression,perk For,,,You must have mutant genes from all the radiation. Gain 1 health every 5 seconds with natural healing. Critical injuries heal twice as fast.,,Du musst von all der Strahlung Mutantengene bekommen haben. Erhalte alle 5 Sekunden 1 Gesundheit durch natürliche Heilung. Kritische Verletzungen heilen doppelt so schnell.,Debes tener genes mutantes por culpa de la radiación. Obtienes 1 de salud cada 5 segundos con curación natural. Las heridas críticas se curan el doble de rápido.,Les radiations ont dû faire muter vos gênes. La guérison naturelle vous rend 1 point de santé toutes les 5 secondes. Les blessures graves se soignent deux fois plus rapidement.,Hai sicuramente dei geni mutanti a causa delle radiazioni. Ottieni 1 di salute ogni 5 secondi con la guarigione naturale. Le ferite critiche guariscono due volte più rapidamente.,放射能のせいで変異遺伝子を持っているに違いありません。5秒ごとに体力を1自然回復します。重傷回復速度が倍になります。,방사선으로 돌연변이 유전자가 생긴 게 분명합니다. 자연 회복으로 5초마다 체력을 1 얻습니다. 치명타 부상이 두 배 빨리 회복됩니다.,Twoje geny chyba przeszły mutację w wyniku promieniowania. Naturalne zdrowienie przywraca ci 1 PZ co 5 sek. Urazy krytyczne leczą się dwa razy szybciej.,Você deve ter genes mutantes por causa da radiação. Ganhe 1 de vida a cada 5 segundos com a cura natural. Ferimentos críticos curam duas vezes mais rápido.,"Должно быть, из за-радиации у вас гены мутанта. Каждые 5 секунд вы получаете по 1 очку здоровья за счет естественного восстановления. Критические повреждения исцеляются вдвое быстрее.",Radyasyon yüzünden genlerin mutasyona uğramış olmalı. Doğal iyileşme ile her 5 saniyede 1 Sağlık kazan. Kritik yaralanmalar iki kat daha hızlı iyileşir.,你一定有受辐射影响过的突变基因。自然愈合每5秒就会恢复1点生命值。暴击伤害造成的伤口愈合速度加快两倍。,你一定受輻射影響發生了基因突變。透過自然癒合每 5 秒增加 1 點生命值。治療嚴重傷害的速度快一倍。
perkLivingOffTheLandDesc,progression,perk For,,,Specialize in harvesting more crops using your hands or a tool.\nBoost loot odds of [DECEA3]Southern Farming[-] magazines.,,Spezialisiere dich auf die ertragreichere Ernte mit deinen Händen oder Werkzeugen.\nErhöhe die Beutechance für [DECEA3]Southern Farming[-]-Zeitschriften.,Especialízate en cosechar más cultivos usando tus manos o una herramienta.\nAumenta la probabilidad de encontrar revistas [DECEA3]Agricultura austral[-] en el botín.,Apprenez à augmenter le rendement de vos récoltes grâce à vos mains ou des outils.\nAméliorez les chances d'obtenir des magazines [DECEA3]Agriculture de pousses[-].,"Specializzati nel raccogliere più colture, usando le tue mani o degli strumenti.\nAumenta le probabilità di bottino delle riviste [DECEA3]Coltivazione meridionale[-].",より多くの作物を収穫することに特化しましょう。\n[DECEA3]南部農業[-]の雑誌略奪率が上がります。,손이나 도구를 이용한 농작물 수확에 특화되었습니다.\n약탈품에서 [DECEA3]남부 농업[-] 잡지 획득 확률이 증가합니다.,Wyspecjalizuj się w wydajniejszym zbieraniu plonów rękami lub narzędziami.\nZwiększ szanse łupu: czasopisma [DECEA3]„Rolnictwo Południa”[-].,Especialize-se em colher mais com suas mãos do que com ferramentas.\nAumenta as chances de saque da revista [DECEA3]Colheita Meridional[-].,Специализируйтесь на сборе урожая голыми руками или с помощью инструментов.\nПовышает шансы найти в добыче журналы [DECEA3]Южное фермерство[-].,Elinle veya alet kullanarak daha fazla ekin hasat etmede uzmanlaş.\n[DECEA3]Güney Çiftçiliği[-] dergilerinin ganimet şansını artırır.,专精于用手或工具收割更多庄稼。\n提高搜刮到[DECEA3]《南方种植》[-]杂志的概率。,擅長用手或工具採收更多作物。\n提升[DECEA3]《南方農業》[-]雜誌的掉落機率。
perkLivingOffTheLandName,progression,perk For,,,Living off the Land,,Vom Land leben,Vivir de la tierra,Vie à la campagne,Frutti della terra,自給自足,자급자족,Samowystarczalność,Vivendo da terra,Фермерство и земледелие,Geçimini Topraktan Sağlayan,就地取材,靠土地為生
perkLivingOffTheLandRank1Desc,progression,perk For,,,Gatherer,,Sammler,Recolector,Jardinier,Raccoglitore,採集家,채집 생활자,Zbieracz,Coletor,Собиратель,Toplayıcı,收集者,採集者
perkLivingOffTheLandRank1LongDesc,progression,perk For,,,Double the harvest of wild or planted crops.\nFarm plots cost 30% less to craft.,,Verdopple die Ernte von wilden oder angepflanzten Feldfrüchten.\nDas Fertigen von Beeten kostet 30 % weniger.,Duplica la cosecha de los cultivos silvestres o plantados.\nFabricar las parcelas agrícolas cuesta un 30 % menos.,Doublez la récolte des éléments dans la nature ou dans les cultures.\nLa fabrication des parcelles de culture coûte 30 % moins cher.,Raddoppia il raccolto dalle colture selvatiche o domestiche.\nCreare un terreno agricolo costa il 30% in meno.,自分で育てた作物や自生している作物の収穫量が2倍になります。\n耕作区画に必要な材料個数30%低減。,야생 또는 심은 식물에서 아이템을 2배로 채집합니다.\n농지 제작 시 비용이 30% 적게 소모됩니다.,Podwój zbiory z roślin dzikich lub zasadzonych.\nWytworzenie żyznej ziemi kosztuje 30% mniej.,Dobre a colheita de plantas selvagens ou cultivadas.\nReduz em 30% o custo de fabricação de terrenos agrícolas.,Собирайте дикорастущие или домашние растения в два раза успешнее.\nСтоимость создания фермерских делянок падает на 30%.,Yabani veya üretilmiş ekinlerin hasadını ikiye katla.\nÇiftlik arsalarının üretim maliyeti %30 azalır.,野生或种植作物的收获加倍。\n小块农田制作花费减少30%。,加倍收成野生或種植的作物。\n農田製作成本減少30%。
perkLivingOffTheLandRank2Desc,progression,perk For,,,Forager,,Wildbeuter,Forastero,Fermier industriel,Foraggiere,採食者,약탈자,Gromadzący,Forrageiro,Промышленный фермер,Avcı Toplayıcı,搜寻者,強征者
perkLivingOffTheLandRank2LongDesc,progression,perk For,,,50% chance to harvest 1 additional crop.\nFarm plots cost 50% less to craft.,,"Chance von 50 %, 1 zusätzliche Feldfrucht zu ernten.\nDas Fertigen von Beeten kostet 50 % weniger.",Probabilidad del 50 % de cosechar 1 cultivo adicional.\nFabricar las parcelas agrícolas cuesta un 50 % menos.,50 % de chance d'obtenir 1 récolte supplémentaire.\nLa fabrication des parcelles de culture coûte 50 % moins cher.,50% di probabilità di raccogliere 1 coltura aggiuntiva.\nCreare un terreno agricolo costa il 50% in meno.,50%の確率で作物を追加で1個収穫します。\n耕作区画に必要な材料個数50%低減。,50% 확률로 작물 1개를 추가 수확합니다.\n농지 제작 시 비용이 50% 적게 소모됩니다.,50% szansy na zebranie 1 dodatkowego plonu.\nWytworzenie żyznej ziemi kosztuje 50% mniej.,50% de chance de colher 1 plantação adicional.\nReduz em 50% o custo de fabricação de terrenos agrícolas.,50% шанс собрать 1 дополнительную единицу урожая.\nСтоимость создания фермерских делянок падает на 50%.,%50 ihtimalle fazladan 1 ekin hasat et.\nÇiftlik arsalarının üretim maliyeti %50 azalır.,50%的几率收获1份额外作物。\n小块农田制作花费减少50%。,有 50% 的機率收成 1 株額外作物。\n農田製作成本減少50%。
perkLivingOffTheLandRank3Desc,progression,perk For,,,Farmer,,Landwirt,Granjero,Fermier,Contadino,農民,농부,Rolnik,Fazendeiro,Фермер,Çiftçi,农夫,農民
perkLivingOffTheLandRank3LongDesc,progression,perk For,,,Triple the harvest of wild or planted crops.,,Verdreifache die Ernte von wilden oder angepflanzten Feldfrüchten.,Triplica la cosecha de los cultivos silvestres o plantados.,Triplez la récolte des éléments dans la nature ou dans les cultures.,Triplica il raccolto dalle colture selvatiche o domestiche.,自分で育てた作物や自生している作物の収穫量が3倍になります。,야생 식물이나 농작물에서 아이템을 3배로 채집합니다.,Potrój zbiory z roślin dzikich lub zasadzonych.,Triplique a colheita de plantas selvagens ou cultivadas.,Собирайте дикорастущие или домашние растения в три раза успешнее.,Yabani veya üretilmiş ekinlerin hasadını üç katına çıkar.,野生或种植作物的收获增加两倍。,三倍收成野生或種植的作物。
